Date,Smer*,PS,Hlas*,OLaNOap,KDH,SASKA,SNS*,Republika,Alliance,Demokrati
2024-09-10,46.0,39.0,21.0,0.0,11.0,13.0,0.0,11.0,0.0,9.0
2024-09-09,45.0,46.0,24.0,0.0,12.0,12.0,0.0,11.0,0.0,0.0
2024-08-12,44.0,41.0,30.0,0.0,13.0,12.0,0.0,10.0,0.0,0.0
2024-08-12,40.0,39.0,30.0,11.0,15.0,15.0,0.0,0.0,0.0,0.0
2024-07-15,42.0,39.0,27.0,0.0,13.0,10.0,9.0,10.0,0.0,0.0
2024-07-01,47.0,42.0,25.0,0.0,12.0,11.0,0.0,13.0,0.0,0.0
2024-06-18,42.0,40.0,27.0,0.0,12.0,9.0,9.0,11.0,0.0,0.0
2024-06-12,43.0,38.0,25.0,0.0,11.0,11.0,0.0,13.0,9.0,0.0
2024-05-14,39.0,37.0,31.0,0.0,13.0,12.0,9.0,9.0,0.0,0.0
2024-04-24,38.0,36.0,33.0,0.0,12.0,12.0,9.0,10.0,0.0,0.0
2024-04-16,41.0,39.0,32.0,0.0,15.0,13.0,10.0,0.0,0.0,0.0
2024-04-04,40.0,37.0,33.0,0.0,10.0,12.0,9.0,0.0,9.0,0.0
2024-03-18,42.0,40.0,30.0,0.0,15.0,13.0,10.0,0.0,0.0,0.0
2024-02-21,39.0,35.0,32.0,0.0,11.0,12.0,11.0,0.0,10.0,0.0
2024-02-12,45.0,42.0,27.0,0.0,15.0,11.0,10.0,0.0,0.0,0.0
2024-01-23,43.0,38.0,35.0,0.0,12.0,11.0,11.0,0.0,0.0,0.0
2024-01-16,37.0,34.0,24.0,12.0,15.0,10.0,9.0,9.0,0.0,0.0
2023-12-13,43.0,38.0,26.0,0.0,13.0,11.0,9.0,10.0,0.0,0.0
2023-11-22,42.0,31.0,25.0,0.0,13.0,11.0,10.0,9.0,9.0,0.0
2023-11-14,47.0,39.0,30.0,0.0,13.0,11.0,10.0,0.0,0.0,0.0
2023-09-30,42.0,32.0,27.0,16.0,12.0,11.0,10.0,0.0,0.0,0.0
