Date,Government,Opposition
2023-02-10,50.599999999999994,49.400000000000006
2023-01-31,51.5,48.5
2023-01-13,49.699999999999996,50.300000000000004
2023-01-03,51.900000000000006,48.099999999999994
2022-12-16,51.099999999999994,48.900000000000006
2022-12-05,51.099999999999994,48.900000000000006
2022-11-11,50.99999999999999,49.00000000000001
2022-11-01,52.7,47.3
2022-10-14,51.300000000000004,48.699999999999996
2022-10-04,51.6,48.4
2022-09-11,53.0,47.0
2022-09-06,52.9,47.1
2022-08-12,53.1,46.9
2022-08-02,53.1,46.9
2022-07-12,53.6,46.4
2022-07-05,53.699999999999996,46.300000000000004
2022-06-10,52.5,47.5
2022-05-31,52.99999999999999,47.00000000000001
2022-05-13,52.5,47.5
2022-05-03,53.5,46.5
2022-04-13,53.5,46.5
2022-04-05,52.800000000000004,47.199999999999996
2022-03-11,54.199999999999996,45.800000000000004
2022-03-01,55.1,44.9
2022-02-11,54.900000000000006,45.099999999999994
2022-02-01,55.1,44.9
2022-01-04,53.199999999999996,46.800000000000004
2021-12-10,53.5,46.5
2021-11-30,53.699999999999996,46.300000000000004
2021-11-15,53.699999999999996,46.300000000000004
2021-11-02,55.2,44.8
2021-10-15,53.300000000000004,46.699999999999996
2021-10-05,55.0,45.0
2021-09-17,54.099999999999994,45.900000000000006
2021-08-31,54.3,45.7
2021-08-20,55.2,44.8
2021-08-03,55.1,44.9
2021-07-20,54.6,45.4
2021-07-06,56.0,44.0
2021-05-07,52.6,47.4
2021-04-09,53.199999999999996,46.800000000000004
2021-03-12,53.79999999999999,46.20000000000001
2021-02-12,53.7,46.3
2021-01-15,54.2,45.8
2021-01-05,56.39999999999999,43.60000000000001
2020-12-18,54.699999999999996,45.300000000000004
2020-12-01,55.900000000000006,44.099999999999994
2020-11-20,55.5,44.5
2020-11-03,56.400000000000006,43.599999999999994
2020-10-16,55.29999999999999,44.70000000000001
2020-10-06,56.599999999999994,43.400000000000006
2020-09-12,55.5,44.5
2020-09-01,56.50000000000001,43.49999999999999
2020-08-14,56.3,43.7
2020-08-04,57.6,42.4
2020-07-10,56.699999999999996,43.300000000000004
2020-06-30,57.19999999999999,42.80000000000001
2020-06-14,56.89999999999999,43.10000000000001
2020-06-02,57.49999999999999,42.50000000000001
2020-05-14,57.40000000000001,42.59999999999999
2020-05-05,57.5,42.5
2020-04-29,58.0,42.0
2020-04-15,55.800000000000004,44.199999999999996
2020-04-07,56.0,44.0
2020-03-27,56.1,43.9
2020-03-13,53.9,46.1
2020-03-03,53.0,47.0
2020-02-14,52.50000000000001,47.49999999999999
2020-02-10,53.199999999999996,46.800000000000004
2020-02-04,52.800000000000004,47.199999999999996
2020-01-17,52.0,48.0
2020-01-08,50.9,49.1
2019-12-20,51.6,48.4
2019-12-03,49.99999999999999,50.00000000000001
2019-11-21,52.199999999999996,47.800000000000004
2019-11-05,53.199999999999996,46.800000000000004
2019-10-21,55.599999999999994,44.400000000000006
2019-10-08,54.800000000000004,45.199999999999996
2019-10-01,54.699999999999996,45.300000000000004
2019-09-22,56.00000000000001,43.99999999999999
2019-09-03,55.0,45.0
2019-08-23,55.699999999999996,44.300000000000004
2019-08-06,57.0,43.0
2019-07-27,55.300000000000004,44.699999999999996
2019-07-02,55.50000000000001,44.49999999999999
2019-06-28,56.1,43.9
2019-06-14,55.8,44.2
2019-06-04,55.99999999999999,44.00000000000001
2019-06-02,55.9,44.1
2019-05-14,56.0,44.0
2019-05-07,56.400000000000006,43.599999999999994
2019-05-03,55.1,44.9
2019-04-14,55.7,44.3
