Date,Scholz,Merz
2024-11-21,46.98795180722892,53.01204819277109
2024-11-04,44.230769230769226,55.769230769230774
2024-10-28,45.28301886792453,54.71698113207547
2024-10-21,46.15384615384615,53.84615384615385
2024-10-17,43.529411764705884,56.470588235294116
2024-10-14,46.15384615384615,53.84615384615385
2024-10-07,48.07692307692308,51.92307692307693
2024-09-30,49.056603773584904,50.943396226415096
2024-09-26,46.25,53.75
2024-09-23,44.26229508196721,55.73770491803278
2024-09-23,46.15384615384615,53.84615384615385
2024-09-19,50.0,50.0
2024-09-16,50.0,50.0
2024-09-13,45.65217391304348,54.347826086956516
2024-09-09,46.15384615384615,53.84615384615385
2024-09-02,46.0,54.0
2024-08-26,50.0,50.0
2024-08-19,50.0,50.0
2024-08-12,50.0,50.0
2024-08-09,39.6551724137931,60.3448275862069
2024-08-05,50.0,50.0
2024-07-29,50.0,50.0
2024-07-22,47.27272727272727,52.72727272727272
2024-07-15,47.27272727272727,52.72727272727272
2024-07-08,47.16981132075472,52.83018867924528
2024-07-01,49.09090909090909,50.90909090909091
2024-06-24,48.214285714285715,51.78571428571429
2024-06-17,48.275862068965516,51.724137931034484
2024-06-10,51.724137931034484,48.275862068965516
2024-06-03,52.54237288135594,47.45762711864407
2024-05-27,51.5625,48.4375
2024-05-19,45.614035087719294,54.385964912280706
2024-05-13,52.459016393442624,47.540983606557376
2024-03-20,50.0,50.0
2024-02-22,47.91666666666667,52.083333333333336
2024-01-26,42.857142857142854,57.14285714285714
2024-01-24,39.62264150943396,60.37735849056604
2024-01-15,49.09090909090909,50.90909090909091
2024-01-05,46.93877551020408,53.06122448979592
2024-01-04,33.33333333333333,66.66666666666666
2023-12-15,48.57142857142857,51.42857142857142
2023-12-04,52.94117647058824,47.05882352941176
2023-11-27,39.58333333333333,60.416666666666664
2023-10-25,51.02040816326531,48.97959183673469
2023-09-25,52.94117647058824,47.05882352941176
2023-09-08,60.526315789473685,39.473684210526315
2023-08-27,53.48837209302325,46.51162790697674
2023-07-27,52.0,48.0
2023-06-25,59.61538461538461,40.38461538461539
2023-06-16,60.97560975609756,39.02439024390244
2023-06-02,50.90909090909091,49.09090909090909
2023-04-30,54.54545454545454,45.45454545454545
2023-03-26,61.111111111111114,38.88888888888889
2023-03-01,62.264150943396224,37.735849056603776
2023-01-27,63.46153846153846,36.53846153846153
2023-01-16,53.70370370370371,46.2962962962963
2022-12-09,64.40677966101694,35.59322033898305
2022-11-08,63.793103448275865,36.206896551724135
2022-10-21,60.0,40.0
2022-10-06,55.38461538461539,44.61538461538462
2022-09-22,60.0,40.0
2022-08-18,75.47169811320755,24.528301886792452
2022-08-12,76.36363636363637,23.636363636363637
2022-07-20,74.19354838709677,25.806451612903224
2022-07-18,68.96551724137932,31.03448275862069
2022-07-11,71.66666666666667,28.333333333333332
2022-07-04,71.66666666666667,28.333333333333332
2022-06-27,68.85245901639344,31.147540983606557
2022-06-26,75.40983606557377,24.59016393442623
2022-06-20,66.10169491525424,33.89830508474576
2022-06-13,64.40677966101694,35.59322033898305
2022-06-08,74.19354838709677,25.806451612903224
2022-06-03,67.21311475409836,32.78688524590164
2022-06-01,71.42857142857143,28.57142857142857
2022-05-30,66.10169491525424,33.89830508474576
2022-05-23,68.33333333333333,31.666666666666664
2022-05-20,63.41463414634146,36.58536585365854
2022-05-16,61.76470588235294,38.23529411764706
2022-05-16,68.85245901639344,31.147540983606557
2022-05-09,63.888888888888886,36.11111111111111
2022-05-09,70.0,30.0
2022-05-02,69.35483870967742,30.64516129032258
2022-04-25,70.0,30.0
2022-04-23,73.77049180327869,26.229508196721312
2022-04-14,70.49180327868852,29.508196721311474
2022-04-11,70.0,30.0
2022-04-04,75.0,25.0
2022-04-04,70.49180327868852,29.508196721311474
2022-03-28,67.74193548387096,32.25806451612903
2022-03-21,68.75,31.25
2022-03-20,70.54794520547945,29.45205479452055
2022-03-14,70.76923076923077,29.230769230769234
2022-03-07,71.64179104477611,28.35820895522388
2022-02-28,69.23076923076923,30.76923076923077
2022-02-27,72.05882352941177,27.941176470588236
2022-02-21,67.74193548387096,32.25806451612903
2022-02-15,63.23529411764706,36.76470588235294
2022-02-14,65.57377049180327,34.42622950819672
2022-02-07,64.51612903225806,35.483870967741936
2022-02-03,57.534246575342465,42.465753424657535
2022-01-31,67.1875,32.8125
2022-01-24,71.64179104477611,28.35820895522388
2022-01-17,73.84615384615385,26.153846153846157
2022-01-12,73.97260273972603,26.027397260273972
2022-01-10,73.13432835820896,26.865671641791046
2021-12-20,73.52941176470588,26.47058823529412
2021-12-19,73.33333333333333,26.666666666666668
2021-11-29,71.42857142857143,28.57142857142857
2021-11-22,70.3125,29.6875
2021-11-15,70.76923076923077,29.230769230769234
2021-11-12,67.6923076923077,32.30769230769231
2021-11-08,75.36231884057972,24.637681159420293
