Date,Con,Lab,Lib Dem,SNP,Green,Reform
2024-05-28,20.0,47.0,9.0,3.0,7.0,12.0
2024-05-28,24.0,47.0,6.0,3.0,8.0,11.0
2024-05-27,23.0,46.0,9.0,3.0,5.0,13.0
2024-05-27,24.0,47.0,11.0,3.0,3.0,8.0
2024-05-27,19.0,46.0,10.0,3.0,8.0,12.0
2024-05-26,27.0,44.0,10.0,3.0,4.0,8.0
2024-05-25,28.0,40.0,10.0,3.0,5.0,12.0
2024-05-25,23.0,45.0,9.0,3.0,6.0,10.0
2024-05-24,27.0,41.0,10.0,2.0,7.0,10.0
2024-05-24,22.0,44.0,9.0,3.0,6.0,14.0
2024-05-24,22.0,47.0,8.0,3.0,6.0,12.0
2024-05-23,19.0,45.0,12.0,2.0,5.0,14.0
2024-05-23,27.0,44.0,9.0,3.0,5.0,10.0
2024-05-22,21.0,46.0,9.0,3.0,7.0,12.0
2024-05-22,27.0,48.0,8.0,3.0,2.0,8.0
2024-05-22,20.0,46.0,9.0,3.0,7.0,13.0
2024-05-20,23.0,45.0,10.0,3.0,5.0,12.0
2024-05-19,23.0,45.0,10.0,2.0,5.0,12.0
2024-05-19,26.0,43.0,10.0,3.0,5.0,9.0
2024-05-19,27.0,43.0,9.0,2.0,6.0,11.0
2024-05-17,23.0,46.0,8.0,2.0,8.0,11.0
2024-05-17,25.0,43.0,9.0,3.0,7.0,10.0
2024-05-16,24.0,44.0,8.0,3.0,6.0,13.0
2024-05-16,20.0,47.0,9.0,3.0,8.0,11.0
2024-05-16,21.0,44.0,12.0,2.0,6.0,12.0
2024-05-14,20.0,41.0,11.0,3.0,11.0,9.0
2024-05-13,27.0,45.0,8.0,2.0,6.0,10.0
2024-05-13,22.0,45.0,8.0,3.0,8.0,11.0
2024-05-12,21.0,42.0,12.0,3.0,6.0,15.0
2024-05-12,25.0,43.0,12.0,3.0,4.0,10.0
2024-05-10,24.0,44.0,10.0,2.0,7.0,8.0
2024-05-10,24.0,47.0,9.0,2.0,6.0,10.0
2024-05-09,21.0,45.0,11.0,2.0,6.0,12.0
2024-05-08,18.0,48.0,9.0,3.0,7.0,13.0
2024-05-07,26.0,43.0,10.0,3.0,5.0,10.0
2024-05-05,21.0,44.0,9.0,3.0,5.0,15.0
2024-05-05,27.0,43.0,11.0,3.0,4.0,9.0
2024-05-05,26.0,41.0,11.0,3.0,5.0,13.0
2024-05-03,26.0,43.0,10.0,3.0,5.0,11.0
2024-05-03,24.0,44.0,8.0,2.0,6.0,13.0
2024-05-03,24.0,40.0,11.0,3.0,7.0,12.0
2024-05-02,22.0,44.0,10.0,2.0,6.0,13.0
