Date,Left (Lab+Green),Lib Dem,Right (Con+Ref)
2024-12-12,0.3695652173913043,0.11956521739130435,0.5108695652173914
2024-12-11,0.3723404255319149,0.11702127659574468,0.5106382978723404
2024-12-10,0.3695652173913043,0.14130434782608695,0.4891304347826087
2024-12-06,0.3695652173913043,0.13043478260869565,0.5
2024-12-04,0.34408602150537637,0.11827956989247312,0.5376344086021505
2024-12-02,0.3473684210526316,0.1368421052631579,0.5157894736842106
2024-11-29,0.40425531914893614,0.10638297872340426,0.48936170212765956
2024-11-28,0.3695652173913043,0.14130434782608695,0.4891304347826087
2024-11-27,0.35789473684210527,0.12631578947368421,0.5157894736842106
2024-11-27,0.37894736842105264,0.12631578947368421,0.49473684210526314
2024-11-27,0.3684210526315789,0.12631578947368421,0.5052631578947369
2024-11-21,0.391304347826087,0.13043478260869565,0.4782608695652174
2024-11-21,0.3548387096774194,0.13978494623655913,0.5053763440860215
2024-11-18,0.39361702127659576,0.1276595744680851,0.4787234042553192
2024-11-14,0.3829787234042553,0.1276595744680851,0.48936170212765956
2024-11-14,0.3804347826086957,0.14130434782608695,0.4782608695652174
2024-11-13,0.4,0.12631578947368421,0.47368421052631576
2024-11-11,0.3723404255319149,0.11702127659574468,0.5106382978723404
2024-11-07,0.391304347826087,0.14130434782608695,0.4673913043478261
2024-11-01,0.3829787234042553,0.14893617021276595,0.46808510638297873
2024-10-31,0.43157894736842106,0.10526315789473684,0.4631578947368421
2024-10-31,0.37894736842105264,0.1368421052631579,0.4842105263157895
2024-10-31,0.3978494623655914,0.15053763440860216,0.45161290322580644
2024-10-24,0.391304347826087,0.14130434782608695,0.4673913043478261
2024-10-18,0.4105263157894737,0.12631578947368421,0.4631578947368421
2024-10-17,0.3804347826086957,0.14130434782608695,0.4782608695652174
2024-10-13,0.3829787234042553,0.14893617021276595,0.46808510638297873
2024-10-10,0.3956043956043956,0.13186813186813187,0.4725274725274725
2024-10-10,0.35789473684210527,0.1368421052631579,0.5052631578947369
2024-10-07,0.3829787234042553,0.11702127659574468,0.5
2024-10-07,0.39361702127659576,0.14893617021276595,0.4574468085106383
2024-10-04,0.4148936170212766,0.11702127659574468,0.46808510638297873
2024-10-03,0.3894736842105263,0.1368421052631579,0.47368421052631576
2024-10-03,0.41304347826086957,0.14130434782608695,0.44565217391304346
2024-09-26,0.42391304347826086,0.14130434782608695,0.43478260869565216
2024-09-25,0.4,0.1368421052631579,0.4631578947368421
2024-09-19,0.43478260869565216,0.14130434782608695,0.42391304347826086
2024-09-12,0.39361702127659576,0.14893617021276595,0.4574468085106383
2024-08-29,0.4,0.12631578947368421,0.47368421052631576
2024-08-08,0.44086021505376344,0.11827956989247312,0.44086021505376344
2024-08-07,0.43157894736842106,0.12631578947368421,0.4421052631578947
2024-08-05,0.4574468085106383,0.1276595744680851,0.4148936170212766
2024-07-26,0.46236559139784944,0.11827956989247312,0.41935483870967744
2024-07-12,0.5052631578947369,0.11578947368421053,0.37894736842105264
2024-07-04,0.4463519313304722,0.13412017167381976,0.41952789699570814
