Date,MFP,PTP,UTN,BJT,Dem,PPRP
2024-05-18,44.9,20.2,10.9,3.5,3.0,3.0
2024-03-13,55.87919422730006,25.488755261575466,5.882020444978953,1.9606734816596512,4.036680697534576,2.6526758869512927
2023-12-20,61.5,25.5,1.08,1.03,1.04,1.95
2023-12-18,53.13072983354673,29.007810499359795,3.859667093469911,2.1107554417413574,4.3421254801536495,1.7489116517285532
2023-08-24,62.0,12.87,9.27,4.39,1.86,2.0
2023-05-14,37.99,28.84,12.54,2.99,2.43,1.41
