Date,Red,Blue
2025-06-14,90,79
2025-06-03,84,85
2025-05-31,90,79
2025-05-30,95,73
2025-05-19,83,86
2025-05-16,88,81
2025-05-12,81,88
2025-05-07,84,85
2025-05-06,90,79
2025-05-05,88,81
2025-05-05,79,90
2025-05-02,85,84
2025-04-21,94,75
2025-04-07,92,77
2025-04-07,85,84
2025-04-02,82,87
2025-04-01,91,78
2025-03-31,89,80
2025-03-31,82,87
2025-03-12,86,83
2025-03-10,77,92
2025-03-08,84,85
2025-03-05,80,89
2025-03-04,84,85
2025-03-03,87,82
2025-02-28,82,87
2025-02-16,85,84
2025-02-08,88,81
2025-02-06,81,88
2025-02-05,91,78
2025-02-05,82,87
2025-02-04,92,77
2025-02-03,72,97
2025-02-03,79,90
2025-01-31,78,90
2025-01-30,78,91
2025-01-20,74,95
2025-01-13,76,93
2025-01-13,69,100
2025-01-10,76,93
2025-01-08,76,93
2025-01-06,76,93
2025-01-06,72,97
2021-09-13,100,68
