Date,Red,Blue
2024-11-16,42.51700680272109,57.48299319727891
2024-11-11,45.13274336283186,54.867256637168126
2024-11-11,45.100222717149215,54.89977728285078
2024-11-06,46.85082872928177,53.149171270718234
2024-11-04,48.0,52.0
2024-11-04,46.78111587982833,53.21888412017168
2024-11-01,43.838604143947656,56.16139585605235
2024-10-19,43.7291897891232,56.27081021087681
2024-10-14,43.23725055432373,56.76274944567628
2024-10-07,41.37566137566138,58.62433862433862
2024-10-04,47.42729306487696,52.57270693512304
2024-10-03,45.37246049661399,54.627539503386004
2024-10-02,48.13979706877114,51.86020293122886
2024-09-30,44.1834451901566,55.816554809843396
2024-09-21,43.72881355932203,56.271186440677965
2024-09-09,46.81318681318681,53.1868131868132
2024-09-09,45.061043285238625,54.938956714761375
2024-09-04,47.840531561461795,52.159468438538205
2024-09-04,46.65911664779161,53.34088335220838
2024-09-02,47.065337763012174,52.93466223698782
2024-08-30,44.120940649496085,55.87905935050392
2024-08-12,47.676991150442475,52.32300884955752
2024-08-12,48.01812004530011,51.981879954699885
2024-08-10,45.5467869222097,54.45321307779031
2024-08-10,45.806451612903224,54.19354838709677
2024-08-09,45.336225596529275,54.663774403470725
2024-08-08,50.27442371020856,49.72557628979144
2024-08-07,49.62162162162163,50.37837837837837
2024-08-01,42.765273311897104,57.234726688102896
2024-07-04,42.486486486486484,57.5135135135135
2024-07-04,44.86607142857144,55.13392857142857
2024-06-28,47.98206278026906,52.017937219730946
2024-06-15,48.726114649681534,51.27388535031847
2024-06-10,45.5543358946213,54.44566410537871
2024-06-10,48.53273137697517,51.46726862302483
2024-06-05,49.663677130044846,50.336322869955154
2024-06-04,44.57013574660633,55.42986425339366
2024-05-31,49.00662251655629,50.9933774834437
2024-05-25,41.571753986332574,58.428246013667426
2024-05-21,42.70386266094421,57.2961373390558
2024-05-08,45.07361268403171,54.926387315968284
2024-05-07,47.74266365688488,52.25733634311512
2024-05-06,40.106951871657756,59.893048128342244
2024-05-06,46.38487208008899,53.615127919911
2024-05-02,46.54811715481172,53.45188284518828
2024-04-29,48.49462365591399,51.50537634408602
2024-04-15,47.62443438914027,52.375565610859724
2024-04-08,49.73432518597238,50.265674814027626
2024-04-08,45.20990312163617,54.790096878363826
2024-04-06,43.756786102062975,56.243213897937025
2024-04-05,42.63217097862766,57.36782902137233
2024-04-04,43.81898454746137,56.18101545253863
2024-04-04,49.2638731596829,50.7361268403171
2024-03-11,42.84176533907427,57.15823466092572
2024-03-09,46.03351955307262,53.96648044692738
2024-03-06,45.578947368421055,54.421052631578945
2024-03-04,48.701298701298704,51.298701298701296
2024-03-04,49.353448275862064,50.646551724137936
2024-03-01,46.49021864211737,53.50978135788262
2024-02-24,47.573839662447256,52.426160337552744
2024-02-24,47.39229024943311,52.60770975056689
2024-02-12,43.47826086956522,56.52173913043478
2024-02-12,43.39019189765458,56.60980810234542
2024-02-11,45.39170506912443,54.608294930875566
2024-02-07,46.224256292906176,53.77574370709382
2024-02-05,43.400211193241816,56.59978880675819
2024-02-03,48.75565610859727,51.24434389140272
2024-02-01,44.08251900108578,55.91748099891423
2024-01-13,47.972190034762455,52.02780996523755
2024-01-08,49.59537572254335,50.40462427745665
2024-01-07,47.54285714285714,52.45714285714287
2024-01-08,47.07135250266241,52.928647497337586
2024-01-04,45.05005561735261,54.949944382647374
2024-01-03,46.11923509561305,53.88076490438694
2023-12-13,48.50230414746543,51.49769585253456
2023-12-12,45.74585635359116,54.25414364640885
2023-12-08,51.19305856832972,48.80694143167029
2023-12-06,45.65469293163383,54.345307068366154
2023-12-04,48.783314020857475,51.216685979142525
2023-12-02,47.83625730994152,52.16374269005848
2023-12-01,52.812858783008046,47.18714121699197
2023-11-25,44.14715719063545,55.852842809364546
2023-11-13,43.31140350877193,56.68859649122807
2023-11-08,50.057012542759416,49.94298745724059
2023-11-07,41.970802919708035,58.02919708029197
2023-11-03,46.10458911419423,53.89541088580576
2023-11-02,50.28312570781426,49.71687429218573
2023-10-30,49.33035714285714,50.66964285714286
2023-10-30,50.729517396184065,49.27048260381594
2023-10-09,48.76615746180963,51.233842538190366
2023-10-02,45.38288288288288,54.61711711711712
2023-10-04,46.15384615384615,53.84615384615385
2023-10-02,51.16796440489433,48.83203559510568
2023-10-02,44.53038674033149,55.46961325966851
2023-09-27,48.03695150115473,51.96304849884527
2023-09-22,50.80906148867314,49.19093851132687
2023-09-07,46.82875264270613,53.17124735729387
2023-09-06,45.48611111111111,54.513888888888886
2023-09-06,45.667447306791566,54.33255269320843
2023-09-05,46.46680942184154,53.533190578158454
2023-09-01,46.44495412844037,53.555045871559635
2023-08-30,45.89041095890411,54.109589041095894
2023-09-05,47.322404371584696,52.67759562841531
2023-08-28,44.10377358490566,55.89622641509434
2023-08-15,44.013683010262255,55.98631698973774
2023-08-14,44.61009174311927,55.38990825688074
2023-08-14,46.51404786680542,53.485952133194594
2023-08-14,47.178329571106104,52.82167042889391
2023-08-07,48.6796785304248,51.320321469575205
2023-08-04,41.12709832134292,58.87290167865707
2023-08-03,46.498277841561425,53.50172215843858
2023-08-02,41.967213114754095,58.03278688524589
2023-07-06,47.84688995215311,52.153110047846894
2023-07-05,43.69369369369369,56.30630630630631
2023-06-17,45.61200923787529,54.387990762124716
2023-06-12,46.27539503386005,53.72460496613996
2023-06-07,44.215349369988544,55.78465063001145
2023-06-05,43.79888268156424,56.201117318435756
2023-06-05,39.9343544857768,60.065645514223185
2023-06-02,43.5589519650655,56.441048034934504
2023-05-30,44.81981981981982,55.18018018018018
