Date,Con,Lab,Lib Dem,SNP,Green
11/09/2022,0.35,0.42,0.1,0.04,0.03
08/09/2022,0.34,0.42,0.11,0.04,0.04
07/09/2022,0.28,0.4,0.09,0.05,0.07
07/09/2022,0.3,0.42,0.14,0.05,0.06
07/09/2022,0.29,0.44,0.1,0.05,0.07
04/09/2022,0.31,0.43,0.12,0.05,0.06
02/09/2022,0.34,0.38,0.12,0.04,0.06
02/09/2022,0.32,0.42,0.12,0.04,0.05
02/09/2022,0.31,0.42,0.1,0.05,0.06
01/09/2022,0.28,0.43,0.11,0.05,0.06
31/08/2022,0.33,0.43,0.11,0.04,0.03
31/08/2022,0.31,0.42,0.12,0.04,0.07
30/08/2022,0.25,0.42,0.1,0.05,0.07
30/08/2022,0.31,0.44,0.12,0.04,0.04
28/08/2022,0.33,0.42,0.13,0.03,0.04
25/08/2022,0.33,0.41,0.11,0.04,0.06
25/08/2022,0.33,0.42,0.12,0.04,0.05
24/08/2022,0.31,0.39,0.11,0.05,0.07
22/08/2022,0.26,0.4,0.11,0.06,0.06
22/08/2022,0.31,0.43,0.11,0.05,0.06
22/08/2022,0.33,0.4,0.14,0.04,0.06
21/08/2022,0.31,0.43,0.13,0.05,0.05
19/08/2022,0.31,0.39,0.1,0.03,0.07
18/08/2022,0.32,0.42,0.11,0.05,0.04
17/08/2022,0.28,0.43,0.11,0.05,0.07
14/08/2022,0.34,0.41,0.12,0.04,0.05
12/08/2022,0.35,0.39,0.12,0.04,0.05
10/08/2022,0.3,0.39,0.12,0.05,0.06
08/08/2022,0.35,0.4,0.12,0.04,0.05
08/08/2022,0.34,0.37,0.12,0.04,0.06
05/08/2022,0.33,0.37,0.11,0.05,0.08
04/08/2022,0.32,0.4,0.13,0.04,0.04
04/08/2022,0.34,0.39,0.13,0.04,0.05
31/07/2022,0.34,0.38,0.11,0.04,0.07
28/07/2022,0.34,0.35,0.13,0.05,0.07
28/07/2022,0.33,0.4,0.12,0.04,0.06
27/07/2022,0.33,0.41,0.11,0.04,0.05
27/07/2022,0.3,0.44,0.1,0.05,0.08
24/07/2022,0.34,0.4,0.12,0.04,0.05
24/07/2022,0.29,0.42,0.12,0.03,0.04
23/07/2022,0.31,0.42,0.1,0.04,0.06
22/07/2022,0.32,0.39,0.12,0.04,0.08
22/07/2022,0.34,0.37,0.13,0.03,0.07
21/07/2022,0.32,0.41,0.12,0.04,0.06
21/07/2022,0.33,0.44,0.09,0.03,0.03
21/07/2022,0.35,0.44,0.09,0.03,0.05
18/07/2022,0.33,0.37,0.13,0.04,0.07
17/07/2022,0.32,0.42,0.12,0.04,0.05
17/07/2022,0.3,0.43,0.11,0.04,0.04
14/07/2022,0.31,0.4,0.13,0.04,0.06
14/07/2022,0.29,0.4,0.13,0.04,0.07
14/07/2022,0.31,0.42,0.12,0.04,0.06
10/07/2022,0.31,0.42,0.12,0.04,0.05
10/07/2022,0.28,0.43,0.12,0.04,0.04
08/07/2022,0.33,0.38,0.12,0.03,0.06
07/07/2022,0.29,0.41,0.14,0.04,0.06
07/07/2022,0.31,0.43,0.12,0.03,0.07
