Date,DPP,KMT,TPP
2024-01-01,40.061791967044286,36.8692070030896,23.06900102986612
2023-12-31,42.43146603098927,28.72467222884386,28.843861740166865
2023-12-31,38.94389438943894,36.74367436743674,24.312431243124312
2023-12-30,37.93103448275862,34.48275862068966,27.586206896551722
2023-12-30,40.0,33.75,26.25
2023-12-29,42.01877934272301,32.04225352112677,25.938967136150236
2023-12-29,39.60047003525264,27.849588719153935,32.549941245593416
2023-12-29,37.50508336722245,33.37738918259455,29.117527450183
2023-12-28,39.524838012958966,36.5010799136069,23.974082073434122
2023-12-28,40.21739130434783,35.869565217391305,23.91304347826087
2023-12-27,37.409200968523,33.7772397094431,28.8135593220339
2023-12-26,41.36807817589576,37.78501628664495,20.846905537459282
2023-12-25,40.12048192771084,31.92771084337349,27.95180722891566
2023-12-25,36.875,28.375,34.75
2023-12-24,38.02816901408451,33.09859154929578,28.873239436619723
2023-12-21,43.3106575963719,38.435374149659864,18.25396825396826
2023-12-21,39.476553980370774,37.94983642311886,22.57360959651036
2023-12-21,37.07865168539326,35.95505617977528,26.96629213483146
2023-12-20,37.61574074074074,31.481481481481477,30.902777777777775
2023-12-17,37.34939759036144,37.34939759036144,25.301204819277107
2023-12-16,38.52760736196319,36.31901840490798,25.153374233128833
2023-12-15,41.30901287553649,37.66094420600859,21.03004291845494
2023-12-12,40.968122786304605,34.002361275088546,25.029515938606846
2023-12-12,40.0,35.55555555555556,24.444444444444443
2023-12-11,40.65533980582524,30.582524271844658,28.762135922330096
2023-11-28,43.16037735849057,35.96698113207547,20.87264150943396
2023-11-28,42.183011899876895,31.852687730816577,25.96430036930652
2023-11-26,38.63636363636363,35.22727272727273,26.136363636363637
2023-11-26,38.2716049382716,35.80246913580247,25.925925925925924
2023-11-24,39.32203389830508,36.72316384180791,23.954802259887003
2023-10-25,40.99756690997567,29.927007299270077,29.075425790754256
2023-10-24,38.20224719101123,29.213483146067414,32.58426966292135
2023-10-17,38.874345549738216,27.617801047120416,33.50785340314136
2023-10-16,42.46031746031746,24.735449735449734,32.80423280423281
2023-10-03,40.75949367088608,25.31645569620253,33.924050632911396
2023-09-26,40.0,28.888888888888886,31.11111111111111
2023-09-24,42.85714285714286,21.10682110682111,36.03603603603604
2023-09-24,48.137931034482754,23.17241379310345,28.68965517241379
2023-09-21,47.61904761904761,26.666666666666668,25.71428571428572
2023-09-20,42.82051282051282,22.05128205128205,35.128205128205124
2023-08-28,44.20103092783505,20.876288659793815,34.922680412371136
2023-08-24,52.72952853598015,21.091811414392062,26.178660049627794
2023-08-24,42.5287356321839,25.287356321839084,32.18390804597701
2023-08-21,42.97719087635054,21.48859543817527,35.53421368547419
2023-08-15,51.91387559808612,16.267942583732058,31.818181818181824
2023-08-13,46.06896551724138,21.931034482758623,32.0
2023-07-26,36.666666666666664,27.77777777777778,35.55555555555556
2023-07-25,44.43037974683545,25.189873417721515,30.37974683544304
2023-07-18,43.127962085308056,23.933649289099527,32.93838862559242
2023-07-16,42.595204513399146,21.57968970380818,35.82510578279266
2023-07-10,40.98939929328622,22.732626619552416,36.27797408716137
2023-07-02,39.49801849405548,21.13606340819022,39.365918097754296
2023-07-02,44.73684210526316,22.36842105263158,32.89473684210527
2023-07-01,37.277353689567434,23.536895674300258,39.18575063613232
2023-06-29,43.995098039215684,20.95588235294118,35.04901960784314
2023-06-20,42.83987103707684,24.086512627619562,33.073616335303605
2023-06-16,34.883720930232556,26.744186046511626,38.372093023255815
2023-06-13,42.44186046511628,23.72093023255814,33.83720930232558
2023-06-01,41.27167630057804,29.942196531791904,28.786127167630056
2023-05-30,42.39520958083832,27.065868263473053,30.538922155688624
2023-05-25,44.74999999999999,22.875,32.375
2023-05-24,42.5,28.749999999999996,28.749999999999996
2023-05-23,36.74033149171271,34.11602209944751,29.14364640883978
2023-05-18,37.34335839598998,36.59147869674185,26.065162907268174
2023-05-18,33.75,37.5,28.749999999999996
