Date,DPP,KMT,TPP
2020-01-11,57.13,38.61,
2023-10-25,40.99756690997567,29.927007299270077,29.075425790754256
2023-10-24,38.20224719101123,29.213483146067414,32.58426966292135
2023-10-17,38.874345549738216,27.617801047120416,33.50785340314136
2023-10-16,42.46031746031746,24.735449735449734,32.80423280423281
2023-10-03,40.75949367088608,25.31645569620253,33.924050632911396
2023-09-26,40.0,28.888888888888886,31.11111111111111
2023-09-24,42.85714285714286,21.10682110682111,36.03603603603604
2023-09-24,48.137931034482754,23.17241379310345,28.68965517241379
2023-09-21,47.61904761904761,26.666666666666668,25.71428571428572
2023-09-20,42.82051282051282,22.05128205128205,35.128205128205124
2023-08-28,44.20103092783505,20.876288659793815,34.922680412371136
2023-08-24,52.72952853598015,21.091811414392062,26.178660049627794
2023-08-24,42.5287356321839,25.287356321839084,32.18390804597701
2023-08-21,42.97719087635054,21.48859543817527,35.53421368547419
2023-08-15,51.91387559808612,16.267942583732058,31.818181818181824
2023-08-13,46.06896551724138,21.931034482758623,32.0
2023-07-26,36.666666666666664,27.77777777777778,35.55555555555556
2023-07-25,44.43037974683545,25.189873417721515,30.37974683544304
2023-07-18,43.127962085308056,23.933649289099527,32.93838862559242
2023-07-16,42.595204513399146,21.57968970380818,35.82510578279266
2023-07-10,40.98939929328622,22.732626619552416,36.27797408716137
2023-07-02,39.49801849405548,21.13606340819022,39.365918097754296
2023-07-02,44.73684210526316,22.36842105263158,32.89473684210527
2023-07-01,37.277353689567434,23.536895674300258,39.18575063613232
2023-06-29,43.995098039215684,20.95588235294118,35.04901960784314
2023-06-20,42.83987103707684,24.086512627619562,33.073616335303605
2023-06-16,34.883720930232556,26.744186046511626,38.372093023255815
2023-06-13,42.44186046511628,23.72093023255814,33.83720930232558
2023-06-01,41.27167630057804,29.942196531791904,28.786127167630056
2023-05-30,42.39520958083832,27.065868263473053,30.538922155688624
2023-05-25,44.74999999999999,22.875,32.375
2023-05-24,42.5,28.749999999999996,28.749999999999996
2023-05-23,36.74033149171271,34.11602209944751,29.14364640883978
2023-05-18,37.34335839598998,36.59147869674185,26.065162907268174
2023-05-18,33.75,37.5,28.749999999999996
