Date,Lab,Con,Lib Dem
1951-10-25,48.8,48.0,2.6
1951-10-22,47.0,49.5,3.5
1951-10-23,46.5,50.0,3.5
1951-10-19,43.0,50.0,6.5
1951-10-19,46.5,50.0,3.0
1951-10-17,45.5,50.0,4.5
1951-10-10,44.0,50.5,4.5
1951-10-03,43.5,50.5,5.5
1951-09-26,41.0,52.0,6.5
1951-08-01,38.0,50.5,10.5
1951-07-01,39.0,49.0,10.5
1951-06-01,41.0,48.0,10.0
1951-05-01,40.0,49.0,9.5
1951-04-01,38.5,50.5,9.0
1951-03-10,39.0,52.0,8.0
1951-03-01,36.5,51.0,10.5
1951-02-25,39.5,52.0,7.5
1951-02-01,37.5,51.5,9.5
1951-02-01,40.5,50.5,8.0
1951-01-01,44.0,48.0,7.0
1951-01-01,38.0,51.0,10.0
1950-12-01,44.5,47.5,7.5
1950-12-01,44.0,43.0,11.5
1950-11-01,45.0,47.0,7.5
1950-10-01,45.5,45.5,8.0
1950-10-01,45.0,42.5,10.0
1950-09-01,45.5,43.0,10.0
1950-08-01,46.5,44.5,8.5
1950-07-01,43.5,42.0,11.0
1950-06-01,46.0,43.5,9.0
1950-05-01,46.5,43.5,9.5
1950-04-01,47.0,45.5,7.0
1950-03-01,45.5,43.5,8.5
