Date,Con,Lab,Lib Dem
1964-10-15,43.4,44.1,11.2
1964-10-01,44.5,46.0,9.0
1964-10-01,42.5,46.0,11.0
1964-10-13,44.3,47.4,7.9
1964-10-01,44.5,43.7,11.1
1964-10-01,45.5,44.6,9.3
1964-10-09,46.2,46.3,7.1
1964-10-01,45.0,46.0,9.0
1964-10-01,42.5,50.5,6.5
1964-10-01,42.5,48.5,8.5
1964-10-01,46.1,42.5,11.0
1964-10-05,45.4,44.5,9.8
1964-10-01,46.0,47.0,7.0
1964-10-01,44.0,48.5,7.0
1964-09-01,44.5,47.0,8.0
1964-09-28,47.1,44.1,8.3
1964-09-01,44.5,49.0,6.0
1964-09-01,46.5,46.0,7.5
1964-09-20,45.9,45.7,8.1
1964-09-01,48.1,44.1,7.6
1964-09-01,43.0,48.0,8.5
1964-09-13,47.0,45.4,7.3
1964-09-09,44.0,46.5,9.0
1964-09-06,46.5,44.9,8.4
1964-09-01,43.0,49.5,7.0
1964-09-01,41.5,50.0,8.0
1964-08-25,45.0,49.5,5.5
1964-08-23,47.5,46.5,5.7
1964-08-18,41.5,49.5,8.5
1964-08-11,42.0,49.0,9.0
1964-08-09,46.7,47.3,5.7
1964-08-04,43.0,48.5,8.5
1964-07-28,41.0,48.5,10.0
1964-07-21,42.0,49.5,8.0
1964-07-19,44.1,48.2,7.5
1964-07-07,38.5,50.5,10.5
1964-07-05,44.5,48.2,7.1
1964-06-30,41.5,51.0,7.0
1964-06-23,42.0,49.0,8.5
1964-06-21,42.2,50.5,7.2
1964-06-16,42.0,49.5,8.0
1964-06-09,38.5,51.5,9.0
1964-06-07,42.8,49.5,7.4
1964-06-02,42.0,47.0,10.5
1964-05-26,39.5,51.5,8.5
1964-05-24,42.2,49.5,7.9
1964-05-19,41.0,48.0,11.0
1964-05-12,38.0,51.0,10.5
1964-05-05,35.5,55.0,9.5
1964-05-03,40.9,49.9,8.7
1964-04-28,36.5,52.0,10.5
1964-04-21,39.0,51.5,9.0
1964-04-19,38.7,52.4,8.7
1964-04-14,41.0,49.0,9.5
1964-04-07,37.5,49.5,13.0
1964-04-05,40.7,50.9,8.2
1964-03-31,38.5,49.5,11.5
1964-03-24,40.0,49.0,10.5
1964-03-22,42.0,49.9,7.2
1964-03-17,38.5,46.5,14.0
1964-03-10,37.0,50.0,13.0
1964-03-09,41.5,48.7,9.2
1964-03-03,39.5,47.5,12.0
1964-02-25,42.0,45.0,11.5
1964-02-18,40.0,48.0,11.5
1964-02-16,40.7,49.6,9.6
1964-02-11,39.0,48.5,12.0
1964-02-04,38.0,50.0,11.0
1964-01-28,38.0,48.0,13.0
1964-01-21,40.5,46.5,12.5
1964-01-14,39.5,48.0,12.5
1964-01-12,41.6,48.4,9.7
1964-01-07,39.0,50.0,10.5
1963-12-16,37.0,50.0,12.0
1963-12-15,40.9,49.6,9.2
1963-12-09,39.0,47.0,13.5
1963-12-03,39.0,48.0,12.5
1963-11-26,38.0,49.5,12.0
1963-11-17,40.5,48.2,10.7
1963-11-05,37.0,49.0,13.0
1963-10-28,36.0,50.0,13.0
1963-10-22,38.0,49.0,12.0
1963-10-20,41.0,48.5,10.2
1963-10-08,35.0,47.5,16.0
1963-10-01,35.5,46.5,17.0
1963-09-22,39.4,46.5,13.7
1963-09-10,33.0,50.0,15.0
1963-09-03,33.5,50.5,15.0
1963-08-27,33.5,49.5,15.5
1963-08-25,38.6,47.8,13.4
1963-08-06,35.0,49.5,14.5
1963-07-30,33.0,50.5,15.5
1963-07-29,41.0,47.9,10.9
1963-07-23,32.0,52.0,15.0
1963-07-22,39.3,47.6,12.7
1963-07-10,34.0,52.0,13.0
1963-07-02,34.5,51.5,13.0
1963-06-26,36.0,50.0,13.0
1963-06-14,34.6,51.3,13.9
1963-06-14,31.0,51.5,16.5
1963-06-04,33.5,52.2,14.1
1963-05-17,36.0,47.0,16.0
1963-04-10,34.0,49.5,16.0
1963-04-09,36.1,48.7,14.7
1963-03-12,33.5,50.0,15.5
1963-02-05,32.5,48.0,18.5
1963-01-18,35.0,48.0,16.5
1962-12-21,37.0,46.0,17.0
1962-11-24,34.5,44.5,20.5
1962-11-16,36.0,42.5,20.0
1962-11-09,39.0,47.0,13.0
1962-10-20,40.0,41.5,17.0
1962-10-13,34.5,43.5,20.0
1962-09-26,36.5,45.0,17.5
1962-09-19,34.0,45.0,20.0
1962-08-10,34.0,43.0,22.0
1962-07-25,36.0,40.5,22.5
1962-07-11,37.5,39.5,22.0
1962-07-04,35.5,41.5,22.0
1962-06-06,35.5,39.0,24.0
1962-05-19,34.5,39.5,24.5
1962-04-16,33.0,41.0,25.0
1962-03-21,33.0,40.0,26.0
1962-03-07,39.5,44.0,16.0
1962-02-09,40.0,42.5,17.0
1962-01-14,42.0,42.0,15.0
1961-12-06,38.5,43.0,17.5
1961-11-16,39.0,40.0,20.0
1961-11-07,41.5,43.0,14.5
1961-09-16,43.5,43.5,12.0
1961-09-02,42.5,45.0,12.0
1961-09-04,40.0,45.5,13.5
1961-08-09,38.0,43.0,17.0
1961-07-05,44.0,41.5,14.0
1961-06-07,43.5,40.0,15.0
1961-05-09,44.5,40.5,14.0
1961-04-26,43.5,40.5,15.0
1961-03-01,44.0,40.0,15.0
1961-02-01,44.0,42.0,13.0
1961-01-01,45.0,41.5,12.5
1960-12-01,47.5,37.5,14.0
1960-11-29,46.0,40.5,13.5
1960-11-02,50.0,37.0,12.5
1960-09-04,47.5,40.5,11.0
1960-09-05,47.5,42.0,10.0
1960-07-27,47.0,43.0,9.0
1960-06-29,45.5,43.0,10.5
1960-05-29,45.5,42.5,11.0
1960-04-27,45.0,42.5,11.5
1960-03-25,47.0,42.0,10.0
1960-02-24,47.0,43.5,9.0
1960-01-20,47.0,42.5,9.5
1960-01-06,47.0,43.5,8.5
1959-12-01,47.5,44.0,7.5
1959-11-01,48.0,44.0,7.0
1959-10-01,48.0,46.0,5.0
