Date,Con,Lab,UKIP,Lib Dem,SNP,Green
2017-02-22,41.0,25.0,13.0,11.0,6.0,3.0
2017-02-19,44.0,26.0,13.0,8.0,4.0,4.0
2017-02-16,40.0,27.0,14.0,8.0,5.0,4.0
2017-02-14,40.0,29.0,9.0,13.0,5.0,4.0
2017-02-13,40.0,24.0,15.0,11.0,6.0,4.0
2017-02-10,41.0,26.0,11.0,11.0,5.0,4.0
2017-02-06,40.0,24.0,14.0,11.0,6.0,4.0
2017-02-05,42.0,27.0,12.0,10.0,5.0,4.0
2017-02-01,37.0,30.0,14.0,8.0,5.0,5.0
2017-01-31,40.0,26.0,12.0,11.0,6.0,4.0
2017-01-24,40.0,24.0,14.0,10.0,6.0,3.0
2017-01-22,42.0,26.0,13.0,10.0,4.0,5.0
2017-01-18,42.0,25.0,12.0,11.0,6.0,3.0
2017-01-16,43.0,31.0,6.0,11.0,4.0,4.0
2017-01-13,38.0,29.0,13.0,10.0,4.0,2.0
2017-01-12,38.0,30.0,14.0,7.0,5.0,4.0
2017-01-10,39.0,28.0,13.0,11.0,6.0,3.0
2017-01-08,42.0,28.0,12.0,9.0,4.0,4.0
2017-01-04,39.0,26.0,14.0,10.0,6.0,4.0
2016-12-19,39.0,24.0,14.0,12.0,6.0,4.0
2016-12-16,38.0,31.0,13.0,6.0,6.0,4.0
2016-12-12,40.0,29.0,9.0,14.0,4.0,3.0
2016-12-11,41.0,27.0,14.0,9.0,4.0,3.0
2016-12-05,42.0,25.0,12.0,11.0,6.0,4.0
2016-11-29,39.0,27.0,14.0,9.0,6.0,4.0
2016-11-27,44.0,28.0,12.0,7.0,4.0,4.0
2016-11-22,41.0,28.0,12.0,9.0,6.0,4.0
2016-11-20,42.0,28.0,11.0,9.0,4.0,3.0
2016-11-18,41.0,29.0,12.0,7.0,6.0,3.0
2016-11-15,42.0,28.0,11.0,8.0,7.0,4.0
2016-11-14,42.0,33.0,7.0,10.0,5.0,3.0
2016-11-04,40.0,32.0,13.0,6.0,6.0,4.0
2016-11-01,41.0,27.0,11.0,10.0,6.0,4.0
2016-10-30,43.0,27.0,12.0,8.0,4.0,5.0
2016-10-25,40.0,27.0,11.0,11.0,7.0,3.0
2016-10-24,42.0,28.0,12.0,8.0,5.0,4.0
2016-10-20,42.0,26.0,12.0,8.0,6.0,5.0
2016-10-17,47.0,29.0,6.0,7.0,6.0,4.0
2016-10-12,42.0,28.0,11.0,9.0,6.0,3.0
2016-10-09,43.0,26.0,11.0,8.0,4.0,6.0
2016-09-29,39.0,30.0,13.0,8.0,6.0,3.0
2016-09-23,41.0,26.0,14.0,8.0,5.0,4.0
2016-09-23,39.0,28.0,13.0,8.0,5.0,5.0
2016-09-21,39.0,30.0,13.0,8.0,6.0,3.0
2016-09-14,38.0,31.0,13.0,7.0,6.0,4.0
2016-09-14,40.0,34.0,9.0,6.0,4.0,5.0
2016-09-11,41.0,27.0,14.0,8.0,5.0,4.0
2016-09-05,40.0,29.0,13.0,7.0,7.0,3.0
2016-08-31,38.0,30.0,14.0,7.0,6.0,4.0
2016-08-28,41.0,27.0,13.0,9.0,4.0,4.0
2016-08-23,40.0,29.0,13.0,8.0,6.0,3.0
2016-08-22,40.0,31.0,13.0,7.0,5.0,3.0
2016-08-17,38.0,30.0,13.0,9.0,7.0,4.0
2016-08-15,45.0,34.0,6.0,7.0,4.0,4.0
2016-08-15,40.0,28.0,14.0,8.0,4.0,4.0
2016-08-09,38.0,31.0,13.0,8.0,7.0,4.0
2016-08-08,39.0,26.0,11.0,10.0,4.0,7.0
2016-08-02,42.0,28.0,12.0,8.0,6.0,3.0
2016-07-26,40.0,28.0,13.0,8.0,7.0,4.0
2016-07-24,43.0,27.0,13.0,8.0,4.0,4.0
2016-07-22,37.0,31.0,15.0,6.0,6.0,4.0
2016-07-18,40.0,29.0,12.0,9.0,7.0,3.0
2016-07-15,39.0,29.0,14.0,9.0,4.0,4.0
2016-07-11,36.0,35.0,8.0,11.0,5.0,4.0
2016-07-10,38.0,30.0,15.0,8.0,5.0,4.0
2016-07-05,36.0,32.0,12.0,9.0,6.0,
2016-07-03,37.0,30.0,15.0,8.0,5.0,4.0
2016-06-30,34.0,29.0,17.0,7.0,5.0,4.0
2016-06-26,36.0,32.0,15.0,7.0,5.0,5.0
2016-06-25,32.0,32.0,16.0,9.0,4.0,4.0
2016-06-22,34.0,30.0,19.0,6.0,6.0,4.0
2016-06-17,34.0,30.0,18.0,6.0,6.0,4.0
2016-06-16,34.0,29.0,19.0,8.0,5.0,4.0
2016-06-14,35.0,34.0,10.0,9.0,5.0,4.0
2016-06-13,34.0,30.0,19.0,8.0,4.0,4.0
2016-06-13,34.0,33.0,14.0,9.0,4.0,5.0
2016-06-10,35.0,32.0,18.0,4.0,5.0,4.0
2016-06-03,34.0,30.0,18.0,6.0,6.0,4.0
2016-05-29,36.0,31.0,17.0,7.0,4.0,4.0
2016-05-29,36.0,32.0,15.0,7.0,4.0,3.0
2016-05-19,35.0,30.0,18.0,5.0,6.0,5.0
2016-05-16,36.0,34.0,10.0,8.0,5.0,5.0
2016-05-15,36.0,34.0,13.0,7.0,4.0,4.0
2016-05-15,34.0,32.0,17.0,7.0,5.0,4.0
2016-05-12,36.0,30.0,17.0,8.0,5.0,4.0
2016-04-29,38.0,30.0,15.0,5.0,5.0,5.0
2016-04-26,30.0,33.0,20.0,6.0,8.0,3.0
2016-04-26,33.0,32.0,18.0,6.0,5.0,4.0
2016-04-18,38.0,35.0,11.0,6.0,6.0,3.0
2016-04-17,38.0,33.0,13.0,7.0,5.0,3.0
2016-04-17,36.0,31.0,16.0,7.0,4.0,4.0
2016-04-14,35.0,30.0,16.0,8.0,5.0,4.0
2016-04-12,31.0,34.0,17.0,8.0,7.0,3.0
2016-04-01,33.0,32.0,17.0,5.0,6.0,4.0
2016-03-29,36.0,31.0,16.0,7.0,5.0,5.0
2016-03-22,36.0,34.0,11.0,10.0,5.0,3.0
2016-03-20,37.0,35.0,9.0,7.0,5.0,4.0
2016-03-17,33.0,34.0,16.0,6.0,6.0,3.0
2016-03-13,36.0,36.0,11.0,8.0,3.0,3.0
2016-03-10,38.0,29.0,16.0,7.0,4.0,4.0
2016-02-23,37.0,30.0,16.0,8.0,6.0,3.0
2016-02-23,38.0,30.0,16.0,5.0,5.0,5.0
2016-02-22,38.0,31.0,12.0,8.0,4.0,3.0
2016-02-16,39.0,33.0,12.0,6.0,6.0,3.0
2016-02-14,39.0,32.0,11.0,7.0,4.0,4.0
2016-02-12,41.0,27.0,15.0,9.0,5.0,3.0
2016-02-04,39.0,29.0,18.0,6.0,4.0,3.0
2016-01-28,39.0,30.0,17.0,6.0,4.0,3.0
2016-01-25,40.0,31.0,11.0,7.0,5.0,4.0
2016-01-24,37.0,32.0,12.0,6.0,4.0,4.0
2016-01-17,40.0,35.0,10.0,6.0,4.0,3.0
2016-01-16,37.0,30.0,16.0,7.0,5.0,3.0
2016-01-15,40.0,29.0,16.0,7.0,4.0,3.0
2016-01-14,39.0,31.0,14.0,6.0,5.0,5.0
