Date,Con,Lab,Lib Dem,SNP,Green,Reform,UKIP,Change UK
2024-05-02,22.0,44.0,10.0,2.0,6.0,13.0,,
2024-05-01,18.0,44.0,10.0,2.0,8.0,15.0,,
2024-04-29,24.0,44.0,8.0,3.0,5.0,12.0,,
2024-04-29,22.0,44.0,10.0,3.0,6.0,13.0,,
2024-04-28,22.0,45.0,9.0,3.0,6.0,14.0,,
2024-04-28,24.0,43.0,11.0,3.0,6.0,11.0,,
2024-04-28,26.0,44.0,10.0,3.0,3.0,10.0,,
2024-04-26,22.0,44.0,9.0,3.0,6.0,13.0,,
2024-04-25,23.0,44.0,9.0,3.0,6.0,11.0,,
2024-04-25,26.0,44.0,9.0,3.0,4.0,10.0,,
2024-04-24,20.0,45.0,9.0,3.0,7.0,13.0,,
2024-04-23,25.0,41.0,9.0,3.0,6.0,14.0,,
2024-04-22,27.0,43.0,9.0,3.0,5.0,12.0,,
2024-04-21,20.0,43.0,12.0,3.0,6.0,14.0,,
2024-04-21,27.0,43.0,9.0,2.0,4.0,10.0,,
2024-04-19,26.0,43.0,9.0,2.0,7.0,11.0,,
2024-04-19,25.0,41.0,10.0,2.0,7.0,13.0,,
2024-04-18,26.0,44.0,11.0,3.0,4.0,8.0,,
2024-04-18,22.0,45.0,9.0,3.0,5.0,13.0,,
2024-04-17,21.0,44.0,8.0,3.0,8.0,14.0,,
2024-04-15,25.0,45.0,9.0,3.0,5.0,11.0,,
2024-04-15,23.0,44.0,6.0,,8.0,11.0,,
2024-04-15,19.0,44.0,9.0,3.0,9.0,13.0,,
2024-04-14,22.0,44.0,9.0,3.0,6.0,15.0,,
2024-04-14,25.0,43.0,10.0,3.0,4.0,9.0,,
2024-04-12,24.0,44.0,9.0,2.0,6.0,11.0,,
2024-04-11,23.0,44.0,10.0,3.0,5.0,12.0,,
2024-04-11,19.0,45.0,8.0,3.0,7.0,15.0,,
2024-04-07,21.0,44.0,10.0,2.0,6.0,15.0,,
2024-04-07,27.0,42.0,10.0,3.0,4.0,10.0,,
2024-04-07,24.0,42.0,10.0,4.0,5.0,13.0,,
2024-04-05,24.0,45.0,10.0,2.0,5.0,13.0,,
2024-04-05,25.0,41.0,10.0,3.0,8.0,11.0,,
2024-04-04,19.0,45.0,9.0,4.0,8.0,14.0,,
2024-04-04,22.0,45.0,9.0,3.0,5.0,13.0,,
2024-04-03,25.0,43.0,8.0,3.0,6.0,14.0,,
2024-04-03,20.0,43.0,8.0,3.0,8.0,16.0,,
2024-03-31,22.0,46.0,10.0,3.0,5.0,14.0,,
2024-03-28,23.0,44.0,10.0,3.0,5.0,12.0,,
2024-03-28,25.0,44.0,10.0,3.0,5.0,10.0,,
2024-03-27,21.0,40.0,10.0,3.0,8.0,16.0,,
2024-03-27,24.0,45.0,10.0,3.0,3.0,12.0,,
2024-03-27,24.0,41.0,12.0,,7.0,12.0,,
2024-03-25,26.0,44.0,9.0,3.0,6.0,11.0,,
2024-03-24,27.0,42.0,10.0,3.0,5.0,11.0,,
2024-03-24,22.0,42.0,12.0,2.0,6.0,14.0,,
2024-03-24,24.0,44.0,10.0,3.0,4.0,11.0,,
2024-03-22,25.0,41.0,10.0,3.0,8.0,11.0,,
2024-03-22,24.0,47.0,10.0,2.0,6.0,11.0,,
2024-03-22,26.0,45.0,10.0,3.0,4.0,9.0,,
2024-03-21,22.0,43.0,10.0,3.0,6.0,13.0,,
2024-03-20,25.0,43.0,11.0,3.0,5.0,11.0,,
2024-03-20,19.0,44.0,9.0,3.0,8.0,15.0,,
2024-03-18,23.0,46.0,9.0,2.0,5.0,12.0,,
2024-03-17,21.0,47.0,8.0,3.0,6.0,14.0,,
2024-03-17,26.0,44.0,9.0,3.0,4.0,11.0,,
2024-03-15,24.0,42.0,10.0,3.0,7.0,,,
2024-03-15,25.0,43.0,10.0,2.0,6.0,12.0,,
2024-03-14,22.0,44.0,11.0,3.0,5.0,12.0,,
2024-03-14,26.0,45.0,11.0,2.0,3.0,8.0,,
2024-03-13,20.0,44.0,9.0,3.0,7.0,14.0,,
2024-03-11,27.0,42.0,10.0,3.0,6.0,10.0,,
2024-03-11,27.0,44.0,10.0,2.0,4.0,11.0,,
2024-03-11,23.0,45.0,6.0,3.0,8.0,11.0,,
2024-03-10,24.0,42.0,12.0,2.0,5.0,14.0,,
2024-03-10,25.0,43.0,11.0,3.0,4.0,9.0,,
2024-03-08,24.0,43.0,9.0,3.0,6.0,13.0,,
2024-03-08,25.0,41.0,10.0,3.0,7.0,11.0,,
2024-03-07,18.0,46.0,10.0,4.0,7.0,13.0,,
2024-03-07,25.0,41.0,10.0,3.0,6.0,13.0,,
2024-03-07,20.0,47.0,9.0,3.0,7.0,13.0,,
2024-03-07,23.0,44.0,11.0,3.0,6.0,11.0,,
2024-03-04,27.0,41.0,9.0,3.0,6.0,12.0,,
2024-03-03,23.0,43.0,10.0,3.0,6.0,13.0,,
2024-03-03,27.0,44.0,10.0,3.0,4.0,8.0,,
2024-03-01,23.0,47.0,9.0,3.0,5.0,10.0,,
2024-03-01,25.0,40.0,10.0,3.0,7.0,12.0,,
2024-02-29,20.0,46.0,7.0,3.0,7.0,14.0,,
2024-02-29,23.0,44.0,10.0,3.0,7.0,10.0,,
2024-02-28,20.0,47.0,9.0,4.0,8.0,8.0,,
2024-02-27,28.0,43.0,10.0,3.0,5.0,9.0,,
2024-02-26,23.0,44.0,11.0,3.0,5.0,10.0,,
2024-02-25,23.0,43.0,10.0,3.0,8.0,12.0,,
2024-02-25,26.0,44.0,10.0,3.0,4.0,10.0,,
2024-02-23,27.0,42.0,10.0,3.0,7.0,10.0,,
2024-02-23,25.0,44.0,9.0,3.0,6.0,10.0,,
2024-02-22,24.0,44.0,10.0,3.0,6.0,10.0,,
2024-02-21,20.0,46.0,9.0,4.0,7.0,13.0,,
2024-02-19,27.0,48.0,8.0,3.0,6.0,7.0,,
2024-02-18,23.0,46.0,9.0,3.0,6.0,11.0,,
2024-02-18,28.0,42.0,10.0,3.0,4.0,8.0,,
2024-02-16,26.0,46.0,9.0,2.0,6.0,8.0,,
2024-02-16,27.0,43.0,10.0,3.0,7.0,9.0,,
2024-02-15,23.0,42.0,11.0,3.0,7.0,11.0,,
2024-02-15,24.0,44.0,9.0,3.0,8.0,11.0,,
2024-02-15,29.0,44.0,9.0,3.0,3.0,7.0,,
2024-02-12,22.0,45.0,9.0,3.0,7.0,12.0,,
2024-02-12,27.0,45.0,8.0,3.0,4.0,10.0,,
2024-02-12,27.0,43.0,7.0,3.0,8.0,10.0,,
2024-02-12,22.0,42.0,11.0,4.0,7.0,10.0,,
2024-02-11,21.0,46.0,11.0,3.0,5.0,12.0,,
2024-02-11,29.0,41.0,11.0,3.0,3.0,8.0,,
2024-02-11,29.0,40.0,11.0,3.0,6.0,10.0,,
2024-02-09,26.0,42.0,11.0,3.0,6.0,10.0,,
2024-02-09,25.0,43.0,11.0,2.0,7.0,10.0,,
2024-02-08,24.0,44.0,10.0,3.0,6.0,10.0,,
2024-02-08,21.0,46.0,9.0,3.0,7.0,12.0,,
2024-02-07,20.0,42.0,10.0,3.0,8.0,13.0,,
2024-02-05,23.0,44.0,11.0,3.0,5.0,12.0,,
2024-02-05,27.0,43.0,10.0,3.0,5.0,9.0,,
2024-02-04,24.0,45.0,9.0,3.0,4.0,12.0,,
2024-02-02,23.0,45.0,9.0,3.0,9.0,11.0,,
2024-02-01,23.0,45.0,10.0,3.0,6.0,10.0,,
2024-01-31,29.0,44.0,11.0,2.0,6.0,8.0,,
2024-01-31,23.0,44.0,9.0,3.0,6.0,12.0,,
2024-01-31,27.0,44.0,11.0,4.0,3.0,7.0,,
2024-01-31,29.0,43.0,10.0,3.0,6.0,8.0,,
2024-01-29,22.0,45.0,11.0,3.0,6.0,12.0,,
2024-01-29,29.0,43.0,10.0,2.0,6.0,9.0,,
2024-01-28,27.0,46.0,10.0,2.0,3.0,9.0,,
2024-01-26,23.0,47.0,9.0,2.0,6.0,12.0,,
2024-01-26,27.0,42.0,10.0,3.0,6.0,10.0,,
2024-01-25,20.0,45.0,10.0,4.0,9.0,12.0,,
2024-01-25,24.0,44.0,10.0,3.0,7.0,9.0,,
2024-01-24,20.0,47.0,8.0,4.0,6.0,13.0,,
2024-01-23,27.0,49.0,7.0,4.0,7.0,4.0,,
2024-01-22,28.0,45.0,9.0,3.0,5.0,8.0,,
2024-01-21,22.0,45.0,11.0,2.0,6.0,12.0,,
2024-01-21,29.0,43.0,10.0,3.0,4.0,8.0,,
2024-01-19,23.0,48.0,9.0,3.0,5.0,10.0,,
2024-01-18,25.0,43.0,11.0,3.0,6.0,9.0,,
2024-01-17,20.0,47.0,8.0,3.0,7.0,12.0,,
2024-01-15,28.0,44.0,10.0,3.0,6.0,7.0,,
2024-01-15,27.0,44.0,6.0,3.0,6.0,10.0,,
2024-01-14,25.0,44.0,10.0,3.0,5.0,11.0,,
2024-01-14,27.0,44.0,11.0,3.0,4.0,7.0,,
2024-01-12,23.0,45.0,11.0,3.0,5.0,11.0,,
2024-01-12,27.0,41.0,11.0,4.0,6.0,10.0,,
2024-01-11,24.0,44.0,10.0,3.0,6.0,10.0,,
2024-01-11,22.0,45.0,9.0,3.0,8.0,10.0,,
2024-01-11,27.0,42.0,10.0,3.0,8.0,9.0,,
2024-01-07,27.0,43.0,10.0,3.0,5.0,11.0,,
2024-01-07,26.0,45.0,10.0,3.0,5.0,8.0,,
2024-01-05,25.0,47.0,9.0,2.0,5.0,10.0,,
2024-01-04,26.0,39.5,12.5,3.0,7.5,9.0,,
2024-01-03,22.0,46.0,10.0,3.0,7.0,9.0,,
2023-12-30,26.0,43.0,11.0,3.0,6.0,11.0,,
2023-12-29,28.0,42.0,12.0,2.0,6.0,9.0,,
2023-12-28,23.0,45.0,10.0,4.0,6.0,10.0,,
2023-12-22,27.0,41.0,12.0,3.0,6.0,9.0,,
2023-12-21,23.0,43.0,11.0,3.0,7.0,10.0,,
2023-12-20,24.0,43.0,10.0,3.0,8.0,11.0,,
2023-12-18,28.0,45.0,10.0,2.0,2.0,8.0,,
2023-12-17,24.0,42.0,11.0,4.0,6.0,10.0,,
2023-12-17,27.0,43.0,10.0,3.0,3.0,9.0,,
2023-12-15,25.0,46.0,10.0,3.0,5.0,9.0,,
2023-12-15,27.0,40.0,11.0,3.0,7.0,9.0,,
2023-12-14,22.0,44.0,12.0,3.0,7.0,9.0,,
2023-12-14,28.0,42.0,11.0,4.0,6.0,8.0,,
2023-12-13,22.0,44.0,10.0,3.0,7.0,11.0,,
2023-12-11,29.0,40.0,11.0,3.0,7.0,7.0,,
