Date,Lab,Con,Lib Dem
1955-05-26,46.4,49.7,2.7
1955-05-24,47.2,50.2,2.2
1955-05-24,47.5,51.0,1.5
1955-05-20,47.0,51.0,2.0
1955-05-17,47.0,50.5,2.5
1955-05-10,47.0,49.5,3.0
1955-05-03,47.5,48.5,3.0
1955-04-01,47.0,47.5,5.0
1955-04-01,44.0,48.0,7.0
1955-03-01,44.5,46.5,8.0
1955-02-01,44.5,46.5,8.0
1955-01-01,45.5,46.5,7.0
1954-11-01,47.0,46.0,6.0
1954-10-01,45.5,45.0,8.0
1954-09-01,48.0,43.0,8.0
1954-08-01,48.5,42.5,8.0
1954-06-01,47.5,45.0,7.0
1954-05-01,47.5,45.5,6.5
1954-04-27,46.0,46.5,7.0
1954-03-31,45.5,46.0,7.0
1954-03-21,45.5,46.5,7.0
1954-02-26,45.5,47.0,7.0
1954-02-28,44.5,45.0,9.0
1954-01-31,46.5,45.5,7.0
1953-12-01,47.0,45.0,7.0
1953-10-01,47.5,45.0,7.0
1953-09-01,47.5,44.5,8.0
1953-08-01,46.0,45.0,8.0
1953-06-01,46.0,46.0,7.0
1953-05-01,45.0,47.0,7.5
1953-04-01,45.0,47.0,7.5
1953-03-01,44.5,46.5,8.0
1953-02-01,46.0,42.5,10.0
1953-01-01,46.0,42.5,10.0
1952-12-01,45.5,44.0,9.5
1952-11-01,46.5,43.5,9.0
1952-10-01,48.0,41.5,9.0
1952-09-01,48.5,41.0,9.0
1952-08-01,48.0,40.0,10.5
1952-07-01,50.0,40.0,8.5
1952-06-01,49.0,40.5,9.5
1952-05-01,49.0,43.5,7.0
1952-04-01,49.0,43.5,
1952-03-01,48.0,41.5,9.5
1952-02-01,47.0,41.0,10.5
1952-01-01,48.0,44.5,6.0
1951-12-01,47.0,45.0,6.5
