Date,Lab,Con,Lib Dem
1950-02-23,46.1,43.4,9.1
1950-02-23,44.0,45.0,10.0
1950-02-22,45.0,43.5,10.5
1950-02-15,42.5,45.5,12.0
1950-02-20,44.5,46.0,9.0
1950-02-17,45.0,42.5,12.0
1950-02-13,45.0,45.0,9.5
1950-02-10,44.5,43.0,12.0
1950-02-06,44.0,45.0,10.0
1950-01-30,42.5,47.5,8.5
1950-01-30,45.5,44.0,10.0
1950-01-23,42.0,48.0,9.0
1950-01-20,41.5,44.0,12.5
1949-12-01,41.0,45.0,12.5
1949-11-01,38.0,48.0,11.0
1949-11-01,40.0,43.5,14.0
1949-11-01,39.0,50.0,8.0
1949-10-01,39.5,45.5,12.5
1949-09-01,40.0,46.0,12.0
1949-08-01,40.5,46.5,11.5
1949-07-01,40.5,44.5,12.5
1949-06-01,41.5,46.0,10.0
1949-05-01,40.0,46.0,11.0
1949-04-01,43.5,42.0,13.0
1949-03-01,43.0,41.5,13.0
1949-02-01,43.5,44.5,9.5
1949-01-01,40.5,44.0,13.0
1948-11-01,43.0,46.0,8.5
1948-10-01,41.5,46.5,9.5
1948-09-01,41.5,47.5,10.0
1948-08-01,41.0,48.0,8.5
1948-07-01,39.5,48.0,9.0
1948-05-01,41.5,45.0,11.0
1948-04-01,41.0,42.5,10.5
1948-03-01,43.0,46.0,8.5
1948-02-01,42.0,46.0,8.5
1948-01-01,43.5,44.5,10.5
1947-11-01,45.0,45.0,12.0
1947-09-01,39.5,44.5,11.5
1947-08-01,41.0,44.5,11.0
1947-07-01,42.5,42.5,12.5
1947-06-01,42.5,42.5,12.5
1947-03-01,43.5,43.5,10.5
1947-01-01,44.5,41.0,12.0
1946-05-01,43.5,40.0,13.0
1946-01-01,52.5,32.0,11.0
