Date,Con,Lab,Lib Dem
1974-10-10,35.8,39.3,18.3
1974-10-09,34.6,43.0,19.3
1974-10-09,34.4,41.8,19.4
1974-10-08,35.0,44.0,17.0
1974-10-08,33.3,43.8,19.5
1974-10-07,36.0,41.5,19.0
1974-10-06,33.5,43.5,20.0
1974-10-05,31.0,45.5,19.5
1974-10-04,33.1,42.9,19.7
1974-10-03,37.0,42.5,17.5
1974-10-03,34.0,43.0,20.0
1974-10-02,35.5,40.0,20.0
1974-09-30,35.0,42.5,19.0
1974-09-29,33.0,42.0,21.0
1974-09-29,35.0,43.5,18.5
1974-09-26,39.0,44.0,15.0
1974-09-25,36.0,40.0,20.0
1974-09-25,34.0,43.0,20.0
1974-09-22,36.5,42.5,19.0
1974-09-22,37.5,42.5,18.0
1974-09-22,31.0,45.0,20.0
1974-09-19,33.0,45.0,19.0
1974-09-19,35.0,43.0,19.0
1974-09-19,36.0,39.5,20.0
1974-09-17,34.0,42.0,20.5
1974-09-15,34.0,38.0,23.0
1974-09-15,32.0,46.6,18.2
1974-09-12,36.0,46.0,16.0
1974-09-04,37.5,40.5,18.0
1974-08-12,35.5,39.5,21.0
1974-07-28,35.4,44.8,18.2
1974-07-15,35.0,38.0,21.0
1974-06-17,35.5,44.0,17.0
1974-05-13,33.0,46.5,17.0
1974-04-16,33.0,49.0,15.5
1974-03-24,33.6,47.7,15.0
1974-03-18,35.0,43.0,19.0
1974-03-17,35.7,43.3,17.9
