Date,Lab,Con,Lib Dem
2010-05-06,29.7,36.9,23.6
2010-05-05,29.0,36.0,27.0
2010-05-05,29.0,35.0,27.0
2010-05-05,28.0,37.0,27.0
2010-05-05,24.0,36.0,29.0
2010-05-05,27.0,35.0,26.0
2010-05-04,28.0,36.0,26.0
2010-05-04,30.0,35.0,24.0
2010-05-04,27.0,33.0,29.0
2010-05-04,26.0,36.0,28.0
2010-05-03,29.0,37.0,26.0
2010-05-03,28.0,33.0,27.0
2010-05-02,28.0,34.0,29.0
2010-05-02,29.0,37.0,26.0
2010-05-01,27.0,35.0,28.0
2010-05-01,28.0,38.0,25.0
2010-04-30,29.0,36.0,27.0
2010-04-30,23.0,35.0,29.0
2010-04-29,27.0,34.0,28.0
2010-04-28,27.0,34.0,31.0
2010-04-27,29.0,33.0,28.0
2010-04-27,29.0,36.0,26.0
2010-04-27,27.0,36.0,28.0
2010-04-27,27.0,34.0,30.0
2010-04-26,28.0,33.0,29.0
2010-04-26,25.0,34.0,28.0
2010-04-26,23.0,33.0,30.0
2010-04-26,25.0,32.0,30.0
2010-04-25,28.0,34.0,30.0
2010-04-25,28.0,32.0,31.0
2010-04-25,28.0,33.0,30.0
2010-04-24,27.0,35.0,28.0
2010-04-24,28.0,34.0,29.0
2010-04-23,26.0,35.0,31.0
2010-04-23,30.0,36.0,23.0
2010-04-22,29.0,34.0,28.0
2010-04-21,27.0,33.0,31.0
2010-04-20,26.0,31.0,34.0
2010-04-20,23.0,32.0,33.0
2010-04-20,25.0,35.0,27.0
2010-04-20,28.0,32.0,31.0
2010-04-20,28.0,32.0,32.0
2010-04-20,29.0,34.0,30.0
2010-04-19,27.0,33.0,31.0
2010-04-19,26.0,32.0,29.0
2010-04-19,24.0,32.0,32.0
2010-04-19,26.0,31.0,30.0
2010-04-18,26.0,32.0,33.0
2010-04-18,28.0,33.0,30.0
2010-04-17,30.0,33.0,29.0
2010-04-17,27.0,31.0,29.0
2010-04-16,28.0,33.0,30.0
2010-04-15,28.0,35.0,24.0
2010-04-15,29.0,34.0,27.0
2010-04-15,31.0,37.0,22.0
2010-04-14,32.0,41.0,18.0
2010-04-13,29.0,35.0,21.0
2010-04-13,31.0,39.0,20.0
2010-04-13,27.0,36.0,23.0
2010-04-13,33.0,36.0,22.0
2010-04-12,33.0,36.0,21.0
2010-04-12,31.0,36.0,19.0
2010-04-12,28.0,38.0,22.0
2010-04-12,33.0,39.0,20.0
2010-04-12,31.0,39.0,17.0
2010-04-11,30.0,37.0,20.0
2010-04-11,31.0,37.0,20.0
2010-04-11,31.0,37.0,20.0
2010-04-10,32.0,40.0,18.0
2010-04-10,32.0,39.0,16.0
2010-04-09,30.0,40.0,20.0
2010-04-08,27.0,37.0,22.0
2010-04-08,31.0,40.0,18.0
2010-04-07,30.0,38.0,21.0
2010-04-07,32.0,37.0,19.0
2010-04-07,26.0,37.0,22.0
2010-04-06,32.0,39.0,21.0
2010-04-06,32.0,40.0,17.0
2010-04-06,28.0,37.0,20.0
2010-04-05,31.0,41.0,18.0
2010-04-05,29.0,39.0,17.0
2010-04-03,33.0,37.0,21.0
2010-04-02,29.0,39.0,20.0
2010-04-01,27.0,38.0,20.0
2010-04-01,31.0,39.0,19.0
2010-03-31,29.0,38.0,23.0
2010-03-31,32.0,38.0,19.0
2010-03-31,28.0,37.0,22.0
2010-03-30,31.0,38.0,19.0
2010-03-30,33.0,38.0,19.0
2010-03-29,32.0,39.0,18.0
2010-03-29,28.0,38.0,18.0
2010-03-29,27.0,37.0,19.0
2010-03-28,30.0,37.0,20.0
2010-03-26,32.0,37.0,19.0
2010-03-25,31.0,39.0,19.0
2010-03-25,33.0,37.0,18.0
2010-03-24,34.0,36.0,17.0
2010-03-23,33.0,37.0,18.0
2010-03-22,32.0,36.0,20.0
2010-03-22,30.0,35.0,21.0
2010-03-22,30.0,37.0,15.0
2010-03-22,28.0,35.0,17.0
2010-03-19,31.0,38.0,19.0
2010-03-18,32.0,38.0,19.0
2010-03-18,32.0,36.0,20.0
2010-03-17,32.0,36.0,20.0
2010-03-16,26.0,39.0,21.0
2010-03-16,32.0,37.0,19.0
2010-03-16,28.0,36.0,18.0
2010-03-15,32.0,37.0,21.0
2010-03-15,28.0,39.0,16.0
2010-03-14,31.0,40.0,20.0
2010-03-12,33.0,37.0,17.0
2010-03-11,31.0,38.0,21.0
2010-03-11,34.0,37.0,17.0
2010-03-10,32.0,37.0,17.0
2010-03-10,26.0,39.0,18.0
2010-03-09,32.0,36.0,20.0
2010-03-08,34.0,39.0,16.0
2010-03-08,30.0,37.0,16.0
2010-03-08,29.0,37.0,18.0
2010-03-05,33.0,38.0,17.0
2010-03-04,31.0,40.0,18.0
2010-03-04,32.0,38.0,17.0
2010-03-03,32.0,38.0,19.0
2010-03-03,31.0,39.0,19.0
2010-03-02,33.0,38.0,16.0
2010-03-01,32.0,39.0,17.0
2010-02-28,32.0,37.0,19.0
2010-02-26,35.0,37.0,17.0
2010-02-25,33.0,39.0,16.0
2010-02-24,32.0,38.0,19.0
2010-02-24,32.0,36.0,21.0
2010-02-23,32.0,38.0,17.0
2010-02-22,33.0,39.0,17.0
2010-02-22,32.0,37.0,19.0
2010-02-22,30.0,39.0,22.0
2010-02-21,30.0,37.0,20.0
2010-02-19,33.0,39.0,17.0
2010-02-19,26.0,38.0,19.0
2010-02-18,32.0,39.0,18.0
2010-02-17,30.0,38.0,20.0
2010-02-17,26.0,40.0,18.0
2010-02-17,30.0,39.0,18.0
2010-02-11,29.0,40.0,21.0
2010-02-10,25.0,38.0,20.0
2010-02-07,30.0,40.0,20.0
2010-02-04,30.0,39.0,20.0
2010-01-31,31.0,38.0,19.0
2010-01-30,30.0,39.0,18.0
2010-01-29,31.0,38.0,19.0
2010-01-28,31.0,40.0,18.0
2010-01-28,32.0,40.0,16.0
2010-01-27,24.0,40.0,19.0
2010-01-24,29.0,40.0,21.0
2010-01-21,29.0,38.0,19.0
2010-01-15,31.0,40.0,18.0
2010-01-14,29.0,42.0,19.0
2010-01-10,24.0,40.0,20.0
2010-01-10,28.0,41.0,19.0
2010-01-07,30.0,40.0,18.0
2010-01-07,30.0,42.0,16.0
2010-01-06,31.0,40.0,17.0
2009-12-30,30.0,40.0,17.0
2009-12-20,29.0,38.0,19.0
2009-12-18,24.0,40.0,20.0
2009-12-17,28.0,40.0,18.0
2009-12-13,31.0,40.0,18.0
2009-12-13,26.0,43.0,20.0
2009-12-11,31.0,40.0,16.0
2009-12-10,24.0,41.0,21.0
2009-12-10,23.0,40.0,19.0
2009-12-06,30.0,38.0,20.0
2009-12-04,27.0,40.0,18.0
2009-12-03,29.0,40.0,19.0
2009-11-29,27.0,37.0,20.0
2009-11-26,29.0,39.0,19.0
2009-11-23,22.0,39.0,21.0
2009-11-15,31.0,37.0,17.0
2009-11-15,29.0,42.0,19.0
2009-11-13,27.0,41.0,18.0
2009-11-12,25.0,39.0,17.0
2009-11-08,29.0,39.0,18.0
2009-11-06,24.0,38.0,20.0
2009-11-05,27.0,41.0,17.0
2009-10-29,25.0,42.0,21.0
2009-10-29,28.0,41.0,16.0
2009-10-25,27.0,40.0,18.0
2009-10-23,27.0,40.0,19.0
2009-10-18,27.0,44.0,18.0
2009-10-18,26.0,43.0,19.0
2009-10-16,23.0,40.0,20.0
2009-10-16,30.0,41.0,17.0
2009-10-15,28.0,40.0,19.0
2009-10-11,30.0,40.0,18.0
2009-10-09,28.0,42.0,18.0
2009-10-09,27.0,44.0,17.0
2009-10-09,26.0,45.0,18.0
2009-10-08,31.0,40.0,18.0
2009-10-07,29.0,43.0,17.0
2009-10-06,28.0,41.0,18.0
2009-10-05,27.0,40.0,20.0
2009-10-03,28.0,40.0,18.0
2009-10-02,29.0,41.0,17.0
2009-10-01,28.0,40.0,19.0
2009-10-01,26.0,40.0,20.0
2009-09-30,30.0,37.0,21.0
2009-09-29,29.0,40.0,18.0
2009-09-28,29.0,39.0,20.0
2009-09-27,24.0,36.0,25.0
2009-09-25,24.0,40.0,21.0
2009-09-24,25.0,38.0,23.0
2009-09-24,26.0,40.0,23.0
2009-09-24,26.0,39.0,20.0
2009-09-23,28.0,38.0,19.0
2009-09-22,27.0,39.0,20.0
2009-09-21,30.0,39.0,17.0
2009-09-20,26.0,43.0,19.0
2009-09-13,27.0,41.0,18.0
2009-09-11,27.0,41.0,17.0
2009-09-06,24.0,40.0,21.0
2009-09-06,27.0,40.0,18.0
2009-08-28,28.0,42.0,17.0
2009-08-27,26.0,42.0,18.0
2009-08-23,26.0,43.0,17.0
2009-08-23,25.0,41.0,19.0
2009-08-20,24.0,41.0,18.0
2009-08-14,28.0,42.0,18.0
2009-08-13,26.0,43.0,19.0
2009-07-30,27.0,41.0,18.0
2009-07-26,24.0,42.0,18.0
2009-07-23,25.0,40.0,20.0
2009-07-19,24.0,40.0,18.0
2009-07-19,26.0,38.0,20.0
2009-07-17,25.0,42.0,18.0
2009-07-16,23.0,38.0,22.0
2009-07-11,27.0,41.0,20.0
2009-07-03,26.0,39.0,19.0
2009-06-28,25.0,36.0,19.0
2009-06-26,24.0,40.0,17.0
2009-06-25,25.0,38.0,18.0
2009-06-21,21.0,38.0,19.0
2009-06-18,22.0,39.0,18.0
2009-06-17,20.0,35.0,16.0
2009-06-14,25.0,39.0,19.0
2009-06-14,27.0,39.0,18.0
2009-06-12,24.0,40.0,18.0
2009-06-10,24.0,36.0,19.0
2009-06-07,22.0,38.0,20.0
2009-06-03,21.0,37.0,19.0
2009-05-31,22.0,30.0,18.0
2009-05-29,22.0,39.0,18.0
2009-05-28,22.0,40.0,25.0
2009-05-28,21.0,41.0,15.0
2009-05-20,27.0,39.0,17.0
2009-05-17,28.0,39.0,20.0
2009-05-16,23.0,39.0,19.0
2009-05-14,21.0,40.0,18.0
2009-05-14,22.0,41.0,19.0
2009-05-10,26.0,39.0,22.0
2009-05-09,23.0,45.0,17.0
2009-05-08,27.0,43.0,18.0
2009-04-26,26.0,45.0,17.0
2009-04-24,27.0,45.0,17.0
2009-04-23,27.0,45.0,18.0
2009-04-19,28.0,41.0,22.0
2009-04-19,30.0,40.0,19.0
2009-04-16,26.0,43.0,21.0
2009-04-05,30.0,43.0,18.0
2009-04-04,34.0,41.0,16.0
2009-03-29,28.0,40.0,18.0
2009-03-26,31.0,44.0,18.0
2009-03-26,31.0,41.0,17.0
2009-03-19,30.0,41.0,17.0
2009-03-15,30.0,42.0,20.0
2009-03-15,32.0,42.0,14.0
2009-03-13,31.0,41.0,17.0
2009-03-08,30.0,42.0,19.0
2009-03-01,28.0,44.0,17.0
2009-02-26,31.0,41.0,15.0
2009-02-22,30.0,42.0,18.0
2009-02-15,28.0,48.0,17.0
2009-02-13,32.0,44.0,14.0
2009-02-12,25.0,41.0,22.0
2009-02-08,28.0,42.0,18.0
2009-02-05,28.0,40.0,22.0
2009-01-29,32.0,43.0,16.0
2009-01-25,32.0,44.0,16.0
2009-01-22,28.0,43.0,16.0
2009-01-18,30.0,44.0,17.0
2009-01-16,32.0,45.0,14.0
2009-01-15,32.0,41.0,15.0
2009-01-11,33.0,43.0,15.0
2009-01-08,34.0,41.0,15.0
2008-12-21,34.0,39.0,16.0
2008-12-18,35.0,42.0,14.0
2008-12-14,35.0,39.0,15.0
2008-12-14,33.0,38.0,19.0
2008-12-12,35.0,41.0,15.0
2008-12-11,36.0,37.0,14.0
2008-12-11,36.0,41.0,11.0
2008-12-07,35.0,39.0,17.0
2008-11-30,36.0,37.0,17.0
2008-11-28,32.0,43.0,15.0
2008-11-26,30.0,45.0,18.0
2008-11-25,36.0,40.0,14.0
2008-11-20,31.0,42.0,19.0
2008-11-16,37.0,40.0,12.0
2008-11-14,36.0,41.0,14.0
2008-11-13,32.0,43.0,12.0
2008-11-09,35.0,41.0,16.0
2008-11-06,30.0,43.0,18.0
2008-11-02,31.0,45.0,13.0
2008-10-29,33.0,42.0,15.0
2008-10-26,31.0,39.0,16.0
2008-10-19,30.0,45.0,14.0
2008-10-19,30.0,42.0,21.0
2008-10-18,30.0,46.0,13.0
2008-10-17,34.0,42.0,14.0
2008-10-16,31.0,40.0,16.0
2008-10-10,33.0,43.0,14.0
2008-10-05,30.0,45.0,15.0
2008-10-03,31.0,45.0,15.0
2008-09-28,29.0,41.0,18.0
2008-09-26,31.0,43.0,17.0
2008-09-25,32.0,41.0,18.0
2008-09-24,31.0,41.0,16.0
2008-09-18,27.0,39.0,21.0
2008-09-19,24.0,44.0,20.0
2008-09-14,24.0,52.0,12.0
2008-09-12,27.0,46.0,16.0
2008-09-04,25.0,44.0,17.0
2008-08-31,27.0,43.0,18.0
2008-08-27,26.0,45.0,16.0
2008-08-21,25.0,46.0,16.0
2008-08-17,29.0,44.0,19.0
2008-08-17,24.0,48.0,16.0
2008-08-15,25.0,45.0,18.0
2008-08-08,26.0,46.0,17.0
2008-08-02,24.0,47.0,16.0
2008-08-01,29.0,45.0,16.0
2008-07-31,25.0,47.0,16.0
2008-07-27,27.0,43.0,18.0
2008-07-25,26.0,45.0,17.0
2008-07-24,24.0,46.0,18.0
2008-07-20,27.0,47.0,15.0
2008-07-20,28.0,43.0,19.0
2008-07-17,24.0,45.0,16.0
2008-07-11,25.0,47.0,16.0
2008-07-06,28.0,41.0,19.0
2008-06-26,25.0,46.0,18.0
2008-06-25,28.0,46.0,15.0
2008-06-22,25.0,45.0,20.0
2008-06-20,26.0,49.0,14.0
2008-06-15,28.0,45.0,16.0
2008-06-12,26.0,44.0,17.0
2008-06-13,25.0,47.0,18.0
2008-06-08,25.0,45.0,20.0
2008-06-05,26.0,42.0,21.0
2008-06-01,30.0,44.0,16.0
2008-05-29,23.0,47.0,18.0
2008-05-18,27.0,41.0,22.0
2008-05-16,25.0,45.0,18.0
2008-05-15,26.0,43.0,19.0
2008-05-08,23.0,49.0,17.0
2008-05-04,29.0,40.0,19.0
2008-04-27,26.0,40.0,20.0
2008-04-24,29.0,39.0,20.0
2008-04-23,26.0,44.0,17.0
2008-04-22,31.0,40.0,19.0
2008-04-20,34.0,39.0,19.0
2008-04-17,30.0,40.0,19.0
2008-04-11,28.0,44.0,17.0
2008-04-10,33.0,39.0,17.0
2008-04-03,32.0,43.0,18.0
2008-03-30,31.0,38.0,17.0
2008-03-27,29.0,43.0,17.0
2008-03-18,35.0,40.0,18.0
2008-03-16,29.0,42.0,21.0
2008-03-14,27.0,43.0,16.0
2008-03-13,31.0,40.0,20.0
2008-03-09,34.0,37.0,19.0
2008-02-27,33.0,40.0,16.0
2008-02-26,37.0,39.0,16.0
2008-02-24,30.0,41.0,17.0
2008-02-20,34.0,40.0,16.0
2008-02-17,34.0,37.0,21.0
2008-02-15,32.0,41.0,16.0
2008-02-03,31.0,40.0,17.0
2008-01-31,32.0,37.0,21.0
2008-01-27,30.0,38.0,17.0
2008-01-23,33.0,41.0,16.0
2008-01-22,38.0,37.0,16.0
2008-01-20,35.0,37.0,20.0
2008-01-11,33.0,43.0,14.0
2008-01-10,33.0,40.0,18.0
2008-01-10,32.0,42.0,15.0
2008-01-06,33.0,37.0,19.0
2007-12-19,34.0,39.0,18.0
2007-12-19,31.0,43.0,16.0
2007-12-16,30.0,41.0,16.0
2007-12-14,32.0,45.0,14.0
2007-12-09,32.0,40.0,16.0
2007-12-07,35.0,42.0,14.0
2007-11-29,30.0,41.0,19.0
2007-11-29,32.0,43.0,14.0
2007-11-27,32.0,41.0,17.0
2007-11-25,27.0,41.0,18.0
2007-11-22,31.0,37.0,21.0
2007-11-22,32.0,41.0,14.0
2007-11-16,35.0,41.0,13.0
2007-11-10,35.0,43.0,15.0
2007-11-04,37.0,36.0,16.0
2007-11-01,35.0,40.0,13.0
2007-10-28,35.0,40.0,18.0
2007-10-28,33.0,42.0,15.0
2007-10-24,38.0,41.0,11.0
2007-10-23,41.0,40.0,13.0
2007-10-11,36.0,43.0,14.0
2007-10-10,38.0,41.0,11.0
2007-10-06,38.0,41.0,11.0
2007-10-07,40.0,38.0,12.0
2007-10-04,40.0,36.0,13.0
2007-10-04,38.0,38.0,16.0
2007-10-03,39.0,36.0,15.0
2007-09-28,43.0,32.0,15.0
2007-09-28,41.0,34.0,16.0
2007-09-27,41.0,31.0,17.0
2007-09-26,44.0,31.0,15.0
2007-09-25,44.0,33.0,13.0
2007-09-22,42.0,34.0,14.0
2007-09-21,39.0,33.0,16.0
2007-09-20,39.0,33.0,19.0
2007-09-16,40.0,32.0,20.0
2007-09-14,39.0,34.0,15.0
2007-09-12,37.0,34.0,15.0
2007-09-02,37.0,36.0,18.0
2007-08-31,38.0,35.0,15.0
2007-08-30,35.0,36.0,14.0
2007-08-29,41.0,36.0,16.0
2007-08-28,37.0,36.0,16.0
2007-08-28,41.0,33.0,14.0
2007-08-23,39.0,34.0,18.0
2007-08-10,42.0,32.0,14.0
2007-08-10,39.0,33.0,18.0
2007-08-09,38.0,33.0,15.0
2007-07-29,39.0,33.0,15.0
2007-07-29,37.0,34.0,16.0
2007-07-25,41.0,32.0,16.0
2007-07-22,38.0,32.0,20.0
2007-07-20,40.0,33.0,15.0
2007-07-17,41.0,35.0,15.0
2007-07-05,37.0,35.0,17.0
2007-07-01,37.0,34.0,18.0
2007-06-29,38.0,35.0,15.0
2007-06-28,39.0,35.0,18.0
2007-06-24,32.0,37.0,18.0
2007-06-20,39.0,36.0,15.0
2007-06-15,35.0,37.0,14.0
2007-06-03,33.0,36.0,17.0
2007-05-31,32.0,37.0,21.0
2007-05-28,31.0,35.0,19.0
2007-05-23,33.0,39.0,15.0
2007-05-20,32.0,34.0,21.0
2007-05-13,33.0,37.0,17.0
2007-05-11,34.0,38.0,15.0
2007-04-25,32.0,37.0,18.0
2007-04-25,31.0,38.0,20.0
2007-04-22,30.0,37.0,21.0
2007-04-15,29.0,37.0,20.0
2007-04-05,31.0,39.0,16.0
