Date,Con,Lab,Lib Dem,SNP,Green,Reform,UKIP,Change UK
2019-12-12,43.6,32.1,11.6,3.9,2.7,2.0,0.1,0.0
2019-12-12,44.7,33.0,11.8,4.0,2.8,2.1,0.1,0.0
2019-12-11,45.0,34.0,9.0,4.0,3.0,3.0,,
2019-12-11,43.0,34.0,11.0,4.0,3.0,4.0,,
2019-12-11,45.0,33.0,12.0,4.0,2.0,2.0,,
2019-12-11,44.0,33.0,12.0,,3.0,2.0,,
2019-12-11,45.0,35.0,10.0,4.0,3.0,4.0,,
2019-12-11,44.0,32.0,13.0,4.0,3.0,3.0,,
2019-12-11,41.0,32.0,14.0,,3.0,4.0,,
2019-12-10,41.0,36.0,12.0,4.0,2.0,3.0,,
2019-12-10,43.0,33.0,12.0,4.0,3.0,3.0,,
2019-12-10,43.0,34.0,12.0,3.0,3.0,3.0,,
2019-12-10,42.0,34.0,14.0,3.0,3.0,3.0,,
2019-12-09,42.0,36.0,12.0,3.0,2.0,3.0,0.0,
2019-12-08,43.0,36.0,12.0,4.0,2.0,3.0,,
2019-12-08,43.0,30.0,12.0,2.0,4.0,3.0,,
2019-12-07,45.0,31.0,11.0,3.0,2.0,4.0,,
2019-12-07,44.0,33.0,11.0,4.0,2.0,3.0,1.0,
2019-12-06,43.0,33.0,13.0,4.0,3.0,3.0,,
2019-12-06,41.0,32.0,14.0,3.0,4.0,4.0,0.0,0.0
2019-12-06,46.0,31.0,13.0,4.0,2.0,3.0,,
2019-12-06,43.0,34.0,13.0,4.0,2.0,3.0,,
2019-12-05,41.0,33.0,12.0,4.0,2.0,3.0,,
2019-12-05,42.0,36.0,11.0,3.0,2.0,4.0,,
2019-12-04,44.0,32.0,13.0,4.0,3.0,2.0,,
2019-12-03,42.0,32.0,12.0,4.0,2.0,3.0,,
2019-12-03,42.0,33.0,12.0,5.0,4.0,4.0,,
2019-12-02,42.0,35.0,13.0,3.0,2.0,3.0,,
2019-12-02,44.0,32.0,15.0,3.0,3.0,2.0,,
2019-11-30,45.0,32.0,15.0,3.0,1.0,3.0,0.0,
2019-11-30,42.0,33.0,11.0,3.0,4.0,3.0,,
2019-11-29,43.0,34.0,13.0,4.0,3.0,2.0,,
2019-11-29,46.0,31.0,13.0,4.0,3.0,2.0,,
2019-11-29,39.0,33.0,13.0,4.0,5.0,4.0,0.0,0.0
2019-11-28,43.0,33.0,13.0,3.0,3.0,4.0,,
2019-11-28,42.0,34.0,13.0,3.0,3.0,4.0,,
2019-11-26,41.0,34.0,13.0,3.0,2.0,5.0,,
2019-11-26,43.0,32.0,13.0,4.0,2.0,4.0,,
2019-11-25,41.0,34.0,13.0,3.0,3.0,4.0,0.0,
