Date,Con,Lab,Lib Dem
1974-02-28,37.9,37.2,19.3
1974-02-28,40.2,35.2,22.0
1974-02-28,39.5,35.5,22.0
1974-02-28,39.7,36.7,21.2
1974-02-28,38.7,34.9,23.0
1974-02-28,36.5,34.5,25.0
1974-02-27,36.5,35.0,25.5
1974-02-27,38.0,34.5,25.0
1974-02-27,39.5,37.5,20.5
1974-02-26,40.5,35.5,22.0
1974-02-24,35.0,37.5,23.5
1974-02-24,38.5,31.5,28.0
1974-02-23,40.0,33.5,23.5
1974-02-21,43.4,37.8,16.9
1974-02-21,42.0,40.0,16.5
1974-02-20,41.0,35.0,21.0
1974-02-18,43.5,38.0,17.0
1974-02-18,41.0,40.5,16.5
1974-02-17,44.0,35.0,17.0
1974-02-17,40.5,38.0,19.5
1974-02-14,42.0,40.0,16.0
1974-02-14,46.0,35.0,18.0
1974-02-14,42.5,41.5,14.0
1974-02-13,39.4,42.0,16.5
1974-02-11,44.5,43.0,11.0
1974-02-10,44.9,37.2,11.9
1974-02-10,45.0,39.0,12.0
1974-02-04,39.5,42.5,16.0
1974-01-13,40.0,38.0,19.0
1973-12-18,36.0,42.5,18.5
1973-12-02,35.6,43.2,20.0
1973-11-18,36.5,39.9,21.2
1973-11-18,36.5,38.5,22.5
1973-10-28,37.5,39.7,21.3
1973-10-21,33.0,39.5,25.5
1973-10-13,34.2,35.4,29.1
1973-09-09,33.9,40.9,23.8
1973-09-09,33.5,43.0,22.0
1973-08-15,28.9,41.7,27.6
1973-08-12,31.5,38.0,28.0
1973-07-15,35.5,45.0,17.5
1973-06-24,39.3,43.9,14.8
1973-06-17,41.3,41.6,15.7
1973-06-10,41.0,42.0,14.5
1973-05-13,38.0,43.5,14.5
1973-05-06,31.9,50.1,16.9
1973-04-15,36.6,45.0,17.0
1973-04-15,38.0,41.0,17.5
1973-03-12,39.0,43.0,16.0
1973-03-11,38.0,45.2,14.9
1973-02-11,38.0,47.0,12.5
1973-01-28,39.9,42.7,15.4
1973-01-15,39.4,39.0,20.6
1973-01-14,38.5,44.0,15.5
1972-12-17,39.7,42.6,15.7
1972-12-10,38.0,46.5,12.5
1972-12-03,37.0,47.4,13.7
1972-11-19,40.5,45.4,12.9
1972-11-12,37.5,45.5,15.0
1972-10-22,40.0,48.0,8.5
1972-09-17,38.5,49.5,9.5
1972-08-13,40.0,49.0,7.5
1972-07-16,39.0,49.0,9.5
1972-06-11,41.0,47.0,10.0
1972-05-14,40.5,46.5,11.0
1972-04-17,44.8,46.8,7.5
1972-04-16,43.5,44.5,10.0
1972-03-12,39.5,48.5,9.5
1972-02-13,40.5,49.0,8.5
1972-01-16,40.5,48.0,9.0
1971-12-12,42.0,48.0,7.5
1971-11-14,42.5,48.5,7.0
1971-10-17,40.0,50.0,8.0
1971-09-20,35.0,54.0,8.5
1971-08-15,42.0,48.5,7.0
1971-07-12,33.5,55.0,8.5
1971-06-13,36.0,54.0,8.0
1971-05-16,38.0,50.0,9.5
1971-04-13,44.0,45.5,9.5
1971-04-04,44.5,48.0,6.0
1971-03-14,38.5,50.5,8.0
1971-02-14,41.5,49.0,8.0
1971-01-17,42.5,47.0,8.5
1970-12-13,46.0,44.5,6.0
1970-11-15,43.5,48.0,6.5
1970-10-18,46.5,46.5,6.5
1970-09-13,46.5,44.0,8.0
1970-08-16,47.0,43.5,7.5
