Date,V,S,MP,C,L,M,KD,SD
2023-04-24,8.0,35.3,3.1,4.9,3.3,20.6,4.0,18.9
2023-04-23,9.2,35.5,4.4,4.9,3.6,19.1,3.3,17.8
2023-04-13,7.1,36.9,4.5,4.3,3.3,19.6,3.8,18.8
2023-04-12,6.3,37.7,4.5,3.4,3.3,19.4,3.5,19.8
2023-04-03,7.9,35.3,2.9,4.7,3.5,21.8,3.9,18.6
2023-04-02,7.7,37.6,4.3,4.6,3.6,19.9,3.5,17.5
2023-03-26,8.1,36.9,4.5,4.7,3.1,18.9,4.1,17.6
2023-03-16,7.8,37.0,3.9,3.8,3.5,19.4,4.3,18.6
2023-03-15,7.9,35.7,5.0,4.0,3.7,18.8,5.0,18.8
2023-03-06,8.2,34.3,2.8,4.4,3.5,21.7,4.4,19.0
2023-02-26,7.3,36.1,3.7,5.3,3.2,19.7,3.9,18.9
2023-02-26,6.7,38.2,4.4,4.9,3.5,20.2,3.6,17.3
2023-02-16,7.5,36.5,4.3,4.3,3.5,19.3,4.3,18.4
2023-02-15,8.4,34.1,5.8,3.7,3.6,17.9,4.9,20.4
2023-02-06,7.9,34.0,3.2,5.5,3.1,21.1,4.0,18.6
2023-01-29,7.4,37.1,5.0,5.0,3.0,19.7,4.3,16.9
2023-01-29,7.5,37.3,4.0,5.1,3.9,18.0,4.1,18.1
2023-01-19,7.8,36.1,4.4,5.2,3.3,18.4,4.1,19.0
2023-01-09,8.8,32.7,2.4,6.0,3.4,20.8,4.2,19.8
2023-01-01,7.9,34.7,4.3,5.4,3.8,19.6,4.3,18.4
2022-12-18,7.3,34.5,4.5,5.8,3.2,18.3,4.9,19.4
2022-12-15,7.3,36.1,4.4,5.9,3.5,18.2,4.3,18.8
2022-12-07,6.8,33.6,5.2,4.2,5.0,17.7,4.9,21.6
2022-12-06,8.9,33.3,3.5,6.1,4.2,20.5,4.8,17.6
2022-11-28,7.5,34.2,4.5,6.4,3.4,19.2,3.6,19.0
2022-11-27,7.5,34.2,4.0,6.1,3.6,19.7,4.5,18.9
2022-11-24,7.6,34.6,4.4,5.4,4.1,18.9,4.9,18.2
2022-11-17,8.2,33.4,5.0,5.5,3.6,20.1,4.8,17.7
2022-11-07,7.8,30.2,4.2,4.6,4.1,20.3,4.8,22.6
2022-11-01,8.8,31.4,3.2,6.0,4.0,21.3,4.6,19.6
2022-10-30,7.6,32.2,4.5,5.9,4.0,20.2,4.7,19.4
2022-10-23,7.4,31.1,3.9,6.5,3.7,20.5,4.7,20.7
2022-10-13,7.4,31.8,4.5,5.8,4.5,19.6,5.0,19.8
2022-10-08,6.6,32.3,4.2,4.1,3.5,21.1,4.7,23.0
2022-10-04,8.1,31.6,3.8,5.8,4.7,20.8,4.7,19.3
2022-10-02,7.2,31.1,5.0,5.7,4.1,19.6,4.9,20.8
2022-09-25,6.8,31.7,4.6,6.6,4.6,18.9,4.8,20.2
2022-09-11,6.8,30.3,5.1,6.7,4.6,19.1,5.3,20.5
