Date,Approve,Disapprove,Neither
2022-07-07,22.0,62.0,16.0
2022-06-30,23.0,71.0,7.0
2022-04-22,26.0,59.0,15.0
2022-04-10,29.0,52.0,19.0
2022-03-30,32.0,51.0,17.0
2022-03-27,36.0,44.0,20.0
2022-03-25,28.0,52.0,20.0
2022-03-20,32.0,47.0,21.0
2022-03-15,31.0,59.0,10.0
2022-03-11,27.0,54.0,19.0
2022-02-11,24.0,58.0,18.0
2022-01-28,24.0,62.0,14.0
2022-01-25,24.0,70.0,6.0
2022-01-17,22.0,73.0,5.0
2022-01-17,25.0,56.0,20.0
2022-01-16,23.0,60.0,18.0
2022-01-14,22.0,64.0,14.0
2022-01-12,20.0,65.0,15.0
2022-01-10,31.0,50.0,18.0
2022-01-10,20.0,56.0,25.0
2021-12-20,23.0,71.0,5.0
2021-12-10,28.0,65.0,7.0
2021-12-09,22.0,62.0,16.0
2021-12-09,30.0,53.0,17.0
2021-11-22,29.0,64.0,7.0
2021-11-15,35.0,45.0,20.0
2021-11-06,30.0,51.0,20.0
2021-11-06,30.0,50.0,20.0
2021-10-11,36.0,42.0,22.0
2021-10-04,36.0,42.0,21.0
2021-09-27,36.0,42.0,21.0
2021-09-26,35.0,60.0,6.0
2021-09-23,39.0,51.0,9.0
2021-09-22,39.0,44.0,18.0
2021-09-20,37.0,42.0,22.0
2021-09-17,35.0,48.0,16.0
2021-09-16,33.0,42.0,25.0
2021-09-14,38.0,44.0,17.0
2021-09-13,38.0,42.0,20.0
2021-09-11,32.0,49.0,19.0
2021-09-06,37.0,41.0,22.0
2021-09-06,28.0,46.0,26.0
2021-09-03,47.0,49.0,5.0
2021-09-03,35.0,45.0,19.0
2021-08-29,38.0,40.0,17.0
2021-08-23,39.0,45.0,17.0
2021-08-20,33.0,46.0,20.0
2021-08-18,34.0,59.0,7.0
2021-08-16,35.0,44.0,21.0
2021-08-15,35.0,42.0,23.0
2021-08-09,35.0,46.0,19.0
2021-08-09,41.0,52.0,8.0
2021-08-06,34.0,49.0,17.0
2021-08-02,38.0,55.0,7.0
2021-08-02,39.0,41.0,19.0
2021-07-29,36.0,55.0,10.0
2021-07-26,27.0,47.0,26.0
2021-07-25,32.0,47.0,19.0
2021-07-23,37.0,47.0,16.0
2021-07-23,34.0,47.0,19.0
2021-07-20,35.0,47.0,18.0
2021-07-19,40.0,41.0,18.0
2021-07-18,37.0,41.0,22.0
2021-07-13,39.0,42.0,19.0
2021-07-12,39.0,39.0,20.0
2021-07-09,37.0,45.0,18.0
2021-07-08,38.0,54.0,8.0
2021-07-05,39.0,54.0,7.0
2021-07-05,39.0,37.0,24.0
2021-07-02,36.0,41.0,23.0
2021-06-28,38.0,40.0,22.0
2021-06-28,33.0,47.0,20.0
2021-06-26,40.0,40.0,19.0
2021-06-25,40.0,44.0,16.0
2021-06-24,39.0,54.0,7.0
2021-06-21,41.0,38.0,21.0
2021-06-13,43.0,36.0,21.0
2021-06-13,38.0,40.0,22.0
2021-06-12,51.0,45.0,5.0
2021-06-11,41.0,43.0,16.0
2021-06-10,42.0,40.0,19.0
2021-06-07,43.0,34.0,23.0
2021-06-07,44.0,48.0,8.0
2021-06-03,44.0,47.0,8.0
2021-05-31,43.0,36.0,22.0
2021-05-28,38.0,43.0,19.0
2021-05-28,42.0,41.0,18.0
2021-05-28,42.0,45.0,12.0
2021-05-26,42.0,38.0,19.0
2021-05-24,44.0,36.0,20.0
2021-05-17,44.0,34.0,22.0
2021-05-16,41.0,35.0,24.0
2021-05-14,43.0,37.0,20.0
2021-05-10,48.0,47.0,5.0
2021-05-10,48.0,31.0,21.0
2021-05-10,40.0,40.0,20.0
2021-05-05,41.0,39.0,20.0
2021-05-03,42.0,36.0,22.0
2021-04-30,37.0,43.0,20.0
2021-04-29,39.0,46.0,15.0
2021-04-28,41.0,52.0,8.0
2021-04-26,44.0,35.0,21.0
2021-04-26,41.0,38.0,21.0
2021-04-23,41.0,40.0,19.0
2021-04-22,44.0,50.0,6.0
2021-04-19,47.0,32.0,22.0
2021-04-19,42.0,43.0,15.0
2021-04-18,40.0,38.0,22.0
2021-04-12,46.0,47.0,7.0
2021-04-12,43.0,34.0,22.0
2021-04-10,42.0,41.0,16.0
2021-04-10,56.0,40.0,3.0
2021-04-09,41.0,38.0,21.0
2021-04-05,47.0,32.0,22.0
2021-04-02,44.0,34.0,21.0
2021-04-01,46.0,47.0,7.0
2021-03-29,45.0,34.0,22.0
2021-03-27,52.0,44.0,4.0
2021-03-26,42.0,41.0,18.0
2021-03-22,47.0,29.0,24.0
2021-03-19,38.0,44.0,19.0
2021-03-15,44.0,31.0,26.0
2021-03-15,45.0,48.0,7.0
2021-03-14,40.0,37.0,23.0
2021-03-12,45.0,38.0,17.0
2021-03-12,44.0,51.0,5.0
2021-03-10,44.0,43.0,13.0
2021-03-09,41.0,52.0,7.0
2021-03-08,45.0,31.0,24.0
2021-03-01,44.0,36.0,21.0
2021-02-26,54.0,44.0,3.0
2021-02-26,39.0,41.0,20.0
2021-02-25,40.0,41.0,18.0
2021-02-22,42.0,39.0,19.0
2021-02-22,40.0,52.0,9.0
2021-02-15,39.0,37.0,24.0
2021-02-15,41.0,52.0,7.0
2021-02-14,35.0,37.0,28.0
2021-02-12,38.0,44.0,18.0
2021-02-09,38.0,53.0,9.0
2021-02-08,42.0,39.0,19.0
2021-02-06,40.0,43.0,16.0
2021-02-04,42.0,51.0,7.0
2021-02-01,39.0,40.0,22.0
2021-01-29,38.0,46.0,16.0
2021-01-25,40.0,38.0,22.0
2021-01-23,48.0,47.0,5.0
2021-01-18,38.0,40.0,22.0
2021-01-18,39.0,54.0,6.0
2021-01-17,34.0,43.0,22.0
2021-01-15,34.0,49.0,17.0
2021-01-13,36.0,50.0,13.0
2021-01-11,38.0,42.0,20.0
2021-01-07,38.0,44.0,19.0
2021-01-05,37.0,54.0,9.0
2020-12-30,46.0,49.0,5.0
2020-12-30,37.0,56.0,7.0
2020-12-18,35.0,56.0,9.0
2020-12-17,38.0,44.0,19.0
2020-12-13,36.0,42.0,22.0
2020-12-11,42.0,50.0,8.0
2020-12-08,38.0,42.0,20.0
2020-12-07,39.0,45.0,15.0
2020-12-04,36.0,44.0,19.0
2020-12-02,39.0,40.0,22.0
2020-11-28,43.0,51.0,6.0
2020-11-23,34.0,58.0,8.0
2020-11-20,35.0,47.0,18.0
2020-11-19,36.0,44.0,21.0
2020-11-15,36.0,41.0,23.0
2020-11-11,37.0,44.0,19.0
2020-11-06,34.0,48.0,19.0
2020-10-30,35.0,57.0,8.0
2020-10-28,35.0,42.0,22.0
2020-10-28,33.0,59.0,8.0
2020-10-26,34.0,59.0,7.0
2020-10-24,44.0,51.0,4.0
2020-10-23,33.0,47.0,20.0
2020-10-22,36.0,55.0,9.0
2020-10-21,35.0,45.0,21.0
2020-10-18,34.0,43.0,22.0
2020-10-09,34.0,46.0,20.0
2020-10-07,37.0,44.0,19.0
2020-10-05,27.0,48.0,25.0
2020-10-01,35.0,46.0,20.0
2020-09-30,34.0,55.0,10.0
2020-09-28,35.0,57.0,8.0
2020-09-25,44.0,54.0,2.0
2020-09-25,35.0,47.0,18.0
2020-09-23,37.0,44.0,19.0
2020-09-18,40.0,54.0,6.0
2020-09-16,39.0,42.0,19.0
2020-09-16,35.0,49.0,15.0
2020-09-11,38.0,44.0,18.0
2020-09-04,38.0,46.0,16.0
2020-09-02,42.0,39.0,20.0
2020-08-31,39.0,54.0,7.0
2020-08-28,36.0,44.0,20.0
2020-08-24,39.0,38.0,23.0
2020-08-24,29.0,46.0,25.0
2020-08-21,40.0,44.0,16.0
2020-08-19,41.0,39.0,20.0
2020-08-16,38.0,39.0,22.0
2020-08-12,45.0,36.0,20.0
2020-08-04,47.0,48.0,5.0
2020-08-03,45.0,50.0,6.0
2020-08-03,43.0,43.0,15.0
2020-07-29,45.0,34.0,21.0
2020-07-24,36.0,45.0,19.0
2020-07-19,38.0,40.0,21.0
2020-07-15,46.0,36.0,19.0
2020-07-13,41.0,42.0,17.0
2020-07-08,43.0,38.0,19.0
2020-07-06,44.0,50.0,6.0
2020-07-06,44.0,50.0,6.0
2020-07-06,43.0,47.0,10.0
2020-07-03,37.0,44.0,19.0
2020-07-01,44.0,37.0,20.0
2020-06-26,37.0,43.0,20.0
2020-06-25,46.0,35.0,19.0
2020-06-25,44.0,39.0,16.0
2020-06-19,39.0,44.0,16.0
2020-06-18,43.0,37.0,21.0
2020-06-14,40.0,38.0,22.0
2020-06-12,37.0,43.0,19.0
2020-06-11,42.0,38.0,21.0
2020-06-10,43.0,40.0,16.0
2020-06-10,48.0,49.0,3.0
2020-06-08,43.0,50.0,7.0
2020-06-05,37.0,44.0,19.0
2020-06-03,44.0,42.0,14.0
2020-06-03,39.0,43.0,18.0
2020-05-29,37.0,42.0,21.0
2020-05-28,54.0,44.0,3.0
2020-05-27,41.0,40.0,19.0
2020-05-26,51.0,34.0,15.0
2020-05-22,45.0,39.0,16.0
2020-05-18,45.0,38.0,17.0
2020-05-17,46.0,31.0,22.0
2020-05-14,46.0,36.0,18.0
2020-05-14,50.0,43.0,8.0
2020-05-10,57.0,35.0,7.0
2020-05-07,51.0,31.0,17.0
2020-05-06,54.0,38.0,8.0
2020-05-01,51.0,31.0,18.0
2020-04-28,61.0,22.0,17.0
2020-04-26,56.0,24.0,21.0
2020-04-24,67.0,29.0,4.0
2020-04-23,49.0,31.0,20.0
2020-04-17,55.0,27.0,18.0
2020-04-14,62.0,18.0,20.0
