Date,Net Approval
2007-07-17,28.571428571428577
2007-08-29,30.303030303030305
2007-09-26,25.714285714285708
2007-10-23,-1.3333333333333357
2007-12-07,-27.05882352941176
2008-01-23,-20.0
2008-02-26,-27.906976744186053
2008-03-18,-36.470588235294116
2008-04-22,-45.23809523809524
2008-05-20,-48.888888888888886
2008-06-15,-52.173913043478265
2008-07-20,-54.83870967741936
2008-08-17,-49.47368421052631
2008-09-14,-48.387096774193544
2008-10-19,-25.53191489361702
2008-11-16,-9.89010989010989
2008-12-14,-17.391304347826093
2009-01-18,-28.260869565217384
2009-02-15,-42.22222222222223
2009-03-15,-26.88172043010752
2009-04-19,-30.434782608695656
2009-05-31,-45.26315789473684
2009-06-21,-41.935483870967744
2009-07-19,-44.68085106382979
2009-08-23,-39.784946236559136
2009-09-27,-38.29787234042554
2009-10-18,-31.914893617021278
2009-11-15,-26.88172043010752
2009-12-13,-38.46153846153845
2010-01-28,-28.260869565217384
2010-02-22,-22.58064516129032
2010-03-22,-27.659574468085104
2010-04-19,-25.53191489361702
