Date,Net Approval
1979-08-01,2.2727272727272663
1979-09-01,-1.1235955056179847
1979-10-01,-3.2967032967033063
1979-11-01,-8.888888888888886
1980-01-01,-12.359550561797754
1980-02-01,-19.565217391304344
1980-03-01,-20.430107526881727
1980-04-01,-7.526881720430104
1980-06-01,-10.63829787234043
1980-07-01,-20.0
1980-08-01,-20.430107526881727
1980-09-01,-24.731182795698928
1980-10-01,-26.08695652173914
1980-11-01,-31.18279569892473
1981-01-01,-29.787234042553195
1981-02-01,-32.63157894736842
1981-03-01,-38.29787234042554
1981-04-01,-29.032258064516128
1981-06-01,-28.421052631578952
1981-07-01,-33.33333333333333
1981-08-01,-37.63440860215054
1981-09-01,-39.784946236559136
1981-10-01,-36.84210526315789
1981-11-01,-39.13043478260869
1981-12-01,-45.05494505494505
1982-01-01,-31.18279569892473
1982-02-01,-35.48387096774193
1982-03-01,-22.58064516129032
1982-04-01,-12.7659574468085
1982-05-01,16.666666666666664
1982-06-01,24.210526315789473
1982-07-01,10.869565217391312
1982-08-01,6.5217391304347885
1982-09-01,-2.1276595744680833
1982-10-01,0.0
1982-11-01,3.225806451612897
1982-12-01,2.173913043478265
1983-01-26,4.255319148936174
1983-02-23,4.255319148936174
1983-03-23,2.1276595744680833
1983-04-23,5.376344086021504
1983-05-23,9.677419354838712
1983-06-20,22.727272727272734
1983-07-25,6.5217391304347885
1983-08-22,13.97849462365592
1983-09-26,7.526881720430104
1983-10-24,1.0752688172043037
1983-12-02,-1.05263157894737
1984-01-11,3.225806451612897
1984-02-20,0.0
1984-03-20,-9.473684210526322
1984-05-01,-9.677419354838712
1984-05-29,-9.473684210526322
1984-06-25,-16.12903225806452
1984-08-20,-11.827956989247305
1984-09-21,-10.869565217391312
1984-10-22,2.1276595744680833
1984-11-19,-3.2967032967033063
1984-12-10,-10.869565217391312
1985-01-07,-5.376344086021504
1985-02-24,-12.7659574468085
1985-03-24,-20.430107526881727
1985-04-28,-20.0
1985-05-26,-24.731182795698928
1985-06-23,-17.391304347826093
1985-07-21,-19.14893617021277
1985-08-18,-29.032258064516128
1985-09-22,-24.731182795698928
1985-10-20,-17.02127659574468
1985-11-24,-17.02127659574468
1985-12-08,-15.217391304347828
1986-01-08,-26.08695652173914
1986-02-26,-37.63440860215054
1986-03-26,-31.18279569892473
1986-04-22,-31.18279569892473
1986-05-21,-37.63440860215054
1986-06-24,-34.78260869565218
1986-07-22,-34.06593406593406
1986-08-19,-41.30434782608696
1986-09-23,-29.670329670329664
1986-10-22,-22.22222222222222
1986-11-26,-18.681318681318686
1986-12-30,-17.02127659574468
1987-01-28,-20.430107526881727
1987-02-25,-17.391304347826093
1987-04-02,-6.38297872340425
1987-04-30,1.0752688172043037
1987-07-01,10.869565217391312
1987-07-28,17.391304347826093
1987-08-26,3.225806451612897
1987-09-30,3.225806451612897
1987-10-26,6.5217391304347885
1987-11-25,5.376344086021504
1987-12-30,2.1276595744680833
1988-01-26,-1.0752688172043037
1988-03-01,-3.225806451612897
1988-03-28,-2.0833333333333357
1988-04-26,-9.473684210526322
1988-06-01,-8.51063829787234
1988-06-28,3.1578947368421098
1988-07-25,-3.1578947368421098
1988-08-22,5.2631578947368425
1988-09-26,-1.0752688172043037
1988-10-31,-2.1276595744680833
1988-11-30,-1.05263157894737
1988-12-29,0.0
1989-01-30,-2.1276595744680833
1989-02-28,-7.368421052631575
1989-03-19,-9.473684210526322
1989-04-24,-13.68421052631578
1989-05-22,-14.893617021276604
1989-06-27,-27.659574468085104
1989-07-26,-28.421052631578952
1989-08-21,-20.0
1989-09-26,-13.68421052631578
1989-10-23,-26.315789473684212
1989-11-27,-31.25
1989-12-28,-31.95876288659793
1990-01-22,-35.41666666666667
1990-02-19,-38.94736842105263
1990-03-20,-58.33333333333332
1990-04-24,-56.25
1990-05-21,-45.83333333333333
1990-06-18,-34.78260869565218
1990-07-23,-36.84210526315789
1990-08-20,-31.25
1990-09-24,-24.210526315789473
1990-10-22,-38.94736842105263
1990-11-19,-47.91666666666667
