Date,Net Approval
1990-12-28,25.423728813559322
1991-01-21,60.52631578947369
1991-02-25,53.65853658536585
1991-03-25,36.470588235294116
1991-04-22,38.823529411764696
1991-05-28,15.294117647058819
1991-06-24,19.04761904761905
1991-07-22,23.25581395348837
1991-08-27,31.03448275862069
1991-09-24,28.089887640449433
1991-10-21,21.348314606741575
1991-11-25,16.853932584269657
1991-12-27,13.333333333333329
1992-01-21,14.606741573033709
1992-02-25,4.347826086956516
1992-03-24,4.347826086956516
1992-04-28,22.22222222222222
1992-05-25,23.076923076923073
1992-06-23,13.333333333333329
1992-07-28,8.69565217391304
1992-09-01,1.0752688172043037
1992-09-29,-29.032258064516128
1992-10-27,-54.83870967741936
1992-12-01,-46.80851063829787
1992-12-15,-39.13043478260869
1993-01-25,-32.60869565217391
1993-02-22,-39.13043478260869
1993-03-29,-44.08602150537635
1993-04-26,-40.659340659340664
1993-05-24,-54.34782608695653
1993-06-28,-58.69565217391304
1993-07-26,-58.69565217391304
1993-08-23,-53.846153846153854
1993-09-20,-55.555555555555564
1993-10-25,-50.0
1993-11-22,-54.34782608695653
1993-12-13,-47.826086956521735
1994-01-24,-54.34782608695653
1994-02-28,-51.111111111111114
1994-03-28,-56.52173913043478
1994-04-25,-59.13978494623655
1994-05-23,-52.68817204301075
1994-06-20,-57.446808510638306
1994-07-18,-57.446808510638306
1994-08-22,-63.44086021505376
1994-09-26,-47.826086956521735
1994-10-24,-41.935483870967744
1994-11-21,-50.537634408602145
1994-12-19,-60.86956521739131
1995-01-23,-56.98924731182795
1995-02-20,-56.04395604395605
1995-03-20,-52.173913043478265
1995-04-24,-51.64835164835165
1995-05-22,-53.846153846153854
1995-06-26,-39.13043478260869
1995-07-24,-45.05494505494505
1995-08-28,-42.85714285714286
1995-09-25,-37.77777777777777
1995-10-23,-39.13043478260869
1995-11-20,-45.05494505494505
1995-12-04,-39.13043478260869
1996-01-22,-43.82022471910113
1996-02-26,-43.47826086956522
1996-03-25,-42.85714285714286
1996-04-22,-36.26373626373626
1996-05-26,-43.47826086956522
1996-06-24,-35.555555555555564
1996-07-28,-38.46153846153845
1996-08-25,-37.77777777777777
1996-09-23,-35.555555555555564
1996-10-28,-33.33333333333333
1996-11-11,-20.879120879120876
1996-12-09,-34.78260869565218
1997-01-28,-32.60869565217391
1997-02-24,-26.08695652173914
1997-03-24,-29.670329670329664
