Date,Net Approval
2019-07-05,-44.303797468354425
2019-06-20,-47.368421052631575
2019-05-30,-53.24675324675326
2019-05-20,-51.21951219512195
2019-05-15,-53.846153846153854
2019-05-10,-50.0
2019-04-12,-43.58974358974359
2019-03-29,-39.24050632911393
2019-03-24,-42.85714285714286
2019-03-22,-36.585365853658544
2019-03-19,-38.29787234042554
2019-03-15,-43.47826086956522
2019-03-15,-30.769230769230774
2019-03-01,-25.925925925925924
2019-02-23,-23.91304347826086
2019-02-22,-22.500000000000007
2019-02-15,-27.272727272727266
2019-02-11,-23.076923076923073
2019-02-08,-27.272727272727266
2019-02-05,-27.472527472527467
2019-02-01,-21.51898734177216
2019-01-18,-25.641025641025635
2018-12-19,-25.842696629213478
2018-12-14,-15.789473684210535
2018-12-14,-25.0
2018-12-05,-23.91304347826086
2018-11-14,-25.641025641025635
2018-10-22,-35.555555555555564
2018-10-11,-22.077922077922068
2018-10-05,-15.38461538461538
2018-10-01,-25.842696629213478
2018-09-20,-23.076923076923073
2018-09-11,-26.315789473684212
2018-09-01,-12.328767123287676
2018-08-16,-28.260869565217384
2018-08-14,-27.272727272727266
2018-07-20,-46.66666666666666
2018-07-14,-34.78260869565218
2018-07-13,-31.578947368421062
2018-07-11,-42.52873563218392
2018-06-27,-24.731182795698928
2018-06-07,-10.526315789473692
2018-05-22,-20.430107526881727
2018-05-16,-10.256410256410255
2018-05-02,-23.59550561797753
2018-04-24,-18.27956989247312
2018-04-17,-15.55555555555555
2018-04-12,-10.256410256410255
2018-04-06,-14.942528735632187
2018-04-05,-6.81818181818182
2018-03-19,-17.24137931034482
2018-03-15,-11.688311688311686
2018-03-07,-11.827956989247305
2018-02-09,-21.428571428571423
2018-02-08,-13.924050632911396
2018-01-23,-18.27956989247312
2018-01-12,-22.666666666666664
2018-01-12,-24.705882352941174
2017-12-20,-15.909090909090914
2017-12-14,-17.64705882352942
2017-12-14,-15.38461538461538
2017-12-08,-30.232558139534888
2017-12-01,-21.951219512195124
2017-11-28,-29.670329670329664
2017-11-17,-19.540229885057478
2017-11-16,-16.45569620253164
2017-11-10,-26.436781609195407
2017-11-08,-27.906976744186053
2017-11-01,-17.777777777777786
2017-10-23,-19.04761904761905
2017-10-20,-25.581395348837205
2017-10-06,-22.077922077922068
2017-10-05,-31.111111111111114
2017-09-29,-22.352941176470587
2017-09-22,-14.285714285714285
2017-09-18,-18.681318681318686
2017-09-15,-19.04761904761905
2017-09-15,-14.285714285714285
2017-09-05,-22.727272727272734
2017-08-18,-21.51898734177216
2017-08-16,-30.337078651685395
2017-08-11,-16.27906976744186
2017-07-18,-26.88172043010752
2017-07-14,-26.436781609195407
2017-07-14,-25.925925925925924
2017-07-03,-31.707317073170735
2017-06-29,-24.390243902439025
2017-06-21,-23.28767123287672
2017-06-12,-36.95652173913044
2017-06-02,-5.617977528089888
2017-06-01,-7.526881720430104
2017-05-17,22.22222222222222
2017-04-25,20.430107526881727
2017-05-02,16.45569620253164
2017-03-14,14.285714285714285
2017-02-14,19.101123595505626
2017-01-16,7.142857142857139
2016-12-12,17.64705882352942
2016-11-14,28.571428571428577
2016-10-17,20.0
2016-09-14,33.33333333333333
2016-08-17,14.285714285714285
2016-08-15,47.945205479452056
