Date,Net Approval
1997-05-12,85.71428571428572
1997-06-23,82.27848101265823
1997-07-28,72.83950617283949
1997-08-25,54.76190476190476
1997-09-29,70.45454545454547
1997-10-27,65.51724137931035
1997-11-24,55.555555555555564
1997-12-15,38.63636363636364
1998-01-26,34.831460674157306
1998-02-23,31.86813186813186
1998-03-23,37.77777777777777
1998-04-27,51.111111111111114
1998-05-24,48.888888888888886
1998-06-30,37.77777777777777
1998-07-21,37.77777777777777
1998-08-24,42.85714285714286
1998-09-21,34.06593406593406
1998-10-26,36.26373626373626
1998-11-23,35.555555555555564
1998-12-14,34.831460674157306
1999-01-25,31.111111111111114
1999-02-22,26.08695652173914
1999-03-22,35.555555555555564
1999-04-26,38.46153846153845
1999-05-24,26.08695652173914
1999-06-21,23.91304347826086
1999-07-26,25.0
1999-08-23,11.36363636363636
1999-09-27,26.08695652173914
1999-10-25,17.777777777777786
1999-11-22,20.0
1999-12-14,23.91304347826086
2000-01-25,16.48351648351649
2000-02-22,7.692307692307693
2000-03-28,4.44444444444445
2000-04-18,11.827956989247305
2000-05-23,5.617977528089888
2000-06-27,-14.285714285714285
2000-07-24,-8.69565217391304
2000-08-21,0.0
2000-09-26,-32.63157894736842
2000-10-23,-19.565217391304344
2000-11-28,-7.692307692307693
2000-12-12,-7.526881720430104
2001-01-22,3.2967032967033063
2001-02-20,5.494505494505503
2001-03-27,1.0752688172043037
2001-04-24,-2.2222222222222214
2001-06-26,19.565217391304344
2001-07-23,10.869565217391312
2001-08-28,6.5217391304347885
2001-09-25,44.08602150537635
2001-10-22,39.784946236559136
2001-11-27,39.13043478260869
2002-01-28,13.333333333333329
2002-02-26,0.0
2002-03-26,-8.69565217391304
2002-04-22,0.0
2002-05-28,-12.359550561797754
2002-06-24,-1.0752688172043037
2002-07-22,-8.69565217391304
2002-09-24,-7.692307692307693
2002-10-21,-8.888888888888886
2002-11-19,-12.087912087912088
2002-12-17,-17.391304347826093
2003-01-27,-27.472527472527467
2003-02-25,-32.60869565217391
2003-03-24,-5.494505494505503
2003-04-28,2.173913043478265
2003-05-28,-17.391304347826093
2003-06-24,-32.60869565217391
2003-07-22,-30.434782608695656
2003-09-02,-35.48387096774193
2003-09-16,-37.63440860215054
2003-10-28,-31.86813186813186
2003-11-25,-28.089887640449433
2003-12-17,-20.879120879120876
2004-01-20,-29.670329670329664
2004-02-16,-31.86813186813186
2004-03-16,-30.434782608695656
2004-04-19,-32.60869565217391
2004-06-01,-35.555555555555564
2004-06-29,-34.06593406593406
2004-07-27,-35.48387096774193
2004-08-16,-35.555555555555564
2004-09-14,-31.18279569892473
2004-10-27,-34.06593406593406
2004-11-08,-30.434782608695656
2004-12-06,-27.472527472527467
2005-01-24,-26.666666666666664
2005-02-21,-23.91304347826086
2005-03-22,-26.88172043010752
2005-05-23,-17.02127659574468
2005-06-20,-14.285714285714285
2005-07-18,-3.2967032967033063
2005-08-15,-13.333333333333329
2005-09-26,-31.86813186813186
2005-10-25,-20.879120879120876
2005-11-22,-19.565217391304344
2006-01-23,-22.58064516129032
2006-02-20,-31.86813186813186
2006-03-21,-33.33333333333333
2006-05-02,-37.63440860215054
2006-05-30,-44.08602150537635
2006-06-26,-30.434782608695656
2006-07-24,-48.888888888888886
2006-09-06,-43.47826086956522
2006-10-16,-30.434782608695656
2006-11-14,-41.30434782608696
2006-12-12,-36.170212765957444
2007-01-29,-46.23655913978496
2007-04-25,-40.42553191489361
2007-05-22,-23.91304347826086
2007-06-20,-29.032258064516128
