Date,Approve,Disapprove,Neither
2021-05-17,23.0,35.0,41.0
2021-05-16,22.0,40.0,38.0
2021-05-14,28.0,39.0,33.0
2021-05-10,17.0,65.0,19.0
2021-05-10,26.0,33.0,41.0
2021-05-10,21.0,43.0,37.0
2021-05-05,29.0,36.0,35.0
2021-05-03,30.0,31.0,38.0
2021-04-30,38.0,30.0,32.0
2021-04-29,33.0,37.0,30.0
2021-04-28,30.0,49.0,21.0
2021-04-26,31.0,32.0,37.0
2021-04-26,23.0,32.0,45.0
2021-04-23,33.0,32.0,35.0
2021-04-22,36.0,46.0,18.0
2021-04-19,30.0,28.0,42.0
2021-04-19,34.0,36.0,30.0
2021-04-18,29.0,35.0,36.0
2021-04-12,26.0,50.0,23.0
2021-04-12,29.0,27.0,45.0
2021-04-10,33.0,37.0,29.0
2021-04-10,44.0,39.0,18.0
2021-04-09,32.0,30.0,38.0
2021-04-05,29.0,27.0,43.0
2021-04-02,31.0,29.0,41.0
2021-04-01,35.0,46.0,19.0
2021-03-29,30.0,28.0,42.0
2021-03-29,26.0,37.0,37.0
2021-03-27,44.0,41.0,15.0
2021-03-26,30.0,35.0,35.0
2021-03-22,32.0,23.0,46.0
2021-03-19,29.0,27.0,45.0
2021-03-15,32.0,25.0,44.0
2021-03-15,32.0,45.0,23.0
2021-03-14,27.0,34.0,40.0
2021-03-12,34.0,29.0,37.0
2021-03-12,33.0,42.0,26.0
2021-03-10,32.0,35.0,34.0
2021-03-09,31.0,49.0,19.0
2021-03-08,30.0,25.0,44.0
2021-03-01,31.0,27.0,42.0
2021-02-26,41.0,41.0,18.0
2021-02-26,33.0,28.0,39.0
2021-02-25,32.0,34.0,33.0
2021-02-22,30.0,30.0,41.0
2021-02-22,34.0,44.0,22.0
2021-02-15,30.0,23.0,47.0
2021-02-15,35.0,41.0,25.0
2021-02-14,29.0,33.0,39.0
2021-02-12,32.0,30.0,38.0
2021-02-09,37.0,43.0,21.0
2021-02-08,34.0,26.0,40.0
2021-02-06,35.0,32.0,31.0
2021-02-04,40.0,35.0,24.0
2021-02-01,33.0,26.0,41.0
2021-01-29,36.0,27.0,37.0
2021-01-25,33.0,24.0,43.0
2021-01-23,50.0,36.0,15.0
2021-01-18,33.0,25.0,42.0
2021-01-18,39.0,37.0,24.0
2021-01-17,30.0,32.0,38.0
2021-01-15,37.0,27.0,36.0
2021-01-13,38.0,31.0,28.0
2021-01-11,33.0,24.0,42.0
2021-01-07,40.0,25.0,35.0
2020-12-30,41.0,36.0,22.0
2020-12-20,40.0,35.0,26.0
2020-12-18,38.0,40.0,21.0
2020-12-17,37.0,25.0,38.0
2020-12-13,31.0,32.0,38.0
2020-12-11,38.0,33.0,29.0
2020-12-07,36.0,27.0,29.0
2020-12-08,39.0,22.0,40.0
2020-12-04,35.0,26.0,39.0
2020-12-02,34.0,25.0,41.0
2020-11-28,44.0,37.0,20.0
2020-11-21,45.0,29.0,27.0
2020-11-20,36.0,25.0,39.0
2020-11-19,36.0,23.0,42.0
2020-11-15,30.0,31.0,39.0
2020-11-11,38.0,24.0,38.0
2020-11-06,41.0,24.0,35.0
2020-10-30,38.0,40.0,21.0
2020-10-28,45.0,30.0,25.0
2020-10-28,35.0,26.0,39.0
2020-10-26,44.0,31.0,24.0
2020-10-24,48.0,35.0,17.0
2020-10-23,39.0,25.0,36.0
2020-10-22,41.0,36.0,23.0
