Date,Approve,Disapprove,Neither
2024-05-21,29.0,51.0,20.0
2024-05-14,17.0,72.0,11.0
2024-05-12,22.0,69.0,9.0
2024-04-17,22.0,56.0,22.0
2024-04-15,16.0,75.0,9.0
2024-03-31,26.0,47.0,27.0
2024-03-24,26.0,51.0,23.0
2024-03-20,22.0,69.0,9.0
2024-03-17,25.0,48.0,27.0
2024-03-11,31.0,65.0,4.0
2024-03-10,25.0,44.0,31.0
2024-03-04,19.0,73.0,8.0
2024-03-03,26.0,48.0,26.0
2024-02-25,26.0,52.0,22.0
2024-02-18,26.0,51.0,23.0
2024-02-11,25.0,50.0,25.0
2024-02-04,29.0,47.0,24.0
2024-01-28,30.0,48.0,22.0
2024-01-22,31.0,63.0,6.0
2024-01-21,27.0,48.0,25.0
2024-01-14,29.0,44.0,27.0
2024-01-07,31.0,46.0,23.0
2023-12-17,28.0,47.0,25.0
2023-12-10,31.0,46.0,23.0
2023-12-03,32.0,46.0,22.0
2023-11-26,29.0,46.0,25.0
2023-11-19,28.0,48.0,24.0
2023-11-12,27.0,45.0,28.0
2023-11-05,30.0,46.0,24.0
2023-10-29,31.0,45.0,24.0
2023-10-22,31.0,45.0,24.0
2023-10-15,31.0,44.0,25.0
2023-10-08,30.0,46.0,24.0
2023-10-01,31.0,41.0,28.0
2023-09-24,32.0,46.0,22.0
2023-09-19,22.0,66.0,0.0
2023-09-17,25.0,46.0,29.0
2023-09-10,25.0,46.0,29.0
2023-09-03,31.0,43.0,26.0
2023-08-27,30.0,45.0,25.0
2023-08-20,29.0,47.0,24.0
2023-08-13,32.0,41.0,27.0
2023-08-06,28.0,44.0,28.0
2023-07-30,30.0,44.0,26.0
2023-07-23,31.0,41.0,28.0
2023-07-16,31.0,45.0,24.0
2023-07-14,27.0,61.0,12.0
2023-07-09,29.0,45.0,26.0
2023-07-02,26.0,42.0,32.0
2023-06-25,32.0,43.0,25.0
2023-06-18,30.0,39.0,31.0
2023-06-11,32.0,41.0,27.0
2023-06-04,33.0,42.0,25.0
2023-05-28,30.0,44.0,26.0
2023-05-21,30.0,41.0,29.0
2023-05-14,33.0,38.0,29.0
2023-05-12,28.0,42.0,30.0
2023-05-09,41.0,52.0,8.0
2023-05-07,33.0,40.0,27.0
2023-04-30,35.0,40.0,25.0
2023-04-23,33.0,39.0,28.0
2023-04-16,31.0,38.0,31.0
2023-04-09,32.0,40.0,28.0
2023-04-02,31.0,42.0,27.0
2023-03-26,32.0,40.0,28.0
2023-03-19,30.0,41.0,29.0
2023-03-12,30.0,41.0,29.0
2023-03-05,30.0,39.0,31.0
2023-02-26,25.0,42.0,33.0
2023-02-18,24.0,46.0,30.0
2023-02-12,28.0,44.0,28.0
2023-02-05,24.0,44.0,32.0
2023-02-03,23.0,45.0,32.0
2023-01-29,26.0,44.0,30.0
2023-01-26,27.0,47.0,26.0
2023-01-22,25.0,40.0,35.0
2023-01-19,26.0,41.0,33.0
2023-01-18,31.0,60.0,11.0
2023-01-15,28.0,38.0,34.0
2023-01-13,30.0,35.0,35.0
2023-01-08,28.0,39.0,33.0
2023-01-03,27.0,31.0,42.0
2022-12-11,30.0,33.0,37.0
2022-12-04,30.0,33.0,37.0
2022-11-27,33.0,33.0,34.0
2022-10-28,34.0,22.0,45.0
2022-10-26,30.0,40.0,30.0
2022-10-26,27.0,25.0,48.0
2022-10-26,26.0,21.0,37.0
2022-10-25,39.0,48.0,12.0
