Date,HDZ,Restart,DP,Most,Možemo!,RF,Fokus,KH,HNS,IDS,HS,HSU,SD,Others,Undecided
2023-02-24,29.3,16.7,5.7,9.0,8.6,,1.5,,1.5,1.5,,1.7,,9.4,15.1
2023-02-05,25.5,19.4,6.3,9.1,9.7,1.4,1.4,,1.0,1.0,1.1,1.0,1.6,5.1,16.4
2023-02-01,25.4,18.5,7.2,9.3,9.9,1.5,,,,1.3,2.1,3.0,3.1,2.6,16.1
2023-01-25,30.0,14.999999999999998,6.3,8.7,8.0,,,,1.4,2.0,1.3,2.2,1.5,7.1,16.5
2023-01-08,26.4,19.0,6.1,9.1,10.1,1.3,1.4,1.2,,1.0,1.0,,1.7,5.4,16.3
2022-12-30,24.7,16.8,7.0,9.1,10.0,1.4,,,,1.3,2.1,3.1,2.2,4.8,17.5
2022-12-23,30.7,13.8,6.8,8.0,7.5,1.6,,,1.8,2.1,1.1,1.4,,7.5,17.7
2022-12-04,26.9,19.5,5.9,9.0,10.2,1.9,1.3,1.1,,1.1,,,1.5,6.2,15.4
2022-11-26,23.5,16.9,7.0,9.4,10.3,1.4,,,,1.3,2.0,3.1,2.5,4.9,17.7
2022-11-25,29.9,12.7,5.8,8.3,8.6,,1.5,,1.9,3.0,1.6,1.6,,7.6,17.5
2022-11-20,25.7,20.0,5.5,8.5,10.8,1.2,1.2,,,1.0,,,1.5,6.5,18.1
2022-11-06,24.7,20.0,6.1,9.5,10.0,1.2,1.4,,,,1.1,,1.3,7.4,17.3
2022-10-29,23.1,17.3,7.1,9.5,10.4,1.2,,,,1.2,1.9,3.1,2.6,4.7,17.9
2022-10-25,28.4,14.399999999999999,6.2,8.9,7.9,,1.9,1.5,2.1,2.9,,3.6,,9.9,12.3
2022-10-20,24.6,20.4,5.4,9.3,11.2,1.2,1.3,1.0,,1.1,,,1.6,5.0,17.9
2022-10-09,24.4,20.4,6.0,9.2,10.6,,1.4,,,,,,1.4,8.8,17.8
2022-09-26,28.1,13.2,5.7,8.6,8.4,1.8,2.0,,,3.2,,3.3,,12.5,13.2
2022-09-24,23.9,17.0,7.2,9.7,9.7,1.0,,,,1.2,2.1,3.1,3.3,4.2,17.6
2022-09-20,25.2,20.5,5.7,8.7,10.9,1.2,1.4,1.2,,1.0,1.0,,1.3,4.0,17.9
2022-09-04,24.2,20.6,5.5,9.4,10.6,,1.6,1.6,,,,,1.3,7.1,18.1
2022-08-30,25.9,16.5,6.9,9.2,9.9,,,,,1.4,1.9,2.2,3.0,5.7,17.4
2022-08-25,30.1,14.7,4.0,9.2,9.0,,2.5,1.5,,2.9,,2.5,,7.2,16.4
2022-08-07,27.1,19.3,5.8,8.4,10.6,1.1,1.3,,,,,,1.0,7.6,17.8
2022-08-02,26.2,17.3,6.7,9.1,10.7,,,,,1.4,2.2,1.7,3.7,1.9,19.1
2022-07-25,29.1,17.400000000000002,5.1,8.2,9.9,,1.5,,,1.8,1.1,2.1,,7.0,16.8
2022-07-10,27.3,21.200000000000003,5.5,8.4,11.6,,,,,1.0,,,,6.6,18.4
2022-06-24,29.3,16.900000000000002,6.3,9.1,8.9,1.0,,,1.9,2.1,1.1,2.1,,4.3,16.8
2022-06-05,26.7,20.3,5.1,9.2,12.3,,1.1,1.0,,1.0,,,,5.6,17.7
2022-05-27,24.9,17.8,5.1,9.9,14.3,,,,,1.4,1.3,,,7.4,17.9
2022-05-25,30.0,16.9,5.6,10.2,10.2,,,1.9,1.8,1.5,,3.1,,6.3,12.6
2022-05-20,26.4,21.3,4.6,9.1,12.0,,1.1,,1.0,1.1,,,,6.3,17.1
2022-05-08,26.1,21.0,4.8,9.2,12.6,,1.2,,1.1,1.0,,,,5.9,17.1
2022-04-25,28.6,18.2,4.8,9.0,9.1,,,1.1,1.9,1.9,,2.0,,7.0,16.4
2022-04-24,25.2,20.8,5.7,9.7,12.3,,1.3,,1.0,1.1,,,,5.8,17.1
