Date,LDP,CDP,NIK,KMT,JCP,DPP,REI,DIY,SDP,NHK
2024-10-20,35.703001579778835,22.274881516587676,9.162717219589258,8.056872037914692,4.265402843601896,9.636650868878357,6.161137440758294,2.053712480252765,2.211690363349131,0.47393364928909953
2024-10-13,37.15319662243667,28.226779252110973,10.494571773220747,4.704463208685163,9.16767189384801,4.2219541616405305,3.1363088057901085,0.7237635705669481,1.9300361881785282,0.24125452352231602
2024-10-14,57.11159737417943,22.10065645514223,9.409190371991247,11.37855579868709,,,,,,
2024-10-12,43.92678868552412,20.632279534109816,7.9866888519134775,10.64891846921797,5.324459234608985,5.490848585690515,2.3294509151414307,2.1630615640599005,0.49916805324459235,0.9983361064891847
2024-10-06,46.05433376455369,24.320827943078914,9.831824062095732,6.338939197930143,4.3984476067270375,3.363518758085382,3.2341526520051747,1.9404915912031049,0.517464424320828,
2024-10-06,51.66666666666667,23.333333333333332,5.0,5.0,8.333333333333332,3.3333333333333335,1.6666666666666667,1.6666666666666667,,
2024-10-02,51.94805194805194,19.480519480519483,10.38961038961039,5.194805194805195,2.5974025974025974,2.5974025974025974,5.194805194805195,1.2987012987012987,,1.2987012987012987
2024-10-02,49.104859335038356,21.099744245524295,9.974424552429667,4.603580562659847,4.859335038363171,4.475703324808184,2.813299232736573,1.278772378516624,1.1508951406649617,0.639386189258312
2024-10-02,46.75324675324675,20.77922077922078,11.688311688311687,6.493506493506493,3.896103896103896,5.194805194805195,2.5974025974025974,2.5974025974025974,,
2024-10-02,53.42465753424658,16.43835616438356,9.58904109589041,5.47945205479452,4.10958904109589,2.73972602739726,5.47945205479452,1.36986301369863,1.36986301369863,
2024-09-21,41.935483870967744,25.806451612903224,12.903225806451612,4.838709677419355,4.838709677419355,4.838709677419355,4.838709677419355,,,
2024-09-15,41.27764127764127,28.624078624078624,8.476658476658477,4.914004914004914,9.336609336609335,2.334152334152334,2.457002457002457,1.4742014742014742,0.6142506142506142,0.4914004914004914
2024-09-15,52.21518987341772,19.462025316455698,9.493670886075948,5.8544303797468356,4.5886075949367084,2.5316455696202533,3.0063291139240502,2.2151898734177213,0.31645569620253167,0.31645569620253167
2024-09-15,48.68421052631579,21.052631578947366,11.842105263157894,5.263157894736842,3.9473684210526314,3.9473684210526314,3.9473684210526314,1.3157894736842104,,
2024-09-15,56.00000000000001,16.0,8.0,4.0,4.0,4.0,5.333333333333334,1.3333333333333335,1.3333333333333335,
2024-09-15,50.72463768115942,17.391304347826086,11.594202898550725,5.797101449275362,2.898550724637681,4.3478260869565215,4.3478260869565215,1.4492753623188406,1.4492753623188406,
2024-08-25,40.98360655737705,22.950819672131146,13.114754098360656,4.918032786885246,4.918032786885246,6.557377049180328,4.918032786885246,1.639344262295082,,
2024-08-25,42.10526315789473,19.736842105263158,13.157894736842104,6.578947368421052,3.9473684210526314,5.263157894736842,5.263157894736842,2.631578947368421,1.3157894736842104,
2024-08-25,47.22222222222222,16.666666666666664,13.88888888888889,5.555555555555555,4.166666666666666,4.166666666666666,5.555555555555555,1.3888888888888888,1.3888888888888888,
2024-08-22,53.42465753424658,15.068493150684931,13.698630136986301,4.10958904109589,4.10958904109589,4.10958904109589,4.10958904109589,,1.36986301369863,
2024-08-19,46.90265486725664,19.216182048040455,10.619469026548673,4.424778761061948,5.183312262958281,3.792667509481669,4.804045512010114,2.907711757269279,1.1378002528445008,1.0113780025284451
2024-08-18,41.131105398457585,25.064267352185094,13.753213367609254,5.012853470437018,7.583547557840618,2.185089974293059,2.699228791773779,1.5424164524421593,0.8997429305912596,0.12853470437017997
2024-07-28,42.25352112676056,18.30985915492958,15.492957746478872,7.042253521126761,5.633802816901409,4.225352112676056,4.225352112676056,1.4084507042253522,1.4084507042253522,
2024-07-21,37.03703703703704,20.37037037037037,14.814814814814813,5.555555555555555,5.555555555555555,7.4074074074074066,5.555555555555555,1.8518518518518516,1.8518518518518516,
2024-07-21,42.4791086350975,20.334261838440113,12.534818941504177,5.571030640668524,4.178272980501393,8.217270194986073,4.178272980501393,0.5571030640668525,1.6713091922005572,0.27855153203342625
2024-07-21,40.909090909090914,18.181818181818183,16.666666666666664,6.0606060606060606,4.545454545454546,4.545454545454546,6.0606060606060606,1.5151515151515151,1.5151515151515151,
2024-07-14,32.41830065359477,24.575163398692812,14.117647058823529,6.143790849673203,13.071895424836603,3.2679738562091507,2.7450980392156863,1.5686274509803921,1.830065359477124,0.26143790849673204
2024-06-30,44.285714285714285,20.0,14.285714285714285,4.285714285714286,4.285714285714286,4.285714285714286,5.714285714285714,1.4285714285714286,1.4285714285714286,
2024-06-23,28.8135593220339,28.8135593220339,15.254237288135593,5.084745762711865,6.779661016949152,6.779661016949152,5.084745762711865,1.694915254237288,1.694915254237288,
2024-06-23,36.90095846645367,21.56549520766773,15.335463258785943,4.15335463258786,7.507987220447284,4.63258785942492,7.028753993610224,1.4376996805111821,0.4792332268370607,0.9584664536741214
2024-06-23,39.726027397260275,19.17808219178082,13.698630136986301,6.8493150684931505,5.47945205479452,4.10958904109589,8.21917808219178,1.36986301369863,1.36986301369863,
2024-06-16,28.169014084507044,30.34571062740077,12.93213828425096,5.505761843790013,11.651728553137005,3.457106274007683,4.865556978233035,0.8962868117797695,1.920614596670935,0.25608194622279135
2024-06-02,32.74695534506089,22.868741542625166,13.937753721244924,7.307171853856563,7.442489851150203,6.901217861975642,5.412719891745602,2.3004059539918806,1.0825439783491204,
