Date,SPOLU,ANO,STAN,Piráti,SPD,PŘÍSAHA,AUTO,SOCDEM,Stačilo!,Zelení,PRO
2023-08-08,24.5,33.0,6.5,12.0,8.0,3.0,,5.0,3.0,1.5,1.5
2023-06-30,21.0,35.5,5.5,11.0,10.0,2.5,,4.0,2.5,2.5,1.5
2023-06-02,24.0,33.5,6.0,11.5,8.0,2.5,,3.5,3.5,2.5,2.0
2023-06-02,24.5,33.5,6.5,11.5,8.0,2.5,,3.0,3.5,2.0,2.0
2023-06-02,24.5,34.5,6.0,10.5,8.5,2.0,,4.0,3.5,,
2023-05-29,22.7,33.5,5.8,10.8,9.3,2.9,,4.1,3.8,2.3,1.2
2023-05-05,25.0,31.0,6.5,11.5,9.5,2.5,,5.5,2.5,2.0,2.0
2023-05-05,27.0,30.5,6.0,11.0,9.0,2.5,,5.5,2.5,2.0,2.0
2023-05-02,25.0,31.0,7.5,10.5,8.5,2.0,,4.0,4.0,2.0,
2023-04-06,27.0,29.5,5.5,11.0,8.0,3.5,,5.0,2.5,,3.0
2023-04-03,24.5,34.5,8.0,8.5,10.0,2.0,,4.0,3.0,2.0,
2023-03-07,23.0,32.0,7.0,11.5,9.5,2.5,,5.0,3.5,2.0,
2023-03-03,30.5,29.5,7.0,9.0,8.5,2.5,,4.5,2.0,,1.5
2022-12-05,23.4,30.8,6.4,9.4,12.4,,,4.0,4.2,,
2022-11-04,30.5,26.5,6.0,11.5,11.0,2.5,,3.5,2.5,,
2022-10-31,24.5,31.5,5.5,11.0,12.0,2.0,,5.5,2.0,2.0,
2022-09-30,24.5,30.5,5.5,11.0,11.5,3.0,,4.5,2.5,2.0,
2022-09-30,28.0,29.5,7.5,9.0,11.5,4.0,,2.5,2.0,2.0,
2022-09-08,23.7,30.0,5.0,9.4,14.3,3.5,,4.0,,,
2022-09-02,28.0,30.5,6.5,8.5,11.0,3.0,,3.0,3.5,,
2022-08-31,23.0,29.0,4.0,11.5,14.0,3.5,,5.0,3.5,2.0,
2022-08-11,24.5,31.1,5.5,9.3,11.9,3.3,,4.8,3.4,2.5,
2022-08-02,25.0,30.0,5.5,10.5,12.5,3.0,,5.0,2.5,2.0,
2022-07-04,25.900000000000002,29.0,4.8,11.8,12.5,2.2,,5.6,2.8,1.8,
2022-06-02,30.0,28.0,6.5,8.5,11.0,2.0,,4.5,2.5,2.0,
2022-06-02,25.5,28.5,8.5,9.0,11.5,3.0,,5.5,3.0,,
2022-04-29,33.5,27.5,10.0,5.0,11.0,3.0,,2.5,2.0,2.0,
2022-04-01,31.5,27.5,10.0,7.5,9.5,3.5,,2.5,2.5,,
2022-03-04,33.0,25.0,11.0,7.5,11.5,3.0,,3.0,2.0,,
2021-11-19,26.0,27.0,13.0,8.0,9.5,2.5,,4.0,3.5,,
2021-10-09,27.790000000000003,27.12,15.62,15.62,9.56,4.68,,4.65,3.6,0.99,
