Date,JxCat,Cs,Left (PSOE + Sumar + PNV + EHB + ERC),Right (PP + VOX)
2023-02-24,2.0,1.9,43.00000000000001,47.2
2023-02-24,,0.8,39.7,45.0
2023-02-24,2.0,2.6,43.699999999999996,46.9
2023-02-23,2.1,1.8,44.699999999999996,46.2
2023-02-23,2.0,1.9,43.9,47.3
2023-02-22,1.7,1.4,43.699999999999996,47.3
2023-02-22,,2.5,37.2,46.2
2023-02-19,,2.0,38.9,47.099999999999994
2023-02-17,2.0,2.6,43.4,47.2
2023-02-11,0.9,2.0,43.50000000000001,46.9
2023-02-11,1.1,2.0,50.0,39.8
2023-02-10,2.0,2.6,43.4,46.8
2023-02-10,,0.9,40.099999999999994,44.8
2023-02-09,2.0,1.5,42.6,48.0
2023-02-07,,1.7,41.2,44.9
2023-02-03,2.0,2.6,43.699999999999996,46.7
2023-02-03,1.9,1.8,44.1,46.1
2023-02-02,2.5,2.2,42.099999999999994,47.1
2023-01-29,,2.6,41.3,43.6
2023-01-27,2.0,2.5,44.1,46.3
2023-01-27,,1.0,40.7,44.3
2023-01-26,2.1,1.7,44.0,47.1
2023-01-25,,2.0,37.5,46.3
2023-01-20,,2.1,38.599999999999994,46.400000000000006
2023-01-20,2.1,2.0,44.39999999999999,47.0
2023-01-19,2.1,1.7,44.800000000000004,46.3
2023-01-19,2.0,2.4,44.4,46.6
2023-01-15,1.7,0.7,46.2,47.3
2023-01-13,,0.9,40.2,44.9
2023-01-12,2.0,2.3,43.6,47.3
2023-01-12,1.4,1.9,44.6,45.2
2023-01-12,1.4,2.9,49.89999999999999,38.5
2023-01-11,2.0,1.6,42.50000000000001,47.9
2023-01-10,,1.8,40.7,44.8
2023-01-05,2.0,2.4,43.9,46.9
2023-01-04,2.0,1.0,42.49999999999999,48.5
2022-12-31,,2.4,42.0,42.9
2022-12-31,1.9,1.7,43.8,46.599999999999994
2022-12-30,2.4,1.7,42.2,47.099999999999994
2022-12-29,2.1,1.8,43.6,47.3
2022-12-29,2.0,2.5,43.199999999999996,47.400000000000006
2022-12-28,,2.2,37.5,46.3
2022-12-28,,1.6,37.3,47.2
2022-12-23,,0.8,40.0,45.1
2022-12-23,2.1,2.2,43.699999999999996,46.900000000000006
2022-12-21,2.0,1.8,45.1,45.7
2022-12-21,1.8,1.8,44.0,46.2
2022-12-21,2.1,2.3,44.699999999999996,46.3
2022-12-19,1.9,1.1,45.099999999999994,45.6
2022-12-17,,2.0,39.3,46.5
2022-12-17,2.0,1.8,43.099999999999994,46.7
2022-12-16,1.6,1.3,45.300000000000004,46.2
2022-12-15,2.1,2.2,44.4,46.1
2022-12-14,1.3,1.6,44.400000000000006,45.4
2022-12-14,1.4,2.9,49.3,38.8
2022-12-13,,0.3,39.5,46.0
2022-12-09,2.1,2.2,44.3,46.3
2022-12-07,2.0,1.7,43.10000000000001,46.8
2022-12-02,,0.8,39.1,45.6
2022-12-02,1.8,2.0,45.5,45.400000000000006
2022-12-02,2.1,2.2,44.4,46.0
2022-12-02,,1.3,39.2,46.5
2022-12-01,2.1,1.9,43.5,47.4
2022-11-30,2.4,2.5,43.5,44.0
2022-11-26,,2.2,42.8,42.2
2022-11-25,2.1,2.1,44.8,45.9
2022-11-24,2.0,1.8,44.8,45.8
2022-11-24,1.5,2.2,44.3,41.8
2022-11-23,2.3,2.1,43.5,44.7
2022-11-23,2.0,1.6,43.199999999999996,48.2
2022-11-22,,2.4,40.0,46.5
2022-11-20,1.4,1.7,45.5,46.0
2022-11-18,2.1,2.1,45.3,45.4
2022-11-17,,0.9,38.3,46.3
2022-11-17,,2.3,37.2,47.8
2022-11-16,2.1,2.2,44.4,46.4
2022-11-14,1.9,0.4,48.7,44.3
2022-11-12,2.0,1.7,43.3,46.6
2022-11-12,1.1,1.6,45.49999999999999,43.9
2022-11-12,1.0,2.5,51.00000000000001,37.3
2022-11-11,2.1,2.1,45.5,45.2
2022-11-11,,1.7,40.2,45.3
2022-11-10,2.0,1.8,41.9,47.3
2022-11-04,1.5,1.5,45.6,46.2
2022-11-03,2.1,1.8,45.400000000000006,45.5
2022-11-02,1.9,2.4,43.3,46.2
2022-10-31,2.2,2.2,44.7,44.8
2022-10-30,,2.3,41.6,43.7
2022-10-28,,0.8,39.6,45.6
2022-10-27,2.3,1.7,42.9,47.8
2022-10-27,2.2,1.9,45.2,45.7
2022-10-26,1.6,1.4,43.2,46.3
2022-10-26,1.7,2.1,50.400000000000006,38.8
2022-10-23,,2.2,39.5,46.3
2022-10-22,1.5,1.2,46.2,45.8
2022-10-20,2.0,1.9,43.800000000000004,46.6
2022-10-20,2.2,2.0,44.7,46.2
2022-10-16,2.3,2.1,44.2,45.1
2022-10-14,2.2,1.5,43.3,47.0
2022-10-14,,1.6,40.6,43.599999999999994
2022-10-13,,1.9,38.199999999999996,47.0
2022-10-13,2.2,1.9,44.699999999999996,46.0
2022-10-10,1.4,2.1,44.199999999999996,45.7
2022-10-10,1.5,2.7,50.7,37.5
2022-10-08,1.8,1.7,43.199999999999996,48.3
2022-10-07,,1.0,38.9,46.400000000000006
2022-10-06,2.1,1.8,40.900000000000006,48.1
2022-10-06,2.2,1.8,44.400000000000006,46.4
2022-09-30,2.1,2.2,43.6,46.3
2022-09-30,1.9,2.6,42.79999999999999,46.6
2022-09-30,2.2,1.8,43.900000000000006,46.9
2022-09-29,2.3,1.8,40.9,49.7
2022-09-29,2.0,2.3,43.7,46.0
2022-09-26,,2.2,41.6,43.599999999999994
2022-09-24,2.1,1.2,42.99999999999999,48.0
2022-09-23,,0.9,39.1,46.2
2022-09-22,1.9,1.3,42.50000000000001,47.4
2022-09-22,2.2,1.8,43.00000000000001,47.599999999999994
2022-09-21,2.0,1.8,44.0,46.900000000000006
2022-09-18,,2.4,40.1,46.2
2022-09-16,2.3,1.7,42.199999999999996,48.199999999999996
2022-09-10,1.5,1.5,43.3,45.5
2022-09-10,1.4,2.8,48.0,38.8
2022-09-10,2.1,1.1,43.099999999999994,47.8
2022-09-09,2.1,1.3,42.4,48.5
2022-09-09,2.2,1.7,42.300000000000004,48.5
2022-09-09,,2.9,37.3,46.7
2022-09-08,,2.0,37.1,48.3
2022-09-08,2.1,1.9,44.400000000000006,45.400000000000006
2022-09-03,1.9,2.3,41.800000000000004,47.4
2022-09-02,2.0,0.5,45.7,47.2
2022-09-02,2.2,1.8,43.7,46.3
2022-09-02,2.2,1.7,42.4,48.400000000000006
2022-09-01,2.3,1.7,41.0,50.0
2022-08-31,2.1,1.8,43.0,47.3
2022-08-28,,2.6,41.4,42.9
2022-08-27,2.1,,42.0,47.2
2022-08-26,2.2,1.7,42.4,48.5
2022-08-20,2.1,2.4,43.800000000000004,46.7
2022-08-19,2.4,1.7,41.800000000000004,48.4
2022-08-12,2.3,1.8,41.99999999999999,48.5
2022-08-10,2.0,2.4,41.70000000000001,47.8
2022-08-08,,1.6,40.1,45.9
2022-08-05,2.3,1.8,42.099999999999994,48.5
2022-07-29,2.4,1.7,41.7,48.9
2022-07-29,1.9,0.8,42.199999999999996,49.099999999999994
2022-07-22,2.3,2.0,44.0,45.4
2022-07-22,2.3,1.7,42.0,48.7
2022-07-21,2.1,2.1,43.9,46.3
2022-07-21,2.1,2.0,43.2,46.6
2022-07-17,,2.6,39.2,46.3
2022-07-16,1.9,2.6,43.5,45.4
2022-07-15,2.4,1.6,42.20000000000001,48.5
2022-07-15,1.8,1.3,42.9,47.7
2022-07-14,2.2,1.6,41.1,50.4
2022-07-14,2.1,1.2,42.400000000000006,48.8
2022-07-12,2.0,2.9,44.800000000000004,45.8
2022-07-12,1.2,1.7,48.8,42.1
2022-07-11,,1.6,40.1,47.1
2022-07-09,,,35.7,48.5
2022-07-08,2.0,2.8,42.6,47.3
2022-07-08,2.4,1.6,42.8,48.5
2022-07-07,,2.0,37.1,47.6
2022-07-06,2.0,1.1,40.9,49.9
2022-07-01,1.8,1.7,45.3,43.6
2022-07-01,2.4,1.6,43.4,47.900000000000006
2022-07-01,1.9,2.0,42.4,46.8
2022-06-30,2.1,1.5,41.1,50.7
2022-06-29,2.2,2.4,43.79999999999999,45.6
2022-06-27,,2.9,41.0,43.3
2022-06-26,2.2,2.3,43.6,46.1
2022-06-24,1.9,2.0,42.8,47.4
2022-06-24,,0.8,36.2,48.5
2022-06-24,2.4,1.5,43.4,47.8
2022-06-23,2.1,2.1,45.0,45.3
2022-06-22,1.7,2.0,41.49999999999999,44.7
2022-06-20,2.2,1.7,41.1,50.599999999999994
2022-06-10,2.3,2.5,44.49999999999999,45.8
2022-06-09,,2.3,37.5,46.400000000000006
2022-06-09,1.2,1.9,45.49999999999999,43.5
2022-06-03,,1.3,38.4,45.7
2022-06-02,2.3,2.5,44.8,45.5
2022-06-01,2.4,2.4,43.699999999999996,46.6
2022-05-27,2.3,2.5,44.9,45.5
2022-05-26,2.1,2.5,45.8,44.8
