Date,SDP,PS,KOK,KESK,VIHR,VAS,SFP,KD,LIIK
2021-12-10,19.3,17.5,21.4,11.9,9.8,8.0,4.5,3.3,2.3
2021-11-30,18.3,18.7,21.8,12.5,10.1,8.2,4.6,2.9,1.6
2021-11-15,19.4,18.0,21.1,11.9,10.5,7.6,4.3,3.3,2.1
2021-11-02,18.1,17.9,20.9,11.9,11.4,8.6,5.2,2.6,1.7
2021-10-15,18.5,17.8,21.2,12.5,10.1,7.7,4.5,3.6,2.2
2021-10-05,19.3,17.7,20.9,12.6,10.4,8.6,4.1,3.2,1.7
2021-09-17,18.4,17.4,20.8,12.9,10.5,7.8,4.5,3.6,2.2
2021-08-31,18.7,17.6,21.3,12.2,11.4,7.6,4.4,3.3,2.5
2021-08-20,19.2,17.2,19.8,12.9,10.8,7.9,4.4,3.6,2.3
2021-08-03,19.0,17.9,20.5,12.3,10.9,8.6,4.3,3.4,1.8
2021-07-20,19.2,17.8,19.9,12.6,10.2,8.2,4.4,3.7,2.0
2021-07-06,19.6,17.8,19.8,13.5,10.4,8.0,4.5,3.3,1.9
2021-05-07,19.0,21.6,17.0,11.1,10.0,8.1,4.4,3.8,2.6
2021-04-09,19.7,21.6,16.2,11.4,10.0,7.8,4.3,3.8,2.5
2021-03-12,20.5,21.5,16.0,11.8,9.8,7.3,4.4,3.7,2.6
2021-02-12,21.0,21.1,16.4,11.0,9.9,7.6,4.2,3.7,2.4
2021-01-15,20.8,21.0,16.2,10.8,10.6,7.7,4.3,3.7,2.4
2021-01-05,21.4,21.9,16.2,11.7,11.4,7.6,4.3,2.8,1.3
2020-12-18,21.4,20.6,16.2,11.4,9.9,7.7,4.3,3.8,2.3
2020-12-01,20.6,20.9,15.9,12.1,11.6,7.2,4.4,3.0,2.2
2020-11-20,20.8,19.9,16.5,11.7,11.1,7.5,4.4,3.7,2.2
2020-11-03,21.2,19.5,16.6,12.4,10.8,7.7,4.3,4.0,1.6
2020-10-16,20.9,19.9,16.8,11.2,11.0,7.8,4.4,3.8,2.1
2020-10-06,21.8,19.0,17.7,11.5,10.9,7.9,4.5,3.3,1.8
2020-09-12,21.0,19.5,17.0,10.8,11.8,7.6,4.3,3.7,2.0
2020-09-01,21.4,18.8,18.3,11.3,11.7,8.0,4.1,3.0,1.3
2020-08-14,21.0,19.0,16.9,11.3,12.1,7.5,4.4,3.9,1.7
2020-08-04,23.4,18.9,17.3,10.5,11.6,8.1,4.0,3.6,1.2
2020-07-10,21.2,17.9,17.7,11.6,11.3,8.2,4.4,3.9,1.8
2020-06-30,21.9,18.1,17.9,11.4,10.9,8.7,4.3,3.4,1.8
2020-06-14,21.9,17.6,17.4,12.4,10.8,7.4,4.4,4.0,1.8
2020-06-02,23.2,18.1,17.5,10.7,11.9,7.8,3.9,3.5,2.3
2020-05-14,22.1,18.1,17.0,12.3,11.2,7.6,4.2,3.7,1.9
2020-05-05,22.1,17.9,18.2,12.2,11.4,7.7,4.1,3.7,1.5
2020-04-29,24.1,18.8,16.2,12.9,9.7,7.3,4.0,3.2,1.4
2020-04-15,20.4,20.2,16.8,12.6,11.2,7.4,4.2,3.5,2.0
2020-04-07,19.6,20.0,17.6,12.4,12.0,7.9,4.1,3.9,1.3
2020-03-27,21.1,20.1,16.8,11.9,10.7,7.8,4.6,2.9,1.3
2020-03-13,17.1,21.6,16.9,12.0,12.4,8.0,4.4,3.7,1.9
2020-03-03,16.6,22.4,18.0,12.4,12.5,7.4,4.1,2.9,1.7
2020-02-14,16.3,22.4,17.3,12.0,12.3,7.7,4.2,3.6,1.9
2020-02-10,16.7,21.7,17.5,12.0,12.6,7.6,4.3,3.5,1.4
2020-02-04,16.0,23.3,17.5,10.8,13.3,8.3,4.4,3.0,1.3
2020-01-17,15.1,22.8,17.5,11.5,12.8,8.3,4.3,3.9,1.7
2020-01-08,14.9,24.3,19.3,12.0,12.0,8.1,3.9,2.2,1.4
2019-12-20,15.1,22.7,17.2,11.1,12.5,8.4,4.5,4.0,1.7
2019-12-03,13.2,24.3,18.6,10.6,13.9,8.4,3.9,3.9,1.2
2019-11-21,15.2,22.4,17.3,11.7,13.1,7.9,4.3,3.8,1.6
2019-11-05,13.9,23.0,17.3,12.9,14.2,7.9,4.3,3.2,1.6
2019-10-21,17.0,20.5,17.0,12.2,13.9,8.2,4.3,3.3,1.3
2019-10-08,17.2,20.4,17.2,12.5,13.2,7.7,4.2,3.2,1.6
2019-10-01,15.6,20.9,17.1,12.8,14.5,7.9,3.9,3.7,1.6
2019-09-22,17.3,19.8,17.3,11.9,14.2,8.2,4.4,3.4,1.5
2019-09-03,16.9,20.6,17.4,11.6,14.6,8.1,3.8,3.4,1.4
2019-08-23,17.2,20.0,17.4,12.1,13.7,8.3,4.4,3.8,1.0
2019-08-06,16.3,19.6,16.8,12.6,15.1,8.7,4.3,3.5,1.2
2019-07-27,16.5,20.7,16.7,12.2,14.0,8.1,4.5,3.9,1.1
2019-07-02,16.1,19.7,16.8,11.7,14.3,8.8,4.6,3.8,1.7
2019-06-28,17.5,19.2,17.3,13.1,13.1,8.0,4.4,3.7,1.4
2019-06-14,16.2,20.1,17.2,13.0,13.6,8.2,4.8,3.0,–
2019-06-04,17.4,19.5,16.7,12.4,13.9,7.8,4.5,3.6,1.7
2019-06-02,17.5,18.2,17.5,13.2,12.2,8.5,4.5,3.9,2.1
2019-05-14,16.4,19.2,17.9,13.4,12.1,9.4,4.7,3.5,–
2019-05-07,17.8,18.8,16.9,13.3,13.3,8.0,4.0,3.7,1.7
2019-05-03,16.9,18.7,17.1,12.7,12.8,8.3,4.4,4.1,2.5
2019-04-14,17.7,17.5,17.0,13.8,11.5,8.2,4.5,3.9,2.3
