Date,LPC,PC,NDP
1965-11-03,44.0,29.0,18.0
1965-10-01,47.0,30.0,16.0
1965-09-01,48.0,28.0,15.0
1965-07-01,45.0,29.0,15.0
1965-05-01,45.0,29.0,15.0
1965-03-01,45.0,29.0,15.0
1965-01-01,47.0,32.0,12.0
1964-10-01,47.0,33.0,13.0
1964-06-01,44.0,34.0,13.0
1964-04-01,42.0,35.0,13.0
1963-12-01,42.0,35.0,13.0
1963-09-01,43.0,35.0,12.0
1963-07-01,43.0,34.0,13.0
1963-04-08,41.48,32.8,13.22
