Date,LPC,PC,NDP
1963-04-03,41.0,32.0,14.0
1963-03-09,41.0,32.0,11.0
1963-01-01,47.0,32.0,10.0
1962-10-01,47.0,33.0,9.0
1962-06-18,36.97,37.22,13.57
