Date,CPC,LPC,NDP,BQ,GPC
2008-10-13,38.0,22.6,22.6,9.5,7.1
2008-10-13,34.8,26.4,19.4,9.8,9.6
2008-10-13,37.0,27.0,20.0,9.0,7.0
2008-10-12,34.2,26.7,21.4,9.5,8.2
2008-10-12,34.0,26.0,18.0,10.0,11.0
2008-10-12,34.0,25.0,19.0,11.0,9.0
2008-10-11,33.0,28.0,18.0,10.0,11.0
2008-10-11,33.0,27.0,22.0,10.0,9.0
2008-10-11,35.0,26.0,18.0,10.0,9.0
2008-10-11,34.0,27.0,18.0,10.0,11.0
2008-10-10,35.0,28.0,19.0,9.0,9.0
2008-10-10,35.0,25.0,18.0,9.0,11.0
2008-10-10,32.0,28.0,22.0,10.0,8.0
2008-10-10,38.0,28.0,19.0,9.0,6.0
2008-10-10,34.0,26.0,19.0,10.0,11.0
2008-10-09,34.0,29.0,18.0,9.0,8.0
2008-10-09,35.0,23.0,21.0,10.0,10.0
2008-10-09,33.0,27.0,22.0,10.0,8.0
2008-10-09,34.0,26.0,18.0,9.0,12.0
2008-10-09,36.0,24.0,19.0,10.0,11.0
2008-10-08,33.0,29.0,20.0,10.0,7.0
2008-10-08,32.0,27.0,19.0,8.0,12.0
2008-10-08,35.0,24.0,20.0,10.0,11.0
2008-10-07,33.0,29.0,20.0,11.0,7.0
2008-10-07,35.0,27.0,18.0,9.0,10.0
2008-10-07,31.0,27.0,20.0,8.0,12.0
2008-10-07,34.0,25.0,20.0,10.0,11.0
2008-10-06,31.0,26.0,21.0,8.0,13.0
2008-10-06,34.0,31.0,18.0,11.0,6.0
2008-10-06,33.0,26.0,19.0,10.0,12.0
2008-10-05,32.0,25.0,21.0,8.0,12.0
2008-10-05,34.0,29.0,20.0,11.0,6.0
2008-10-05,35.0,25.0,19.0,10.0,10.0
2008-10-04,34.0,24.0,20.0,8.0,13.0
2008-10-04,34.0,30.0,19.0,10.0,7.0
2008-10-04,36.0,25.0,18.0,10.0,10.0
2008-10-03,40.0,25.0,19.0,11.0,6.0
2008-10-03,35.0,22.0,20.0,9.0,13.0
2008-10-03,35.0,28.0,19.0,10.0,8.0
2008-10-03,36.0,25.0,19.0,10.0,10.0
2008-10-02,37.0,23.0,19.0,11.0,10.0
2008-10-02,37.0,22.0,18.0,9.0,12.0
2008-10-02,35.0,30.0,18.0,10.0,9.0
2008-10-02,36.0,24.0,19.0,10.0,11.0
2008-10-01,36.0,23.0,18.0,9.0,12.0
2008-10-01,37.0,26.0,19.0,10.0,8.0
2008-10-01,34.0,25.0,19.0,10.0,11.0
2008-09-30,36.0,24.0,17.0,10.0,11.0
2008-09-30,36.0,26.0,20.0,10.0,9.0
2008-09-30,34.0,25.0,20.0,10.0,11.0
2008-09-29,39.0,24.0,19.0,10.0,9.0
2008-09-29,36.0,26.0,18.0,9.0,11.0
2008-09-29,37.0,26.0,20.0,10.0,8.0
2008-09-29,34.0,27.0,19.0,9.0,10.0
2008-09-28,36.0,26.0,19.0,8.0,9.0
2008-09-28,36.0,26.0,20.0,9.0,9.0
2008-09-28,34.0,26.0,20.0,10.0,10.0
2008-09-27,36.0,27.0,19.0,9.0,9.0
2008-09-27,36.0,25.0,19.0,9.0,9.0
2008-09-26,39.0,25.0,19.0,8.0,9.0
2008-09-26,38.0,23.0,19.0,9.0,9.0
2008-09-25,40.0,21.0,21.0,10.0,7.0
2008-09-25,39.0,23.0,18.0,9.0,11.0
2008-09-25,39.0,24.0,19.0,9.0,8.0
2008-09-25,37.0,24.0,18.0,9.0,10.0
2008-09-25,35.0,25.0,20.0,10.0,10.0
2008-09-24,40.0,25.0,19.0,9.0,8.0
2008-09-24,36.0,25.0,19.0,10.0,11.0
