Date,LPC,PC,NDP
1980-02-01,48.0,28.0,23.0
1980-02-15,43.0,33.0,22.0
1980-02-01,46.0,33.0,17.0
1980-01-01,49.0,28.0,20.0
1979-09-01,41.0,37.0,19.0
1979-07-01,43.0,38.0,20.0
1979-06-01,40.0,38.0,18.0
1979-05-22,40.11,35.89,17.88
