Date,LPC,CPC,NDP,BQ,GPC
2019-09-09,34.0,35.0,11.0,5.0,11.0
2019-09-08,37.5,34.0,8.4,3.6,10.8
2019-09-06,34.6,30.7,16.5,4.0,11.0
2019-09-05,34.0,34.0,12.0,4.0,12.0
2019-09-05,33.0,34.0,13.0,5.0,11.0
2019-08-30,35.4,31.3,15.7,4.4,10.3
2019-08-29,37.2,32.9,7.2,5.5,10.4
2019-08-29,34.0,33.0,12.0,5.0,12.0
2019-08-29,33.0,34.0,17.0,4.0,9.0
2019-08-26,32.0,36.0,14.0,4.0,9.0
2019-08-23,33.66,33.65,14.87,4.17,9.41
2019-08-22,33.1,34.1,10.4,5.1,11.2
2019-08-19,33.0,33.0,11.0,4.0,13.0
2019-08-19,33.0,35.0,18.0,3.0,9.0
2019-08-19,32.0,32.0,17.0,4.0,10.0
2019-08-17,32.0,39.0,15.0,5.0,7.0
2019-08-16,34.61,31.41,14.58,4.16,10.0
2019-08-13,32.0,33.0,13.0,4.0,12.0
2019-08-09,35.0,32.46,14.75,3.69,9.8
2019-08-06,32.0,33.0,17.0,4.0,10.0
2019-08-02,36.7,30.8,16.1,3.7,9.3
2019-07-31,34.5,34.1,11.1,4.4,11.1
2019-07-31,36.0,32.0,14.0,4.0,10.0
2019-07-28,31.0,34.0,12.0,5.0,12.0
2019-07-25,30.6,36.0,9.9,4.6,12.9
2019-07-23,33.0,36.0,11.0,4.0,12.0
2019-07-18,33.6,31.3,12.5,3.1,12.5
2019-07-19,35.6,30.0,18.6,4.0,9.0
2019-07-17,34.0,31.0,17.0,4.0,10.0
2019-07-17,32.0,32.0,16.0,4.0,11.0
2019-07-15,31.0,37.0,18.0,5.0,7.0
2019-07-12,33.0,32.0,14.0,4.0,14.0
2019-07-12,30.0,38.0,14.0,4.0,10.0
2019-07-12,35.9,29.7,18.5,4.8,8.3
2019-07-08,30.7,32.3,10.8,5.0,14.9
2019-07-08,35.0,32.0,12.0,4.0,11.0
2019-07-05,34.6,30.4,17.9,4.9,8.8
2019-07-02,32.0,33.0,16.0,4.0,11.0
2019-07-02,35.0,33.2,10.4,4.5,10.3
2019-06-29,31.6,34.1,9.7,3.8,12.6
2019-06-28,34.5,31.7,16.5,4.6,9.8
2019-06-26,33.0,37.0,17.0,5.0,7.0
2019-06-23,29.0,35.0,13.0,5.0,12.0
2019-06-21,32.5,32.8,16.9,4.9,10.2
2019-06-17,30.1,34.2,12.0,4.3,13.2
2019-06-14,30.3,34.0,16.8,4.6,11.4
2019-06-10,29.0,38.0,13.0,4.0,11.0
2019-06-07,31.0,37.0,18.0,5.0,6.0
2019-06-07,30.9,34.2,16.9,4.0,11.3
2019-06-06,32.0,35.0,14.0,4.0,12.0
2019-06-04,26.0,37.0,15.0,5.0,12.0
2019-06-02,30.0,34.0,13.0,6.0,13.0
2019-05-31,29.5,34.3,16.4,4.4,11.5
2019-05-30,33.0,33.0,12.0,5.0,13.0
2019-05-30,33.0,32.0,16.0,3.0,12.0
2019-05-24,29.2,34.8,15.6,4.7,11.5
2019-05-17,30.6,35.9,14.2,4.0,11.1
2019-05-10,29.7,35.4,15.0,4.4,11.3
2019-05-03,31.8,34.5,15.9,4.6,9.7
2019-05-01,31.0,35.0,17.0,3.0,10.0
2019-04-30,25.0,38.0,18.0,5.0,11.0
2019-04-30,31.0,34.0,17.0,4.0,9.0
2019-04-26,32.0,34.9,16.5,4.1,9.0
2019-04-25,32.0,36.0,19.0,5.0,
2019-04-24,30.0,37.0,14.0,6.0,9.0
2019-04-22,27.0,40.0,12.0,5.0,11.0
2019-04-18,33.0,35.5,15.2,4.7,8.4
2019-04-12,34.1,35.0,14.9,4.5,8.8
2019-04-10,36.0,32.0,13.0,4.0,10.0
2019-04-06,29.0,42.0,12.0,6.0,9.0
2019-04-06,32.0,34.0,15.0,5.0,10.0
2019-04-05,32.8,34.9,16.6,4.0,9.5
2019-03-29,34.6,35.1,16.6,4.4,8.1
2019-03-27,30.0,40.0,21.0,5.0,
2019-03-25,35.0,37.4,11.6,3.1,7.9
2019-03-25,28.0,37.0,17.0,5.0,8.0
2019-03-22,32.5,34.6,19.4,3.9,8.3
2019-03-20,35.0,41.0,14.0,1.0,6.0
2019-03-20,31.0,37.0,14.0,4.0,10.0
2019-03-15,32.6,35.5,19.9,3.2,7.7
2019-03-10,32.0,34.0,16.0,4.0,11.0
2019-03-10,30.0,36.0,16.0,4.0,10.0
2019-03-09,31.0,35.0,16.0,4.0,11.0
2019-03-08,31.0,36.0,15.0,5.0,10.0
2019-03-08,32.9,36.1,17.9,3.6,8.3
2019-03-07,33.0,34.0,16.0,4.0,10.0
2019-03-06,32.0,34.0,18.0,4.0,9.0
2019-03-05,31.0,35.0,17.0,4.0,9.0
2019-03-04,36.0,32.0,13.0,5.0,9.0
2019-03-04,31.0,40.0,20.0,4.0,4.0
2019-03-04,30.0,36.0,17.0,5.0,9.0
2019-03-01,34.2,34.7,15.5,3.6,9.1
2019-02-28,33.0,42.0,12.0,3.0,5.0
2019-02-26,32.0,33.0,17.0,4.0,9.0
2019-02-24,31.0,38.0,14.0,5.0,8.0
2019-02-22,35.7,33.6,15.0,3.7,8.4
2019-02-19,34.0,36.0,12.0,5.0,8.0
2019-02-18,34.0,36.0,17.0,6.0,
2019-02-15,37.9,31.8,13.7,4.1,7.8
2019-02-11,33.0,35.0,15.0,4.0,9.0
2019-02-11,32.0,37.0,14.0,5.0,7.0
2019-02-08,37.5,34.4,13.0,3.8,7.4
2019-02-05,34.0,34.0,17.0,4.0,8.0
2019-02-01,37.6,35.9,13.2,3.1,7.9
2019-01-25,37.6,36.6,12.8,3.0,8.1
2019-01-24,38.0,32.0,12.0,5.0,8.0
2019-01-18,37.2,35.1,11.5,3.2,7.2
2019-01-18,37.2,36.1,14.2,3.2,7.4
2019-01-11,38.1,33.9,15.4,3.3,6.9
2019-01-07,36.0,33.0,15.0,5.0,8.0
2019-01-04,38.7,33.3,16.7,3.0,6.0
2018-12-28,36.8,34.4,16.1,3.4,6.4
2018-12-21,35.2,34.1,16.0,3.8,7.0
2018-12-18,35.0,34.0,17.0,4.0,7.0
2018-12-14,36.0,33.9,16.6,3.4,6.6
2018-12-13,33.0,35.0,16.0,4.0,8.0
2018-12-12,38.0,33.0,18.0,4.0,
2018-12-07,34.1,34.8,15.8,3.1,8.2
2018-11-30,37.9,32.2,14.3,3.0,7.6
2018-11-29,34.0,43.0,11.0,4.0,6.0
2018-11-23,39.6,31.5,14.5,2.4,6.9
2018-11-20,39.0,33.0,14.0,4.0,5.0
2018-11-16,39.4,28.7,17.2,2.5,7.3
2018-11-15,38.0,32.0,14.0,4.0,8.0
2018-11-13,38.0,31.0,16.0,4.0,9.0
2018-11-09,35.0,35.0,17.0,4.0,7.0
2018-11-09,39.4,27.5,19.8,2.0,6.1
2018-11-07,39.3,34.6,10.8,3.4,6.8
2018-11-02,39.6,28.1,19.3,1.9,6.9
2018-10-26,39.4,28.2,19.3,2.8,6.5
2018-10-19,39.5,29.4,16.9,3.6,7.0
2018-10-12,37.1,31.4,16.1,3.7,7.2
2018-10-10,32.0,41.0,15.0,4.0,7.0
2018-10-09,36.0,35.0,20.0,4.0,
2018-10-05,37.3,31.1,16.2,3.8,6.7
2018-10-01,38.0,31.0,15.0,5.0,7.0
2018-09-28,38.0,31.7,16.7,2.6,6.0
2018-09-21,39.0,31.2,17.0,2.4,5.5
2018-09-20,40.0,34.0,12.0,3.0,7.0
2018-09-19,38.0,34.0,17.0,3.0,7.0
2018-09-19,30.0,38.0,17.0,5.0,8.0
2018-09-14,36.0,38.0,15.0,5.0,7.0
2018-09-14,41.1,31.4,14.9,2.0,5.8
2018-09-07,39.9,32.8,14.9,2.5,6.5
2018-08-31,39.9,32.4,15.8,3.4,6.7
2018-08-25,37.0,34.0,18.0,3.0,6.0
2018-08-24,38.8,34.4,16.5,2.9,6.3
2018-08-20,37.0,33.0,18.0,3.0,8.0
2018-08-17,37.5,33.9,19.0,3.2,5.7
2018-08-12,36.0,42.0,15.0,2.0,4.0
2018-08-10,35.8,35.1,20.1,3.2,4.8
2018-08-03,36.9,36.6,17.8,2.3,5.2
2018-07-27,35.8,35.2,19.1,2.2,6.6
2018-07-26,34.9,32.1,17.3,4.0,9.3
2018-07-22,36.0,34.0,19.0,3.0,7.0
2018-07-20,35.8,35.9,19.0,2.0,6.1
2018-07-17,39.4,36.9,11.8,2.4,7.0
2018-07-16,39.0,32.0,21.0,2.0,
2018-07-13,37.3,34.5,18.4,1.8,7.1
2018-07-06,35.7,33.4,20.3,2.4,6.8
2018-06-29,33.0,37.0,21.0,3.0,
2018-06-29,36.5,33.1,20.8,2.7,5.4
2018-06-22,36.7,32.0,20.6,3.6,5.7
2018-06-18,34.0,36.0,18.0,3.0,8.0
2018-06-15,32.0,36.0,20.0,5.0,
2018-06-15,36.9,32.5,19.9,4.1,5.1
2018-06-14,36.0,32.0,16.0,4.0,9.0
2018-06-08,35.3,33.0,22.0,4.1,4.8
2018-06-01,34.1,34.0,21.2,4.4,5.4
2018-05-31,31.0,44.0,17.0,2.0,5.0
2018-05-25,33.0,36.0,19.8,4.0,6.4
2018-05-18,35.1,34.0,20.1,3.6,5.9
2018-05-16,30.0,46.0,18.0,2.0,4.0
2018-05-14,35.0,38.0,15.0,4.0,7.0
2018-05-11,36.1,34.4,18.5,3.7,6.0
2018-05-10,39.0,36.0,15.0,2.0,
2018-05-04,38.0,33.2,17.6,4.2,5.4
2018-05-02,35.0,38.0,16.0,4.0,6.0
2018-04-30,36.0,35.0,20.0,3.0,
2018-04-27,39.2,30.6,18.2,4.4,5.9
2018-04-20,30.0,43.0,14.0,4.0,8.0
2018-04-20,38.2,31.6,17.9,3.7,7.0
2018-04-18,40.4,37.1,11.9,2.6,5.9
2018-04-13,41.1,29.2,15.8,3.8,8.2
2018-04-06,38.2,32.9,17.2,3.0,7.0
2018-03-29,39.1,33.7,16.4,2.4,6.5
2018-03-23,31.0,38.0,23.0,3.0,
2018-03-23,38.1,34.7,16.8,3.1,5.5
2018-03-16,35.9,34.8,18.5,3.5,6.2
2018-03-15,30.0,40.0,19.0,4.0,6.0
2018-03-09,35.8,33.1,19.3,4.5,6.7
2018-03-08,38.0,38.0,14.0,3.0,5.0
2018-03-04,36.0,33.0,18.0,3.0,8.0
2018-03-02,36.5,32.7,19.0,4.0,7.1
2018-03-01,33.0,38.0,21.0,3.0,
2018-03-01,34.0,46.0,14.0,2.0,3.0
