Date,LPC,PC,NDP
1968-06-01,47.0,29.0,18.0
1968-05-25,46.0,29.0,15.0
1968-05-01,50.0,29.0,16.0
1968-03-01,42.0,34.0,16.0
1968-01-01,32.0,38.0,18.0
1967-10-01,34.0,43.0,17.0
1967-08-01,41.0,30.0,18.0
1967-05-01,36.0,29.0,26.0
1967-02-01,37.0,25.0,28.0
1966-11-01,38.0,26.0,26.0
1966-09-01,37.0,32.0,21.0
1966-07-01,38.0,30.0,20.0
1966-04-01,41.0,30.0,19.0
1966-01-01,44.0,28.0,21.0
1965-11-08,40.18,32.41,17.91
