Date,CPC,LPC,NDP,BQ,GPC,PPC
2021-08-28,37.8,28.3,19.4,6.9,2.2,4.9
2021-08-28,36.7,29.1,17.7,5.5,3.7,6.5
2021-08-27,33.3,30.8,21.7,5.3,4.9,3.8
2021-08-27,37.4,29.3,19.6,6.2,2.4,4.5
2021-08-27,34.8,28.5,19.8,5.5,3.8,6.8
2021-08-26,33.6,33.4,19.9,5.3,4.6,3.1
2021-08-26,36.8,31.4,18.5,5.4,2.6,4.3
2021-08-26,34.5,29.0,20.3,5.1,4.2,6.3
2021-08-25,34.4,33.6,18.9,5.3,4.3,3.1
2021-08-25,34.7,31.8,19.1,5.4,3.1,4.6
2021-08-25,32.8,29.4,20.7,6.0,3.8,6.7
2021-08-24,32.7,35.9,16.8,5.6,4.8,3.7
2021-08-24,33.7,31.2,19.0,6.0,3.1,5.8
2021-08-24,32.2,31.4,20.5,5.7,3.5,5.7
2021-08-23,33.2,33.5,18.9,5.4,4.7,3.6
2021-08-23,32.3,30.0,19.0,7.0,3.3,7.4
2021-08-23,32.8,32.0,19.6,6.2,3.5,5.0
2021-08-23,32.0,33.0,21.0,6.0,5.0,2.0
2021-08-23,31.0,33.0,22.0,7.0,3.0,3.0
2021-08-22,30.0,33.0,21.0,7.0,4.0,3.0
2021-08-22,31.0,33.0,21.0,7.0,4.0,3.0
2021-08-22,31.4,32.5,20.8,6.1,5.1,3.3
2021-08-22,31.7,32.4,18.2,5.9,3.3,6.6
2021-08-22,31.7,32.9,17.0,6.9,4.3,6.3
2021-08-22,29.0,33.0,23.0,6.0,3.0,4.0
2021-08-21,32.4,34.3,19.3,6.3,4.5,2.4
2021-08-21,30.9,34.0,19.7,5.9,3.4,5.1
2021-08-21,32.8,32.4,16.6,6.1,5.2,6.1
2021-08-20,32.3,34.2,20.2,6.1,4.3,2.1
2021-08-20,32.9,31.4,18.3,6.2,4.9,5.7
2021-08-20,32.6,33.9,19.3,4.9,3.7,4.4
2021-08-19,31.9,32.5,19.2,5.7,4.9,5.2
2021-08-19,33.1,33.4,19.8,5.0,3.6,4.0
2021-08-18,28.5,30.3,21.7,7.8,4.8,4.3
2021-08-18,32.0,33.3,20.1,5.5,4.5,3.9
2021-08-18,33.0,33.6,18.4,5.5,4.0,4.5
2021-08-17,30.6,34.3,21.0,5.4,4.2,3.7
2021-08-17,31.7,33.8,18.9,6.1,3.9,4.5
2021-08-17,30.0,36.0,20.0,6.0,4.0,4.0
2021-08-16,29.4,33.7,20.5,5.4,5.7,4.2
2021-08-16,30.0,33.0,20.0,6.0,4.0,5.0
2021-08-16,31.0,36.0,20.0,6.0,5.0,1.0
2021-08-16,26.0,38.0,21.0,6.0,4.0,3.0
2021-08-16,28.0,33.0,22.0,7.0,5.0,3.0
2021-08-15,31.0,28.0,19.0,7.0,8.0,5.0
2021-08-15,29.0,35.0,20.0,7.0,6.0,2.0
2021-08-15,30.3,34.8,17.4,4.2,6.9,5.1
2021-08-15,30.0,35.0,20.0,7.0,5.0,2.0
2021-08-15,30.1,33.1,19.1,5.9,3.9,5.6
2021-08-13,28.4,33.4,20.7,6.3,7.9,1.9
2021-08-12,30.0,35.0,19.0,7.0,5.0,3.0
2021-08-11,29.2,34.6,17.9,5.7,5.3,
2021-08-11,25.0,40.0,17.0,7.0,6.0,
2021-08-11,28.0,37.0,20.0,5.0,5.0,4.0
2021-08-10,31.0,36.0,19.0,7.0,3.0,
2021-08-10,27.7,36.3,18.6,5.3,6.8,4.6
2021-08-06,27.3,37.0,19.0,5.8,7.0,2.2
2021-08-04,25.0,39.0,19.0,7.0,6.0,3.0
2021-08-03,30.0,35.0,19.0,7.0,3.0,
2021-08-02,25.0,37.0,20.0,8.0,6.0,
2021-08-01,29.0,36.0,20.0,7.0,4.0,3.0
2021-07-30,25.5,38.8,19.5,5.9,6.4,2.6
2021-07-28,28.6,39.0,17.9,,4.2,
2021-07-27,30.0,33.0,21.0,7.0,4.0,
2021-07-26,31.7,34.4,16.2,5.1,4.7,
2021-07-23,25.0,37.3,21.4,6.0,5.5,3.5
2021-07-21,27.0,41.0,17.0,6.0,5.0,3.0
2021-07-21,27.7,35.2,18.5,5.6,5.2,4.5
2021-07-20,30.0,36.0,20.0,7.0,3.0,2.0
2021-07-16,31.0,33.0,20.0,7.0,3.0,4.0
2021-07-16,23.6,39.3,21.7,4.8,6.8,3.0
2021-07-09,23.9,37.8,21.3,,6.5,
2021-07-04,30.0,33.0,19.0,7.0,5.0,4.0
2021-07-02,23.6,38.1,20.4,5.1,7.5,4.3
2021-06-30,25.0,37.0,20.0,7.0,6.0,3.0
2021-06-25,24.7,37.1,19.3,5.8,7.9,4.1
2021-06-22,26.0,38.0,20.0,8.0,7.0,1.0
2021-06-21,27.0,37.0,18.0,9.0,5.0,3.0
2021-06-20,30.0,34.0,20.0,8.0,5.0,
2021-06-18,25.4,37.4,18.2,7.0,6.5,4.2
2021-06-16,29.0,34.0,21.0,8.0,6.0,1.0
2021-06-14,30.0,38.0,20.0,5.0,5.0,1.0
2021-06-14,27.3,37.7,17.2,5.0,5.9,
2021-06-14,26.2,35.0,17.3,6.6,8.3,3.9
2021-06-11,26.4,37.5,17.5,7.4,7.0,3.6
2021-06-08,26.0,37.0,17.0,7.0,8.0,
2021-06-07,30.0,33.0,21.0,6.0,4.0,
2021-06-06,29.0,32.0,22.0,6.0,6.0,
2021-06-04,27.6,31.9,17.9,7.7,6.9,4.2
2021-06-04,27.3,38.0,17.1,6.6,6.1,3.9
2021-05-31,27.0,38.0,15.0,8.0,8.0,4.0
2021-05-28,31.0,34.0,17.0,7.0,7.0,2.0
2021-05-28,27.3,38.2,17.0,7.7,6.1,3.1
2021-05-27,27.8,35.4,17.9,5.6,7.0,4.0
2021-05-23,30.0,34.0,19.0,7.0,7.0,
2021-05-23,31.4,37.2,13.3,5.2,6.9,
2021-05-21,28.7,36.9,16.1,7.2,7.0,3.6
2021-05-17,32.0,34.0,18.0,7.0,5.0,
2021-05-16,31.0,32.0,19.0,7.0,8.0,
2021-05-14,29.0,38.0,21.0,6.0,5.0,1.0
2021-05-14,28.4,36.9,16.7,7.5,6.3,3.5
2021-05-12,32.0,34.0,17.0,6.0,7.0,3.0
2021-05-09,30.0,33.0,19.0,7.0,7.0,
2021-05-07,29.5,35.2,16.6,8.5,6.8,2.8
2021-05-06,26.1,36.0,19.7,4.0,7.1,4.9
2021-05-05,27.0,40.0,18.0,4.0,7.0,3.0
2021-04-30,31.1,35.2,16.5,7.3,7.2,2.0
2021-04-28,29.7,34.6,16.9,,7.4,
2021-04-25,28.0,34.0,20.0,7.0,7.0,
2021-04-25,32.0,34.0,20.0,7.0,5.0,
2021-04-25,29.0,36.0,17.0,7.0,7.0,2.0
2021-04-23,28.8,36.3,18.1,7.2,7.2,1.9
2021-04-21,30.0,35.0,19.0,6.0,6.0,
2021-04-21,27.0,38.0,19.0,7.0,7.0,
2021-04-21,28.0,39.0,16.0,7.0,7.0,
2021-04-18,29.6,36.8,14.9,5.8,6.6,
