Date,LPC,CA,PC,BQ,NDP
2000-11-25,43.0,25.0,11.0,10.0,9.0
2000-11-23,39.0,27.0,12.0,10.0,10.0
2000-11-23,41.0,25.0,12.0,10.0,9.0
2000-11-23,41.0,27.0,14.0,7.0,8.0
2000-11-23,43.0,25.0,11.0,10.0,9.0
2000-11-23,41.0,25.0,12.0,10.0,9.0
2000-11-22,43.0,25.0,11.0,9.0,9.0
2000-11-22,45.0,24.0,13.0,10.0,7.0
2000-11-21,39.0,24.0,12.0,13.0,10.0
2000-11-21,39.0,27.0,12.0,11.0,9.0
2000-11-16,46.0,25.0,10.0,10.0,9.0
2000-11-15,43.0,26.0,10.0,10.0,9.0
2000-11-14,46.0,23.0,10.0,11.0,9.0
2000-11-14,45.0,25.0,10.0,10.0,8.0
2000-11-11,43.0,27.0,8.0,11.0,10.0
2000-11-10,43.0,24.0,8.0,12.0,8.0
2000-11-07,44.0,26.0,8.0,11.0,10.0
2000-11-06,48.0,26.0,8.0,9.0,8.0
2000-11-02,42.0,29.0,8.0,10.0,9.0
2000-10-30,45.0,29.0,7.0,10.0,7.0
2000-10-26,47.0,28.0,8.0,9.0,7.0
2000-10-26,44.0,24.0,10.0,9.0,10.0
2000-10-25,44.0,27.0,8.0,10.0,8.0
2000-10-25,45.0,28.0,8.0,9.0,8.0
2000-10-23,48.0,23.0,10.0,10.0,9.0
2000-10-22,48.0,21.0,8.0,10.0,8.0
2000-10-16,44.0,25.0,9.0,10.0,10.0
2000-10-12,52.0,20.0,8.0,10.0,8.0
2000-10-12,45.0,26.0,7.0,11.0,11.0
2000-10-07,50.0,19.0,11.0,9.0,8.0
2000-09-27,44.0,25.0,9.0,10.0,9.0
2000-09-27,47.0,24.0,10.0,9.0,9.0
2000-08-24,46.0,22.0,10.0,10.0,10.0
2000-08-12,43.0,25.0,10.0,11.0,10.0
2000-08-06,47.0,23.0,10.0,9.0,11.0
2000-07-28,50.0,20.0,12.0,9.0,9.0
2000-07-26,45.0,24.0,10.0,10.0,11.0
2000-07-17,48.0,18.0,13.0,9.0,9.0
2000-07-16,44.0,21.0,12.0,8.0,14.0
2000-05-25,47.0,18.0,14.0,10.0,10.0
2000-05-15,49.0,19.0,9.0,10.0,11.0
2000-05-08,52.0,17.0,11.0,9.0,9.0
2000-03-06,47.0,14.0,13.0,11.0,12.0
2000-02-02,46.0,12.0,15.0,9.0,12.0
2000-01-11,57.0,11.0,13.0,7.0,10.0
1999-11-22,54.0,9.0,20.0,7.0,10.0
1999-11-01,50.0,12.0,13.0,13.0,10.0
1999-08-21,50.0,9.0,20.0,10.0,9.0
1999-07-19,52.0,7.0,23.0,9.0,7.0
1999-08-02,48.0,12.0,16.0,10.0,12.0
1999-06-19,53.0,8.0,20.0,9.0,9.0
1999-05-30,47.0,12.0,18.0,11.0,12.0
1999-04-18,54.0,10.0,15.0,9.0,10.0
1999-01-25,56.0,10.0,13.0,9.0,10.0
1999-01-25,49.0,10.0,11.0,8.0,8.0
1999-01-03,49.0,12.0,12.0,,13.0
1998-11-01,47.0,14.0,17.0,10.0,11.0
1998-10-25,49.0,13.0,13.0,,12.0
1998-10-21,58.0,11.0,16.0,6.0,7.0
1998-09-24,47.0,14.0,13.0,12.0,11.0
1998-08-03,60.0,12.0,12.0,,
1998-07-16,49.0,14.0,13.0,,13.0
1998-06-23,49.0,14.0,15.0,10.0,11.0
1998-03-24,58.0,14.0,14.0,7.0,6.0
1998-01-27,55.0,14.0,13.0,9.0,8.0
1998-01-26,47.0,16.0,15.0,10.0,10.0
1997-12-15,51.0,13.0,16.0,8.0,10.0
1997-11-25,47.0,16.0,14.0,11.0,11.0
1997-09-23,48.0,15.0,15.0,8.0,13.0
1997-08-28,53.0,13.0,16.0,8.0,8.0
1997-07-30,45.0,17.0,14.0,9.0,14.0
1997-06-02,38.46,19.35,18.84,10.67,11.05
