Date,PC,LPC,NDP
1988-11-19,40.0,35.0,22.0
1988-11-18,43.0,32.0,20.0
1988-11-17,41.0,33.0,23.0
1988-11-12,35.0,35.0,26.0
1988-11-08,38.0,38.0,21.0
1988-11-08,39.0,35.0,24.0
1988-11-08,35.0,37.0,24.0
1988-11-05,31.0,43.0,22.0
1988-11-03,37.0,40.0,20.0
1988-10-30,31.0,37.0,26.0
1988-11-03,35.0,39.0,23.0
1988-10-29,38.0,32.0,27.0
1988-10-27,35.0,35.0,28.0
1988-10-26,32.0,32.0,28.0
1988-10-15,39.0,29.0,28.0
1988-10-10,42.0,25.0,29.0
1988-10-03,45.0,26.0,27.0
1988-10-03,43.0,33.0,22.0
1988-09-10,37.0,33.0,27.0
1988-08-06,34.0,35.0,30.0
1988-07-26,34.0,38.0,26.0
1988-07-25,35.0,34.0,28.0
1988-07-11,35.0,37.0,27.0
1988-06-27,31.0,37.0,30.0
1988-06-21,33.0,34.0,31.0
1988-06-04,31.0,39.0,29.0
1988-05-18,31.0,37.0,30.0
1988-05-07,28.0,39.0,31.0
1988-04-09,31.0,38.0,30.0
1988-03-24,29.0,40.0,30.0
1988-03-21,34.0,30.0,34.0
1988-03-05,28.0,37.0,33.0
1988-02-23,32.0,33.0,33.0
1988-02-06,27.0,41.0,31.0
1988-01-09,30.0,36.0,31.0
1987-12-05,29.0,35.0,34.0
1987-12-04,30.0,37.0,32.0
1987-11-07,25.0,40.0,33.0
1987-10-10,23.0,38.0,38.0
1987-09-05,25.0,36.0,37.0
1987-08-08,25.0,36.0,37.0
1987-07-11,23.0,35.0,41.0
1987-06-24,26.0,32.0,40.0
1987-06-10,26.0,36.0,37.0
1987-06-06,24.0,39.0,35.0
1987-05-25,22.0,38.0,38.0
1987-05-11,25.0,36.0,37.0
1987-05-09,26.0,42.0,30.0
1987-04-11,24.0,42.0,32.0
1987-03-14,24.0,41.0,34.0
1987-03-06,23.0,42.0,33.0
1987-02-14,22.0,44.0,32.0
1987-01-10,28.0,41.0,30.0
1986-12-06,30.0,45.0,25.0
1986-11-08,31.0,39.0,29.0
1986-10-04,31.0,38.0,29.0
1986-09-13,35.0,36.0,28.0
1986-08-16,33.0,41.0,24.0
1986-08-09,31.0,35.0,33.0
1986-07-05,36.0,41.0,21.0
1986-06-24,31.0,38.0,27.0
1986-06-15,36.0,39.0,24.0
1986-06-07,32.0,40.0,27.0
1986-05-13,38.0,36.0,24.0
1986-05-03,32.0,40.0,27.0
1986-04-05,37.0,40.0,21.0
1986-03-15,41.0,34.0,25.0
1986-02-08,36.0,41.0,23.0
1985-12-07,37.0,38.0,24.0
1985-11-09,40.0,36.0,24.0
1985-10-05,43.0,35.0,22.0
1985-09-07,48.0,29.0,22.0
1985-08-27,46.0,29.0,21.0
1985-08-10,46.0,32.0,20.0
1985-07-13,40.0,33.0,26.0
1985-06-08,44.0,33.0,21.0
1985-05-18,45.0,31.0,22.0
1985-04-06,54.0,24.0,21.0
1985-02-23,56.0,26.0,17.0
1985-02-02,53.0,25.0,21.0
1985-01-05,53.0,25.0,21.0
1984-12-08,54.0,24.0,20.0
1984-11-30,57.0,22.0,20.0
1984-11-03,55.0,23.0,20.0
1984-10-13,60.0,21.0,17.0
1984-09-04,50.03,28.02,18.81
