Date,LPC,PC,NDP
1974-07-02,42.0,35.0,17.0
1974-06-15,42.0,34.0,18.0
1974-05-08,40.0,33.0,21.0
1974-03-01,39.0,35.0,18.0
1974-01-08,42.0,31.0,21.0
1973-11-01,43.0,33.0,18.0
1973-09-01,35.0,35.0,20.0
1973-07-01,41.0,30.0,19.0
1973-05-01,42.0,34.0,16.0
1973-03-01,40.0,30.0,20.0
1973-01-01,39.0,36.0,16.0
1972-10-30,38.42,35.02,17.83
