Date,PC,LPC,NDP
1984-08-01,51.0,26.0,21.0
1984-08-29,50.0,28.0,19.0
1984-08-29,51.0,26.0,21.0
1984-08-26,50.0,27.0,21.0
1984-08-22,56.5,27.0,15.0
1984-08-19,49.0,32.0,18.0
1984-08-13,46.0,32.0,18.0
1984-08-12,49.0,32.0,18.0
1984-08-07,51.0,32.0,16.0
1984-08-01,45.0,36.0,17.0
1984-07-31,45.0,36.0,17.0
1984-07-12,42.5,45.0,9.5
1984-07-08,39.0,49.0,11.0
1984-07-07,39.0,48.0,11.0
1984-06-01,39.0,49.0,10.0
1984-05-08,45.0,43.5,9.5
1984-05-04,46.0,41.0,11.0
1984-04-01,46.0,41.0,11.0
1984-04-01,40.0,46.0,13.0
1984-03-16,50.0,38.0,11.0
1984-03-01,50.0,38.0,11.0
1984-02-01,48.0,36.0,13.0
1983-12-05,51.0,36.0,12.0
1983-12-03,53.0,30.0,15.0
1983-11-01,51.0,36.0,12.0
1983-10-27,56.0,27.0,16.0
1983-09-01,55.0,33.0,10.0
1983-09-01,53.0,30.0,16.0
1983-09-01,62.0,23.0,14.0
1983-06-01,54.0,32.0,14.0
1983-04-01,52.0,31.0,16.0
1983-02-01,47.0,32.0,19.0
1982-11-01,48.0,33.0,18.0
1982-09-01,48.0,29.0,21.0
1982-07-05,47.0,28.0,23.0
1982-06-01,44.0,26.0,26.0
1982-06-01,43.0,32.0,23.0
1982-05-01,44.0,33.0,21.0
1982-04-01,42.0,31.0,25.0
1982-04-01,39.0,34.0,24.0
1982-03-01,42.0,31.0,24.0
1982-02-01,38.0,33.0,27.0
1982-02-01,36.0,35.0,26.0
1982-01-09,40.0,38.0,20.0
1981-12-01,39.0,35.0,22.0
1981-11-01,39.0,35.0,24.0
1981-11-01,42.0,38.0,18.0
1981-10-01,40.0,40.0,20.0
1981-09-01,41.0,33.0,23.0
1981-09-01,39.0,38.0,20.0
1981-08-01,39.0,42.0,16.0
1981-06-01,39.0,37.0,22.0
1981-05-09,37.0,42.0,18.0
1981-05-04,39.0,42.0,16.0
1981-04-01,34.0,47.0,18.0
1981-04-01,37.0,43.0,19.0
1981-03-01,35.0,46.0,18.0
1981-02-01,37.0,42.0,19.0
1981-02-01,37.0,42.0,19.0
1981-01-01,34.0,40.0,23.0
1980-12-01,34.0,44.0,20.0
1980-11-01,31.0,45.0,22.0
1980-11-01,35.0,45.0,18.0
1980-09-01,32.0,50.0,14.0
1980-06-01,32.0,47.0,29.0
1980-04-01,30.0,46.0,21.0
1980-02-18,32.45,44.34,19.77
