Date,HDZ,SDP,DP,Most,Možemo!,RF,Centar,Fokus,KH,HNS,IDS,HSS,HSU,HS,SD,Others
2024-03-25,33.94077448747152,22.09567198177676,8.997722095671982,8.656036446469246,7.97266514806378,,,,,,,,,,,18.337129840546694
2024-03-20,31.839080459770113,24.827586206896555,8.85057471264368,8.160919540229884,10.344827586206897,1.1494252873563218,1.3793103448275863,1.2643678160919543,,1.3793103448275863,1.2643678160919543,1.2643678160919543,1.2643678160919543,,,7.011494252873563
2024-03-17,30.299667036625973,25.083240843507216,8.768035516093232,9.65593784683685,9.65593784683685,,,,,,,,,,,16.53718091009989
2024-03-10,31.585220500595945,21.33492252681764,9.177592371871276,9.415971394517282,9.296781883194278,1.1918951132300357,2.2646007151370675,1.1918951132300357,,1.3110846245530394,1.5494636471990464,1.6686531585220499,1.3110846245530394,,,8.70083432657926
2024-02-23,35.30135301353013,17.097170971709716,8.487084870848708,8.610086100861007,9.348093480934807,,,,,,,,,,,21.15621156211562
2024-02-20,30.619684082624538,21.02065613608748,10.328068043742404,10.571081409477518,9.842041312272173,,1.4580801944106925,1.215066828675577,,1.4580801944106925,1.336573511543135,1.7010935601458075,1.336573511543135,,,9.113001215066827
2024-02-04,31.527093596059114,19.704433497536943,10.344827586206897,11.206896551724137,10.960591133004927,1.231527093596059,1.8472906403940885,1.231527093596059,,,1.600985221674877,1.354679802955665,,,,8.990147783251231
2024-01-27,31.8407960199005,19.65174129353234,9.82587064676617,10.07462686567164,10.323383084577115,1.3681592039800996,2.36318407960199,1.9900497512437811,,1.4925373134328357,1.3681592039800996,1.616915422885572,1.243781094527363,,1.3681592039800996,5.472636815920398
2024-01-25,35.749385749385745,16.584766584766584,9.336609336609335,8.108108108108107,8.230958230958231,,,,,,,,,,,21.990171990171987
2024-01-10,31.779141104294478,19.386503067484664,9.570552147239264,10.30674846625767,10.67484662576687,1.2269938650306749,1.7177914110429446,1.8404907975460123,,1.4723926380368098,1.4723926380368098,1.5950920245398774,1.2269938650306749,1.2269938650306749,1.3496932515337425,5.153374233128835
2023-12-22,35.118306351183065,16.064757160647574,10.460772104607722,9.339975093399751,8.468244084682441,,,,,1.6189290161892904,,2.7397260273972606,3.4869240348692405,,1.6189290161892904,11.083437110834373
2023-12-10,30.78817733990148,19.088669950738915,9.729064039408868,9.482758620689655,11.330049261083742,2.0935960591133003,2.3399014778325125,1.7241379310344827,,1.477832512315271,1.354679802955665,1.600985221674877,1.231527093596059,1.354679802955665,1.231527093596059,5.172413793103448
2023-11-24,35.97560975609756,15.365853658536585,9.634146341463415,9.878048780487804,9.634146341463415,,,,,1.8292682926829267,,1.3414634146341464,1.951219512195122,,,14.390243902439027
2023-11-20,30.619684082624545,18.712029161603887,10.085054678007292,8.50546780072904,12.029161603888214,1.8226002430133659,2.4301336573511545,1.8226002430133659,1.2150668286755772,1.4580801944106925,1.4580801944106925,1.5795868772782506,,1.336573511543135,,6.925880923450791
2023-11-12,30.372148859543813,18.24729891956782,10.084033613445378,8.883553421368546,13.205282112845138,2.0408163265306123,2.160864345738295,1.6806722689075626,,1.4405762304921967,1.2004801920768307,1.5606242496998797,,1.2004801920768307,1.3205282112845136,6.602641056422569
2023-10-25,35.73141486810552,16.06714628297362,9.232613908872901,11.031175059952037,9.832134292565947,,,,,1.5587529976019185,,2.0383693045563547,2.7577937649880093,,,11.750599520383693
2023-10-20,30.741626794258377,18.89952153110048,8.732057416267942,9.44976076555024,13.038277511961724,2.272727272727273,2.3923444976076556,1.5550239234449763,1.1961722488038278,1.4354066985645932,1.1961722488038278,1.674641148325359,,,,7.416267942583733
2023-10-08,30.65868263473054,18.682634730538922,8.982035928143713,9.820359281437124,13.652694610778443,2.155688622754491,2.035928143712575,1.1976047904191618,,1.317365269461078,,1.6766467065868262,,,1.437125748502994,8.383233532934131
2023-09-25,35.98074608904934,14.921780986762936,7.821901323706379,10.709987966305656,10.830324909747294,,,,,1.9253910950661854,2.406738868832732,1.444043321299639,1.684717208182912,,,12.274368231046932
2023-09-20,30.65868263473054,18.562874251497004,8.862275449101798,9.940119760479043,13.41317365269461,1.317365269461078,2.155688622754491,1.5568862275449102,1.317365269461078,1.437125748502994,1.1976047904191618,1.6766467065868262,,,,7.904191616766466
2023-09-10,30.56558363417569,18.65222623345367,9.386281588447654,10.348977135980746,13.237063778580024,1.444043321299639,2.7677496991576414,1.3237063778580025,,1.3237063778580025,1.203369434416366,1.5643802647412757,,1.203369434416366,,6.979542719614922
2023-08-25,33.57400722021661,13.838748495788208,7.821901323706379,10.469314079422382,12.515042117930205,,,,,1.3237063778580025,3.369434416365824,2.0457280385078223,2.5270758122743686,,1.9253910950661854,10.58965102286402
2023-08-06,30.215827338129493,17.62589928057554,9.232613908872901,10.551558752997602,13.429256594724217,1.6786570743405271,2.9976019184652274,1.1990407673860912,,,1.1990407673860912,1.6786570743405271,,,1.4388489208633093,8.752997601918464
2023-07-25,34.751773049645394,12.647754137115838,8.39243498817967,9.456264775413713,12.529550827423169,,,,,1.8912529550827426,2.0094562647754137,2.8368794326241136,3.0732860520094567,1.6548463356973995,,10.756501182033098
2023-07-09,30.61224489795918,20.048019207683073,9.00360144057623,10.20408163265306,11.644657863145255,1.6806722689075626,3.361344537815125,1.4405762304921967,,,1.3205282112845136,1.800720288115246,,1.5606242496998797,,7.322929171668665
