Date,Lab,Con,Ref,Lib Dem,Green
2025-07-14,-0.42857142857142855,-0.5333333333333333,-0.2808988764044944,-0.08641975308641975,0.0
2025-07-14,-0.5064935064935064,-0.5151515151515151,,,
2025-07-07,-0.49333333333333335,-0.5806451612903226,,,
2025-07-06,-0.325,-0.3157894736842105,-0.05128205128205128,-0.01639344262295082,-0.01694915254237288
2025-07-03,-0.5733333333333334,-0.43333333333333335,,,
2025-06-30,-0.42857142857142855,-0.5454545454545454,,,
2025-06-27,-0.125,-0.04,-0.013333333333333334,0.11864406779661017,0.01639344262295082
2025-06-23,-0.44,-0.5757575757575758,,,
2025-06-16,-0.32608695652173914,-0.4888888888888889,-0.26666666666666666,-0.024390243902439025,0.0
2025-06-16,-0.31645569620253167,-0.44,-0.15384615384615385,-0.16129032258064516,-0.08196721311475409
2025-06-16,-0.45454545454545453,-0.5757575757575758,,,
2025-06-11,-0.13580246913580246,-0.02631578947368421,0.04,0.030303030303030304,-0.046153846153846156
2025-06-09,-0.52,-0.6060606060606061,,,
2025-06-08,-0.35802469135802467,-0.3157894736842105,0.012658227848101266,0.08196721311475409,0.15625
2025-06-02,-0.44,-0.582089552238806,,,
2025-05-19,-0.5384615384615384,-0.5522388059701493,,,
2025-05-14,-0.42857142857142855,-0.5333333333333333,-0.21348314606741572,-0.06172839506172839,-0.012345679012345678
2025-05-13,-0.2987012987012987,-0.47368421052631576,-0.1794871794871795,-0.07936507936507936,0.01639344262295082
2025-05-12,-0.4473684210526316,-0.5692307692307692,,,
2025-05-05,-0.30434782608695654,-0.4725274725274725,-0.16853932584269662,-0.3181818181818182,-0.3563218390804598
2025-05-04,-0.5064935064935064,-0.5757575757575758,,,
2025-04-27,-0.41025641025641024,-0.4603174603174603,,,
2025-04-21,-0.45454545454545453,-0.5692307692307692,,,
2025-04-14,-0.35555555555555557,-0.4725274725274725,-0.36363636363636365,-0.12195121951219512,0.0
2025-04-14,-0.4594594594594595,-0.48484848484848486,,,
2025-04-07,-0.49333333333333335,-0.4838709677419355,,,
2025-03-31,-0.5189873417721519,-0.47540983606557374,,,
2025-03-24,-0.46153846153846156,-0.5076923076923077,,,
2025-03-17,-0.2967032967032967,-0.45054945054945056,-0.3563218390804598,-0.12195121951219512,0.024390243902439025
2025-03-17,-0.22666666666666666,-0.3698630136986301,-0.2631578947368421,-0.1864406779661017,-0.13793103448275862
2025-03-17,-0.34177215189873417,-0.49206349206349204,,,
2025-03-11,-0.32608695652173914,-0.45652173913043476,-0.3563218390804598,-0.06172839506172839,-0.025
2025-03-10,-0.40540540540540543,-0.53125,,,
2025-03-05,-0.30434782608695654,-0.4782608695652174,-0.3707865168539326,-0.0975609756097561,-0.012345679012345678
2025-03-03,-0.43243243243243246,,,,
2025-02-24,-0.52,,,,
2025-02-18,-0.5263157894736842,-0.5625,,,
2025-02-17,-0.3763440860215054,-0.4782608695652174,-0.2727272727272727,-0.13924050632911392,0.0379746835443038
2025-02-11,-0.3684210526315789,-0.4722222222222222,-0.1891891891891892,-0.20689655172413793,-0.0847457627118644
2025-02-10,-0.46153846153846156,-0.5223880597014925,,,
2025-02-03,-0.4520547945205479,-0.4838709677419355,,,
2025-01-29,-0.16049382716049382,-0.1282051282051282,-0.10810810810810811,-0.03333333333333333,-0.015384615384615385
2025-01-27,-0.5142857142857142,-0.53125,,,
2025-01-20,-0.45454545454545453,-0.5076923076923077,,,
2025-01-13,-0.26582278481012656,-0.4805194805194805,-0.2894736842105263,-0.07142857142857142,-0.017543859649122806
2024-12-16,-0.1282051282051282,-0.06493506493506493,-0.05555555555555555,-0.017543859649122806,-0.08196721311475409
2024-12-13,-0.38461538461538464,-0.4725274725274725,-0.37209302325581395,,
2024-12-10,-0.47368421052631576,-0.4375,,,
2024-11-11,-0.38235294117647056,-0.4576271186440678,,-0.15,
2024-11-10,-0.34065934065934067,-0.45652173913043476,-0.38823529411764707,-0.05,0.025
2024-10-10,-0.36,-0.5522388059701493,,,
2024-10-07,-0.36,-0.5588235294117647,,,
2024-09-22,-0.2967032967032967,-0.4725274725274725,-0.4090909090909091,-0.0975609756097561,-0.024390243902439025
2024-08-27,-0.2857142857142857,-0.5833333333333334,,,
2024-08-06,-0.15217391304347827,-0.5053763440860215,,,
2024-07-08,0.010752688172043012,-0.5483870967741935,-0.37777777777777777,0.0975609756097561,0.09523809523809523
2024-07-06,0.08108108108108109,-0.4936708860759494,-0.34210526315789475,0.017543859649122806,0.08196721311475409
