Date,Lab,Con,Reform,Lib Dem,Green,SNP,PC
2025-06-08,21.0,21.0,32.0,14.0,8.0,2.0,
2025-05-11,22.0,19.0,32.0,15.0,8.0,3.0,
2025-04-06,22.0,27.0,28.0,14.0,5.0,2.0,
2025-03-02,24.0,23.0,27.0,15.0,7.0,3.0,
2025-02-02,29.0,28.0,22.0,9.0,7.0,3.0,
2025-01-06,28.0,29.0,23.0,12.0,5.0,3.0,
