Date,Lab,Con,Reform,Lib Dem,Green,SNP,PC
2025-06-02,24.0,20.0,27.0,13.0,8.0,2.0,2.0
2025-05-05,25.0,18.0,30.0,13.0,7.0,3.0,1.0
2025-05-02,26.0,22.0,26.0,12.0,7.0,3.0,0.0
2025-01-29,27.0,22.0,24.0,13.0,8.0,3.0,
2024-12-16,30.0,25.0,20.0,11.0,7.0,2.0,1.0
