Date,Labor,LNP
2024-09-29,44.0,56.0
2024-09-18,45.0,55.0
2024-09-01,41.5,58.5
2024-08-29,43.0,57.0
2024-08-01,45.5,54.5
2024-07-15,43.0,57.0
2024-05-01,43.0,57.0
2024-05-01,44.5,55.5
2024-04-17,44.0,56.0
2024-03-13,46.0,54.0
2024-02-13,50.0,50.0
2023-12-26,49.0,51.0
2023-12-13,48.0,52.0
2023-12-01,49.5,50.5
2023-10-10,48.0,52.0
2023-09-06,45.0,55.0
2023-08-01,48.0,52.0
2023-07-02,49.0,51.0
2023-04-17,52.5,47.5
2023-04-05,49.0,51.0
2022-12-08,50.0,50.0
2022-12-04,53.2,46.8
2022-06-30,50.0,50.0
2022-02-23,52.0,48.0
2020-10-31,53.2,46.8
