Date,CSX,A,IV,PTD,SUE,Libertà,A-IV,CDX
2025-07-14,0.4631463146314631,0.03960396039603961,,,,,,0.49724972497249725
2025-07-14,0.45896328293736505,0.03779697624190065,,,,,,0.5032397408207344
2025-07-07,0.45720476706392194,0.0400866738894908,,,,,,0.5027085590465872
2025-07-03,0.4540420819490587,0.03322259136212625,,,,,,0.512735326688815
2025-06-30,0.45297297297297295,0.04108108108108108,,,,,,0.5059459459459459
2025-06-30,0.4608599779492833,0.038588754134509365,,,,,,0.5005512679162073
2025-06-26,0.4567901234567902,0.03367003367003367,,,,,,0.5095398428731762
2025-06-26,0.45833333333333337,0.04166666666666667,,,,,,0.5
2025-06-19,0.4639999999999999,,,,,,,0.536
2025-06-23,0.4534632034632034,0.03896103896103896,,,,,,0.5075757575757576
2025-06-16,0.45729729729729734,0.036756756756756756,,,,,,0.5059459459459459
2025-06-13,0.4565701559020044,0.035634743875278395,,,,,,0.5077951002227171
2025-06-12,0.4617142857142857,,,,,,,0.5382857142857143
2025-06-11,0.4562162162162162,0.036756756756756756,,,,,,0.5070270270270271
2025-06-09,0.4588744588744588,0.03679653679653679,,,,,,0.5043290043290043
2025-06-06,0.4584245076586433,0.03282275711159737,,,,,,0.5087527352297593
2025-06-03,0.44324324324324327,0.03783783783783784,,,,,,0.518918918918919
2025-06-05,0.47673098751418846,,,,,,,0.5232690124858116
2025-06-04,0.45524017467248906,0.034934497816593885,,,,,,0.509825327510917
2025-06-02,0.45543478260869563,0.035869565217391305,,,,,,0.5086956521739131
2025-05-30,0.45683060109289614,0.034972677595628415,,,,,,0.5081967213114754
2025-05-29,0.4825253664036077,0.03382187147688839,,,,,,0.483652762119504
2025-05-27,0.4414019715224534,0.03285870755750273,,,,,,0.5257393209200437
2025-05-26,0.4542483660130719,0.03485838779956427,,,,,,0.5108932461873638
2025-05-22,0.4689265536723164,,,,,,,0.5310734463276836
2025-05-22,0.46285714285714286,,,,,,,0.5371428571428571
2025-05-21,0.4461371055495103,0.03917301414581066,,,,,,0.5146898803046789
2025-05-19,0.45266594124047876,0.03590859630032644,,,,,,0.5114254624591947
2025-05-15,0.4281081081081081,0.03783783783783784,,,,,,0.5340540540540542
2025-05-15,0.44432194046306506,0.04189636163175303,,,,,,0.513781697905182
2025-05-14,0.4413043478260869,0.03804347826086957,,,,,,0.5206521739130435
2025-05-13,0.44324324324324327,0.032432432432432434,,,,,,0.5243243243243243
2025-05-12,0.4450489662676822,0.038084874863982585,,,,,,0.5168661588683351
2025-05-08,0.42857142857142855,0.03679653679653679,,,,,,0.5346320346320347
2025-05-05,0.44820065430752454,0.03816793893129771,,,,,,0.5136314067611778
2025-04-30,0.46643913538111487,,,,,,,0.5335608646188851
2025-04-30,0.43046357615894043,0.03421633554083885,,,,,,0.5353200883002208
2025-04-30,0.4403470715835141,0.03796095444685466,,,,,,0.5216919739696312
2025-04-24,0.480565371024735,,,,,,,0.519434628975265
2025-04-28,0.4422657952069717,0.037037037037037035,,,,,,0.5206971677559913
2025-04-24,0.4265658747300216,0.035637149028077755,,,,,,0.5377969762419007
2025-04-23,0.44069640914036995,0.036996735582154515,,,,,,0.5223068552774754
