Date,Government,Opposition
2024-11-04,47.1,40.4
2024-10-31,46.6,42.900000000000006
2024-10-31,49.3,39.900000000000006
2024-10-28,47.099999999999994,40.800000000000004
2024-10-26,49.0,40.199999999999996
2024-10-24,46.6,40.1
2024-10-23,47.599999999999994,40.800000000000004
2024-10-18,48.900000000000006,40.3
2024-10-17,46.699999999999996,43.0
2024-10-16,47.300000000000004,40.7
2024-10-14,47.8,43.0
2024-10-11,48.8,40.4
2024-10-14,46.9,40.8
2024-10-10,46.400000000000006,40.0
2024-10-09,46.0,41.300000000000004
2024-10-09,47.0,40.6
2024-10-07,46.7,41.0
2024-10-04,48.5,43.7
2024-10-03,46.5,42.7
2024-10-02,47.39999999999999,43.60000000000001
2024-09-27,48.5,41.1
2024-09-30,46.5,44.300000000000004
2024-09-26,47.800000000000004,43.0
2024-09-25,48.5,42.4
2024-09-25,47.2,44.199999999999996
2024-09-20,48.4,41.0
2024-09-23,46.8,44.5
2024-09-19,47.5,44.5
2024-09-19,47.400000000000006,43.1
2024-09-18,47.6,44.3
2024-09-16,46.8,44.5
2024-09-13,48.199999999999996,41.0
2024-09-12,47.4,43.3
2024-09-12,44.7,41.5
2024-09-11,47.900000000000006,44.0
2024-09-10,47.400000000000006,42.9
2024-09-11,45.5,43.0
2024-09-11,47.3,46.0
2024-09-07,46.6,44.1
2024-09-06,47.8,40.8
2024-09-09,47.0,44.400000000000006
2024-09-02,47.199999999999996,44.0
2024-08-29,45.7,44.9
2024-08-30,48.2,41.0
2024-08-29,47.2,43.800000000000004
2024-08-22,46.8,44.0
2024-08-16,47.2,42.8
2024-08-03,47.0,42.9
2024-07-29,46.400000000000006,44.00000000000001
2024-07-26,47.7,44.10000000000001
2024-07-25,46.9,42.9
2024-07-25,47.300000000000004,43.7
2024-07-25,44.599999999999994,45.0
2024-07-24,45.0,43.5
2024-07-22,46.8,44.199999999999996
2024-07-21,46.599999999999994,42.5
2024-07-19,47.3,44.50000000000001
2024-07-18,46.400000000000006,40.699999999999996
2024-07-18,47.300000000000004,44.1
2024-07-15,46.7,44.3
2024-07-12,47.2,44.1
2024-07-11,47.400000000000006,44.0
2024-07-08,46.1,44.3
2024-07-05,47.4,44.10000000000001
2024-07-04,47.800000000000004,44.1
2024-07-01,46.2,44.400000000000006
2024-06-28,47.400000000000006,44.3
2024-06-27,47.9,43.900000000000006
2024-06-26,47.2,46.800000000000004
2024-06-27,46.3,44.1
2024-06-27,45.400000000000006,41.5
2024-06-25,47.0,44.900000000000006
2024-06-24,46.5,44.0
2024-06-21,47.7,44.199999999999996
2024-06-17,46.400000000000006,44.0
2024-06-13,47.8,44.300000000000004
2024-06-09,47.4,48.099999999999994
2024-05-23,44.5,48.7
2024-05-23,44.6,49.3
2024-05-23,44.3,47.699999999999996
2024-05-22,44.699999999999996,49.7
2024-05-22,44.7,49.1
2024-05-21,44.3,51.2
2024-05-23,44.1,49.0
2024-05-21,43.8,48.9
2024-05-20,44.5,49.4
2024-05-23,43.400000000000006,48.5
2024-05-20,44.8,49.6
2024-05-19,44.8,51.9
2024-05-20,43.699999999999996,49.900000000000006
2024-05-16,44.5,50.6
2024-05-18,45.1,49.1
2024-05-16,44.4,48.099999999999994
2024-05-15,44.7,49.7
2024-05-14,44.2,49.5
2024-05-13,43.7,50.1
2024-05-12,43.1,49.9
2024-05-11,45.4,48.7
2024-05-09,44.4,48.39999999999999
2024-05-08,44.900000000000006,49.900000000000006
2024-05-07,44.300000000000004,48.300000000000004
2024-05-06,43.900000000000006,50.7
2024-05-05,44.6,49.699999999999996
