Date,PC,NPD,Libéral,Vert,Autres
2024-10-10,44.0,22.0,24.0,7.0,4.0
2024-09-18,40.0,25.0,23.0,7.0,4.0
2024-09-17,41.0,18.0,30.0,5.0,6.0
2024-08-17,42.0,21.0,26.0,8.0,4.0
2024-08-20,40.0,21.0,27.0,6.0,6.0
2024-07-21,44.0,19.0,26.0,7.0,4.0
2024-06-27,39.0,21.0,28.0,7.0,5.0
2024-06-25,41.0,22.0,25.0,8.0,4.0
2024-06-04,39.4,22.6,26.5,8.3,3.2
2024-05-15,39.0,22.0,26.0,9.0,4.0
2024-04-16,41.0,21.0,25.0,7.0,5.0
2024-04-07,40.0,18.0,30.0,5.0,6.0
2024-03-21,41.0,21.0,27.0,7.0,5.0
2024-03-09,39.0,21.0,29.0,5.0,6.0
2024-03-06,37.0,25.0,27.0,6.0,4.0
2024-02-21,41.0,19.0,27.0,8.0,5.0
2024-02-11,34.5,21.6,31.6,7.3,5.0
2024-02-03,38.0,22.0,30.0,5.0,5.0
2024-01-23,38.0,23.0,27.0,5.0,6.0
2023-12-12,39.0,24.0,27.0,6.0,4.0
2023-12-04,36.0,19.0,34.0,6.0,5.0
2023-11-28,42.0,24.0,23.0,7.0,4.0
2023-10-30,41.0,26.0,25.0,7.0,2.0
2023-10-15,40.0,24.0,24.0,7.0,5.0
2023-09-27,33.4,27.4,26.7,6.7,5.8
2023-09-06,38.0,28.0,22.0,7.0,5.0
2023-09-04,34.0,26.0,28.0,7.0,5.0
2023-08-29,37.3,25.8,26.9,5.2,4.9
2023-08-23,38.0,24.0,25.0,7.0,6.0
2023-07-25,41.0,23.0,24.0,7.0,5.0
2023-06-30,34.7,24.7,25.0,10.7,4.9
2023-06-11,36.0,26.0,27.0,6.0,4.0
2023-06-08,39.0,23.0,27.0,7.0,4.0
2023-06-03,36.0,27.0,25.0,6.0,6.0
2023-03-13,38.0,30.0,20.0,6.0,6.0
2023-03-04,41.0,22.0,28.0,5.0,4.0
2023-02-04,36.8,19.4,23.3,11.2,9.4
2022-12-03,37.0,27.0,25.0,6.0,5.0
2022-12-02,37.3,25.9,24.4,6.6,5.8
2022-11-05,38.0,26.0,27.0,5.0,5.0
2022-06-20,37.5,23.3,19.2,9.8,10.2
2022-06-02,40.82,23.74,23.85,5.96,5.62
