Date,Starmer,Badenoch,Sunak
2025-06-27,0.6666666666666666,0.3333333333333333,
2025-06-13,0.6756756756756757,0.32432432432432434,
2025-06-08,0.4722222222222222,0.5277777777777778,
2025-06-02,0.6595744680851063,0.3404255319148936,
2025-05-30,0.6857142857142857,0.3142857142857143,
2025-05-19,0.5901639344262295,0.4098360655737705,
2025-05-16,0.6486486486486487,0.35135135135135137,
2025-05-11,0.5217391304347826,0.4782608695652174,
2025-05-02,0.6410256410256411,0.358974358974359,
2025-04-25,0.6410256410256411,0.358974358974359,
2025-04-14,0.6875,0.3125,
2025-04-11,0.6829268292682927,0.3170731707317073,
2025-04-06,0.4444444444444444,0.5555555555555556,
2025-03-28,0.6666666666666666,0.3333333333333333,
2025-03-21,0.6410256410256411,0.358974358974359,
2025-03-17,0.7083333333333334,0.2916666666666667,
2025-03-09,0.5932203389830508,0.4067796610169492,
2025-03-07,0.6829268292682927,0.3170731707317073,
2025-03-02,0.5142857142857142,0.4857142857142857,
2025-02-21,0.625,0.375,
2025-02-21,0.5384615384615384,0.46153846153846156,
2025-02-18,0.5423728813559322,0.4576271186440678,
2025-02-17,0.6304347826086957,0.3695652173913043,
2025-02-07,0.6078431372549019,0.39215686274509803,
2025-02-07,0.6153846153846154,0.38461538461538464,
2025-02-02,0.4714285714285714,0.5285714285714286,
2025-01-29,0.5230769230769231,0.47692307692307695,
2025-01-20,0.6170212765957447,0.3829787234042553,
2025-01-14,0.5272727272727272,0.4727272727272727,
2025-01-10,0.6190476190476191,0.38095238095238093,
2025-01-06,0.4722222222222222,0.5277777777777778,
2024-12-20,0.6097560975609756,0.3902439024390244,
2024-12-17,0.64,0.36,
2024-12-16,0.5384615384615384,0.46153846153846156,
2024-12-10,0.5490196078431373,0.45098039215686275,
2024-11-27,0.5510204081632653,0.4489795918367347,
2024-10-20,0.5492957746478874,,0.4507042253521127
2024-10-04,0.5681818181818182,,0.4318181818181818
2024-09-27,0.6,,0.4
2024-09-20,0.6086956521739131,,0.391304347826087
2024-08-30,0.6938775510204082,,0.30612244897959184
2024-08-16,0.6923076923076923,,0.3076923076923077
2024-08-02,0.7307692307692307,,0.2692307692307692
2024-07-19,0.7254901960784313,,0.27450980392156865
