Date,Starmer,Farage
2025-07-06,0.5063291139240507,0.4936708860759494
2025-06-16,0.5517241379310345,0.4482758620689655
2025-06-08,0.4578313253012048,0.5421686746987951
2025-05-19,0.6027397260273972,0.3972602739726027
2025-03-17,0.5901639344262295,0.4098360655737705
2025-03-09,0.5657894736842105,0.4342105263157895
2025-02-18,0.4931506849315068,0.5068493150684932
2025-02-07,0.5806451612903226,0.41935483870967744
2025-01-14,0.5352112676056338,0.4647887323943662
2024-12-17,0.5967741935483871,0.4032258064516129
