Date,VVD,D66,PVV,PvdA-GL,CDA,SP,FvD,PvdD,CU,Volt,JA21,SGP,DENK,50+,BBB,BIJ1,BVNL
2023-04-01,18,10,9,27.0,6,7,5,9,4,5,6,3,1,2,36,1,1
2023-03-27,27,12,12,23.0,7,7,4,8,4,4,6,3,3,1,28,1,0
2023-03-25,19,9,9,27.0,7,7,5,9,5,5,7,3,1,2,33,1,1
2023-02-27,29,15,16,20.0,9,8,4,9,5,4,9,3,3,1,14,1,0
2023-02-25,21,13,17,24.0,7,7,5,8,5,4,10,4,3,1,19,1,1
2023-02-18,23,12,18,24.0,7,7,5,8,5,4,10,4,3,1,17,1,1
2023-02-13,24,12,18,25.0,7,9,5,10,5,3,10,4,3,0,14,1,0
2023-02-11,22,12,18,24.0,7,7,5,9,6,4,11,4,3,1,15,1,1
2023-01-30,29,15,18,20.0,11,8,5,9,4,4,10,3,3,0,10,1,0
2023-01-16,24,13,19,22.0,6,10,4,8,5,5,12,5,3,0,12,1,1
2023-01-14,20,12,19,22.0,6,8,5,9,6,5,13,4,3,1,15,1,1
2022-12-19,27,14,18,23.0,9,8,3,8,5,5,9,4,3,0,13,1,0
2022-12-17,20,12,20,22.0,5,8,5,8,6,5,14,4,3,1,15,1,1
2022-12-12,21,11,18,24.0,7,9,4,10,6,5,13,5,1,1,13,2,0
2022-12-03,21,11,20,22.0,5,8,5,8,6,5,15,4,3,1,14,1,1
2022-11-28,27,17,19,22.0,8,9,2,9,4,4,9,3,3,0,12,2,0
2022-11-26,20,12,21,22.0,5,8,5,8,6,5,15,4,3,1,13,1,1
2022-11-14,22,12,18,25.0,7,9,5,8,6,4,12,4,2,1,13,1,1
2022-11-12,20,12,21,22.0,5,8,5,8,6,5,15,4,3,1,13,1,1
2022-10-24,27,16,21,21.0,8,8,3,10,4,4,9,3,3,0,12,1,0
2022-10-22,21,12,20,23.0,6,8,5,8,6,5,14,4,3,1,12,1,1
2022-10-17,21,12,19,23.0,7,9,5,10,5,5,10,5,2,1,14,1,1
2022-10-15,21,12,18,24.0,6,8,5,8,6,5,12,4,3,1,15,1,1
2022-09-26,25,16,20,23.0,9,7,3,10,4,3,8,3,3,0,15,1,0
2022-09-24,21,11,16,26.0,6,7,5,8,6,5,11,4,3,1,18,1,1
2022-09-12,23,15,16,23.0,6,8,6,7,5,5,12,4,2,1,15,1,1
2022-08-29,27,18,18,19.0,9,7,4,9,5,2,9,3,3,0,16,1,0
2022-08-27,20,12,17,25.0,6,7,5,9,6,5,9,4,3,1,19,1,1
2022-08-06,21,13,15,26.0,6,7,4,8,7,5,8,4,3,1,19,2,1
2022-07-25,29,17,18,19.0,9,8,4,9,5,3,6,3,4,0,15,1,0
2022-07-18,22,14,16,22.0,6,9,4,10,5,5,9,4,3,1,18,1,1
2022-07-09,21,13,15,25.0,6,7,4,8,7,5,8,4,3,1,20,2,1
