Date,VVD,D66,PVV,PvdA-GL,CDA,SP,FvD,PvdD,CU,Volt,JA21,SGP,DENK,50+,BBB,BIJ1,BVNL
2021-11-15,0.201,0.093,0.107,0.124,0.049,0.054,0.042,0.044,0.049,0.054,0.041,0.028,0.016,0.006,0.045,0.013,0.007
2021-11-09,0.21,0.13,0.11,0.12,0.06,0.05,0.04,0.05,0.03,0.05,0.04,0.02,0.02,0.01,0.04,0.01,
2021-10-25,0.216,0.12,0.12,0.107,0.06,0.063,0.024,0.06,0.036,0.04,0.04,0.02,0.024,0.005,0.035,0.011,
2021-10-11,0.212,0.093,0.097,0.144,0.042,0.06,0.033,0.048,0.042,0.05,0.042,0.028,0.007,0.005,0.038,0.011,0.006
2021-09-27,0.233,0.121,0.113,0.11599999999999999,0.055,0.053,0.03,0.059,0.034,0.039,0.037,0.019,0.025,0.004,0.035,0.01,
2021-09-20,0.21,0.13,0.13,0.13,0.05,0.05,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.01,0.05,0.01,
2021-09-13,0.204,0.118,0.103,0.14500000000000002,0.047,0.061,0.03,0.052,0.048,0.039,0.035,0.022,0.01,0.004,0.043,0.016,0.006
2021-08-30,0.246,0.135,0.109,0.121,0.065,0.045,0.029,0.05,0.039,0.032,0.035,0.024,0.024,0.003,0.024,0.007,
2021-07-26,0.233,0.137,0.105,0.10700000000000001,0.062,0.059,0.025,0.053,0.038,0.035,0.045,0.023,0.024,0.006,0.028,0.01,
2021-07-12,0.215,0.137,0.104,0.131,0.041,0.06,0.03,0.047,0.035,0.039,0.04,0.024,0.016,0.003,0.035,0.02,0.012
2021-06-28,0.246,0.142,0.108,0.11,0.061,0.053,0.035,0.051,0.034,0.03,0.032,0.024,0.024,0.006,0.028,0.007,
2021-06-07,0.228,0.135,0.092,0.122,0.079,0.048,0.035,0.05,0.035,0.044,0.039,0.022,0.02,0.005,0.023,0.015,
2021-05-23,0.229,0.159,0.111,0.107,0.087,0.052,0.023,0.057,0.031,0.032,0.04,0.024,0.015,0.005,0.013,0.008,
2021-05-03,0.215,0.143,0.099,0.114,0.064,0.065,0.05,0.044,0.035,0.039,0.038,0.02,0.022,0.007,0.018,0.013,
2021-04-19,0.225,0.167,0.117,0.11,0.077,0.045,0.045,0.052,0.032,0.034,0.029,0.022,0.015,0.008,0.008,0.007,
2021-04-12,0.216,0.165,0.095,0.095,0.088,0.064,0.047,0.043,0.034,0.03,0.038,0.021,0.019,0.008,0.01,0.011,
2021-03-17,0.219,0.15,0.109,0.109,0.095,0.06,0.05,0.038,0.034,0.024,0.024,0.021,0.02,0.01,0.01,0.008,
