Date,PCF,LFI,PS,EELV,EAC,PA,ENS,LR,RN,REC
2024-04-23,2.5,7.0,12.0,7.5,2.0,1.5,17.0,8.0,31.5,5.5
2024-04-22,3.0,8.0,13.0,6.0,0.5,1.0,16.0,7.0,31.0,6.0
2024-04-22,2.0,7.0,12.0,7.5,2.0,2.0,17.0,8.0,31.5,5.5
2024-04-19,2.0,8.0,11.5,7.5,1.5,2.0,17.5,8.0,31.5,5.5
2024-04-18,3.0,7.0,13.0,7.0,2.0,1.0,19.0,7.0,29.0,7.0
2024-04-18,2.5,8.0,11.5,7.5,1.5,1.5,17.5,8.0,32.0,5.5
2024-04-17,4.0,8.0,12.0,6.0,1.0,1.0,19.0,7.0,29.0,6.0
2024-04-17,2.5,7.5,11.5,7.5,2.0,1.5,17.5,8.0,32.5,5.5
2024-04-16,3.0,7.0,12.0,7.5,1.5,1.5,18.0,8.0,32.5,6.0
2024-04-15,3.0,8.0,14.0,6.0,0.5,1.0,16.0,7.0,30.0,6.0
2024-04-15,3.0,7.5,12.0,7.0,1.0,1.5,18.0,8.0,32.5,6.0
2024-04-12,3.0,8.0,12.5,6.5,1.0,1.0,18.0,8.5,31.5,6.0
2024-04-11,3.0,7.0,13.0,7.0,1.0,1.5,16.0,6.5,32.0,6.5
2024-04-11,2.5,8.5,12.0,6.0,0.5,1.5,17.0,6.0,29.0,6.0
2024-04-11,3.0,8.0,12.5,6.0,1.0,1.5,18.0,8.5,31.0,6.5
2024-04-10,2.5,8.0,12.0,5.5,1.5,1.0,18.5,8.5,31.5,6.5
2024-04-09,3.0,7.5,12.0,5.5,1.5,1.0,18.5,8.0,32.0,6.5
2024-04-09,2.0,5.0,12.0,6.0,1.0,1.0,19.0,7.0,29.0,9.0
2024-04-08,3.0,9.0,12.0,6.0,1.0,1.0,17.0,7.0,30.0,6.0
2024-04-08,3.0,7.5,11.0,6.5,1.0,2.0,19.0,7.5,32.0,6.0
2024-04-05,2.0,7.0,12.0,7.0,1.0,2.0,19.0,8.0,29.0,7.0
2024-04-04,2.5,7.5,12.0,8.5,2.0,1.0,16.5,7.0,30.0,5.5
2024-03-29,3.0,8.0,13.0,6.0,0.5,1.0,17.0,7.0,31.0,6.0
2024-03-28,2.5,7.0,11.0,6.0,0.5,1.0,20.0,8.0,30.0,5.5
2024-03-25,3.0,7.0,12.0,7.0,0.5,1.0,18.0,7.0,30.0,6.0
2024-03-20,3.0,6.0,11.0,7.0,1.5,1.5,21.0,7.0,30.0,6.0
2024-03-18,2.0,8.0,13.0,7.0,0.5,1.0,18.0,7.0,30.0,6.0
2024-03-14,2.0,6.0,11.0,8.0,1.0,1.0,20.0,8.0,27.0,6.0
2024-03-09,3.0,8.0,10.0,8.0,1.5,1.0,17.0,7.0,29.0,6.0
2024-03-07,3.0,7.5,8.5,9.5,1.5,1.5,17.0,7.0,29.5,4.5
2024-03-07,2.0,6.0,10.0,7.0,1.0,2.0,20.0,6.0,33.0,5.0
2024-03-06,3.5,7.0,11.5,8.5,,1.5,18.0,7.0,31.0,5.0
2024-03-05,3.0,7.0,12.2,8.1,,,18.1,7.6,30.7,5.5
2024-03-01,3.5,8.0,9.0,8.0,1.0,2.0,19.0,8.0,29.0,6.0
2024-02-28,3.0,7.0,11.0,7.0,1.5,1.5,18.0,8.0,30.0,6.0
2024-02-22,1.5,6.0,11.0,8.5,,,19.0,8.5,30.0,7.0
2024-02-22,3.1,9.9,9.9,5.6,2.6,1.4,14.5,4.7,31.5,6.5
2024-02-15,3.0,7.0,10.0,8.0,1.0,1.0,19.0,8.0,27.0,8.0
2024-02-09,2.5,9.0,9.0,9.5,2.0,2.0,16.5,8.0,27.5,5.0
2024-02-08,3.5,7.0,9.5,8.0,1.5,1.5,19.0,7.0,29.0,6.5
