Date,Milanović,Primorac
2025-01-12,74.68,25.319999999999997
2025-01-09,69.21373200442969,30.78626799557032
2024-12-27,66.1697247706422,33.830275229357795
2024-12-26,61.46892655367231,38.53107344632768
2024-12-06,65.51312649164677,34.48687350835322
2024-11-25,63.84248210023866,36.15751789976134
2024-11-21,61.10458284371328,38.895417156286726
2024-11-09,64.09036860879905,35.90963139120095
2024-10-25,58.89145496535797,41.108545034642034
2024-09-21,60.809248554913296,39.190751445086704
2024-09-07,58.68772782503038,41.31227217496962
2024-08-04,55.0561797752809,44.9438202247191
