Date,Milanović,Primorac,Selak Raspudić,Kekin,Jonjić,Tokić Kartelo,Lozo,Bulj
2024-12-29,49.69629479651751,19.58898562462037,9.364243774043327,8.999797529864345,5.152864952419518,0.8908685968819599,2.4397651346426406,3.8671795910103257
2024-12-27,41.37931034482759,22.69187986651835,11.7908787541713,11.345939933259174,3.4482758620689653,0.5561735261401557,3.8932146829810903,4.894327030033371
2024-12-26,43.52159468438539,26.91029900332226,11.074197120708751,8.970099667774088,2.21483942414175,0.664451827242525,2.4363233665559254,4.208194905869325
2024-12-16,39.44444444444444,29.888888888888886,13.666666666666668,7.666666666666668,2.4444444444444446,0.3333333333333333,2.7777777777777777,3.7777777777777777
2024-12-06,44.576877234803334,24.791418355184742,12.395709177592371,10.965435041716328,1.0727056019070322,0.23837902264600713,1.5494636471990464,4.410011918951132
2024-12-02,40.66059225512528,30.182232346241456,12.870159453302959,7.175398633257402,2.391799544419134,,2.7334851936218674,3.98633257403189
2024-11-25,44.82758620689655,31.28991060025542,10.217113665389526,8.684546615581096,,,,4.980842911877394
2024-11-21,43.96654719235364,26.284348864994023,10.75268817204301,8.960573476702509,1.911589008363202,0.4778972520908005,2.5089605734767026,5.137395459976105
2024-11-09,46.42424242424243,25.818181818181824,12.121212121212123,9.212121212121213,1.0909090909090913,0.7272727272727274,,4.606060606060606
2024-11-03,42.018779342723,27.230046948356808,12.089201877934274,8.450704225352112,3.286384976525821,,3.5211267605633805,3.403755868544601
2024-10-25,46.59949622166247,32.493702770780864,9.823677581863981,7.3047858942065504,,,,3.7783375314861463
2024-10-21,43.29774614472123,28.351126927639374,11.15065243179122,8.42230130486358,1.6607354685646496,,3.6773428232502967,3.4400948991696314
2024-09-30,47.065337763012174,28.128460686600214,13.399778516057584,7.530454042081948,3.8759689922480614,,,
2024-09-07,50.55710306406686,29.526462395543174,11.420612813370473,6.685236768802229,1.8105849582172702,,,
2024-08-04,35.95505617977528,31.46067415730337,22.47191011235955,10.112359550561797,,,,
