Date,Starmer,Sunak,Unsure
2024-12-17,39.0,32.0,29.0
2024-12-10,42.0,30.0,28.0
2024-12-03,42.0,31.0,27.0
2024-11-26,43.0,31.0,26.0
2024-11-19,43.0,28.0,29.0
2024-11-12,41.0,31.0,28.0
2024-11-05,42.0,31.0,26.0
2024-10-29,44.0,30.0,26.0
2024-10-22,44.0,31.0,26.0
2024-10-15,43.0,32.0,25.0
2024-10-08,42.0,32.0,26.0
2024-10-01,41.0,32.0,27.0
2024-09-24,43.0,34.0,23.0
2024-09-17,42.0,31.0,28.0
2024-09-10,43.0,28.0,30.0
2024-09-03,46.0,29.0,25.0
2024-08-27,44.0,34.0,22.0
2024-08-20,40.0,33.0,27.0
2024-08-13,43.0,33.0,23.0
2024-08-06,38.0,33.0,29.0
2024-07-30,40.0,31.0,29.0
2024-07-23,43.0,35.0,22.0
2024-07-16,43.0,34.0,23.0
2024-07-09,42.0,32.0,27.0
2024-07-02,38.0,34.0,28.0
2024-06-25,40.0,33.0,27.0
2024-06-18,41.0,33.0,26.0
2024-06-11,43.0,33.0,24.0
2024-06-04,42.0,37.0,21.0
2024-05-28,42.0,34.0,24.0
2024-05-21,38.0,34.0,28.0
2024-05-14,41.0,36.0,23.0
2024-05-12,41.0,27.0,31.0
2024-05-07,41.0,35.0,24.0
2024-05-05,41.0,27.0,31.0
2024-04-30,41.0,37.0,22.0
2024-04-23,38.0,34.0,27.0
2024-04-16,37.0,36.0,27.0
2024-04-14,28.0,27.0,45.0
2024-04-13,33.0,33.0,34.0
2024-04-09,39.0,37.0,24.0
2024-04-06,36.0,28.0,36.0
2024-04-06,28.0,26.0,46.0
2024-04-06,31.0,26.0,40.0
2024-04-02,38.0,35.0,27.0
2024-03-31,29.0,26.0,45.0
2024-03-30,30.0,26.0,39.0
2024-03-29,41.0,29.0,30.0
2024-03-29,36.0,37.0,16.0
2024-03-26,39.0,36.0,25.0
2024-03-24,34.0,37.0,29.0
2024-03-24,38.0,37.0,26.0
2024-03-22,31.0,25.0,40.0
2024-03-19,41.0,34.0,25.0
2024-03-17,26.0,28.0,30.0
2024-03-15,36.0,32.0,32.0
2024-03-12,37.0,38.0,25.0
2024-03-12,42.0,34.0,24.0
2024-03-10,38.0,30.0,32.0
2024-03-05,41.0,35.0,24.0
2024-03-03,36.0,31.0,33.0
2024-03-01,32.0,27.0,42.0
2024-02-26,41.0,32.0,27.0
2024-02-22,30.0,25.0,45.0
2024-02-18,41.0,32.0,27.0
2024-02-16,36.0,31.0,33.0
2024-02-12,40.0,34.0,26.0
2024-02-10,36.0,27.0,37.0
2024-02-08,33.0,25.0,42.0
2024-02-05,41.0,32.0,27.0
2024-02-03,34.0,28.0,38.0
2024-02-01,32.0,22.0,46.0
2024-01-29,41.0,35.0,24.0
2024-01-26,35.0,28.0,37.0
2024-01-22,40.0,35.0,25.0
2024-01-19,40.0,27.0,33.0
2024-01-19,38.0,33.0,43.0
2024-01-15,37.0,37.0,26.0
2024-01-11,32.0,24.0,44.0
2024-01-08,38.0,37.0,25.0
2024-01-06,33.0,33.0,34.0
2024-01-05,31.0,26.0,43.0
2024-01-03,36.0,38.0,26.0
2023-12-21,32.0,25.0,43.0
2023-12-15,32.0,24.0,44.0
2023-12-11,39.0,36.0,25.0
2023-12-07,29.0,24.0,47.0
2023-12-04,40.0,36.0,24.0
2023-11-30,30.0,25.0,45.0
2023-03-27,37.0,28.0,35.0
2023-03-20,37.0,37.0,26.0
2023-02-21,38.0,34.0,28.0
2023-01-31,39.0,38.0,23.0
2023-01-17,37.0,38.0,25.0
2022-11-15,33.0,38.0,29.0
