Date,Approve,Disapprove
1977-03-30,41.37931034482759,58.620689655172406
1977-10-26,51.80722891566265,48.19277108433735
1978-04-13,57.446808510638306,42.5531914893617
1978-06-13,45.55555555555556,54.44444444444444
1978-07-11,50.0,50.0
1978-08-14,46.590909090909086,53.40909090909091
1978-09-04,47.72727272727273,52.27272727272727
1978-09-11,48.275862068965516,51.724137931034484
1978-11-08,42.69662921348314,57.30337078651685
1979-02-01,52.94117647058824,47.05882352941176
1979-03-05,48.86363636363637,51.13636363636363
1979-03-29,48.888888888888886,51.11111111111111
1979-04-02,55.294117647058826,44.70588235294118
1979-08-01,51.13636363636363,48.86363636363637
1979-09-01,49.43820224719101,50.56179775280899
1979-10-01,48.35164835164835,51.64835164835166
1979-11-01,45.55555555555556,54.44444444444444
1980-01-01,43.82022471910113,56.17977528089888
1980-02-01,40.21739130434783,59.78260869565217
1980-03-01,39.784946236559136,60.215053763440864
1980-04-01,46.236559139784944,53.76344086021505
1980-06-01,44.680851063829785,55.319148936170215
1980-07-01,40.0,60.0
1980-08-01,39.784946236559136,60.215053763440864
1980-09-01,37.634408602150536,62.365591397849464
1980-10-01,36.95652173913043,63.04347826086957
1980-11-01,34.40860215053764,65.59139784946237
1981-01-01,35.1063829787234,64.8936170212766
1981-02-01,33.68421052631579,66.3157894736842
1981-03-01,30.851063829787233,69.14893617021278
1981-04-01,35.483870967741936,64.51612903225806
1981-06-01,35.78947368421053,64.21052631578948
1981-07-01,33.33333333333333,66.66666666666666
1981-08-01,31.182795698924732,68.81720430107528
1981-09-01,30.107526881720432,69.89247311827957
1981-10-01,31.57894736842105,68.42105263157895
1981-11-01,30.434782608695656,69.56521739130434
1981-12-01,27.472527472527474,72.52747252747253
