Date,Truss,Starmer,Unsure
2022-10-16,13.0,60.0,27.0
2022-09-29,15.0,44.0,39.0
2022-10-07,14.0,43.0,37.0
2022-09-29,15.0,44.0,39.0
2022-09-07,25.0,32.0,40.0
